LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/7/2015;"20,1";"14,5";"25,1";"14,1";"70";"0";"4";"0";"36";"0";"1021";"0";""
Cavalese;2/7/2015;"20,6";"15";"25,7";"14";"67";"0";"2";"0";"33";"0";"1022";"0";""
Cavalese;3/7/2015;"20,6";"13";"26,6";"12,6";"62";"0";"2";"0";"28";"0";"1025";"2,1";"pioggia "
Cavalese;4/7/2015;"22,7";"14,8";"29,5";"12,8";"57";"0";"3";"0";"29";"0";"1022";"0,9";"pioggia "
Cavalese;5/7/2015;"22,2";"16,7";"26,6";"14,2";"62";"0";"3";"0";"26";"0";"1019";"0";""
Cavalese;6/7/2015;"22,3";"16,9";"29,1";"15,5";"67";"0";"3";"0";"35";"0";"1019";"2,5";"pioggia "
Cavalese;7/7/2015;"21,6";"15,9";"27,6";"14,8";"67";"0";"4";"0";"37";"0";"1016";"0";""
Cavalese;8/7/2015;"18,3";"14,4";"22,1";"15,7";"84";"0";"4";"0";"51";"0";"1010";"17";"pioggia "
Cavalese;9/7/2015;"16,9";"12,1";"22,1";"8,6";"60";"0";"4";"0";"35";"0";"1013";"1,4";"pioggia "
Cavalese;10/7/2015;"17";"10";"23,5";"8,5";"59";"0";"3";"0";"33";"0";"1019";"1,9";"pioggia "
Cavalese;11/7/2015;"20,6";"12,5";"27,4";"10,8";"56";"0";"3";"0";"32";"0";"1017";"0";""
Cavalese;12/7/2015;"20,3";"15";"25,7";"11,7";"59";"0";"3";"0";"35";"0";"1016";"0";""
Cavalese;13/7/2015;"19,6";"15,3";"24";"11,8";"62";"0";"3";"0";"32";"0";"1014";"0";""
Cavalese;14/7/2015;"20,6";"14";"26,5";"12,5";"62";"0";"3";"0";"36";"0";"1016";"0";""
Cavalese;15/7/2015;"20,8";"15,3";"25,7";"14,5";"69";"0";"3";"0";"38";"0";"1018";"2,5";"pioggia "
Cavalese;16/7/2015;"20";"15,8";"24,6";"15,8";"77";"0";"3";"0";"41";"0";"1019";"2,8";"pioggia "
Cavalese;17/7/2015;"21,5";"15,7";"28,2";"12";"58";"0";"3";"0";"36";"0";"1019";"0";""
Cavalese;18/7/2015;"21,6";"14,5";"28,7";"11,7";"56";"0";"4";"0";"36";"0";"1017";"0";""
Cavalese;19/7/2015;"21,5";"15,9";"27,1";"13,3";"60";"0";"3";"0";"41";"0";"1014";"0";""
Cavalese;20/7/2015;"21,8";"15,8";"27,4";"12,1";"55";"0";"3";"0";"30";"0";"1013";"0";""
Cavalese;21/7/2015;"22,2";"16,2";"28";"14,1";"61";"0";"3";"0";"29";"0";"1015";"0,7";"pioggia "
Cavalese;22/7/2015;"21,9";"16";"28,1";"14,6";"65";"0";"3";"0";"28";"0";"1014";"3";"pioggia "
Cavalese;23/7/2015;"22,2";"14,5";"28,9";"11,2";"53";"0";"4";"0";"34";"0";"1011";"0,5";"pioggia "
Cavalese;24/7/2015;"19,9";"16";"24,5";"13,6";"68";"0";"2";"0";"33";"0";"1011";"11,1";"pioggia "
Cavalese;25/7/2015;"18,1";"14,1";"22,5";"13,4";"74";"0";"3";"0";"48";"0";"1008";"4,8";"pioggia "
Cavalese;26/7/2015;"16,5";"11,9";"20,9";"9,7";"65";"0";"5";"0";"36";"0";"1011";"0,7";"pioggia "
Cavalese;27/7/2015;"18,5";"14,7";"23";"13,3";"73";"0";"5";"0";"34";"0";"1006";"1,6";"pioggia "
Cavalese;28/7/2015;"18,1";"14,5";"21,8";"13";"72";"0";"5";"0";"42";"0";"1007";"1,9";"pioggia "
Cavalese;29/7/2015;"17,3";"14,1";"21";"14,9";"86";"0";"4";"0";"45";"0";"1007";"14,1";"pioggia "
Cavalese;30/7/2015;"15,1";"12,3";"18,7";"12,1";"82";"0";"3";"0";"32";"0";"1010";"16,1";"pioggia "
Cavalese;31/7/2015;"15,7";"10,6";"21,3";"9,1";"67";"0";"4";"0";"31";"0";"1014";"3,2";"pioggia "
