LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/11/2015;"7,1";"1,7";"14,6";"-0,7";"60";"0";"3";"0";"24";"0";"1032";"0";""
Cavalese;2/11/2015;"6";"0,2";"13,4";"-2,7";"55";"0";"2";"0";"19";"0";"1031";"0";""
Cavalese;3/11/2015;"6";"0,6";"12,1";"-1,6";"59";"0";"2";"0";"30";"0";"1027";"0";""
Cavalese;4/11/2015;"7";"2,4";"11,6";"2,3";"72";"0";"1";"0";"17";"0";"1021";"0";""
Cavalese;5/11/2015;"7,4";"2,3";"13,5";"3,2";"75";"0";"2";"0";"20";"0";"1020";"0";""
Cavalese;6/11/2015;"8,2";"3,5";"14,7";"2,4";"68";"0";"2";"0";"22";"0";"1023";"0";""
Cavalese;7/11/2015;"8,8";"3,6";"15,2";"3";"68";"0";"2";"0";"18";"0";"1027";"0";""
Cavalese;8/11/2015;"9,8";"4,9";"16,5";"4,6";"70";"0";"2";"0";"19";"0";"1029";"0";""
Cavalese;9/11/2015;"9,9";"4,2";"16,4";"4,2";"69";"0";"2";"0";"22";"0";"1025";"0";""
Cavalese;10/11/2015;"10,5";"5,1";"17,3";"4,7";"68";"0";"3";"0";"25";"0";"1024";"0";""
Cavalese;11/11/2015;"9,7";"4,8";"16,2";"4,2";"69";"0";"2";"0";"18";"0";"1023";"0";""
Cavalese;12/11/2015;"8,4";"3,8";"14,6";"3,2";"71";"0";"2";"0";"12";"0";"1025";"0";""
Cavalese;13/11/2015;"7,6";"3,1";"13,6";"2,4";"70";"0";"2";"0";"21";"0";"1025";"0";""
Cavalese;14/11/2015;"6,8";"3,5";"11,6";"1,5";"70";"0";"3";"0";"24";"0";"1024";"0";""
Cavalese;15/11/2015;"7,2";"3";"11,2";"1,5";"68";"0";"2";"0";"26";"0";"1018";"0";""
Cavalese;16/11/2015;"8,6";"4,9";"13,9";"2,5";"66";"0";"3";"0";"27";"0";"1017";"0";""
Cavalese;17/11/2015;"6,6";"2,4";"12";"1,2";"69";"0";"2";"0";"17";"0";"1018";"0";""
Cavalese;18/11/2015;"8,2";"3,8";"15";"1,5";"63";"0";"1";"0";"14";"0";"1019";"0";""
Cavalese;19/11/2015;"6,6";"2";"12,9";"0,2";"63";"0";"2";"0";"20";"0";"1020";"0";""
Cavalese;20/11/2015;"5,1";"2,6";"8,8";"1,2";"76";"0";"3";"0";"36";"0";"1010";"0";""
Cavalese;21/11/2015;"2,8";"0,6";"4,3";"-0";"82";"0";"3";"0";"42";"0";"992";"13,2";"pioggia neve "
Cavalese;22/11/2015;"0,8";"-1,5";"4";"-11,4";"40";"0";"3";"0";"39";"0";"1002";"0";""
Cavalese;23/11/2015;"-0,2";"-1,8";"3";"-11,4";"43";"0";"2";"0";"18";"0";"1019";"0";"neve "
Cavalese;24/11/2015;"-1,9";"-4,3";"1,8";"-11,3";"49";"0";"2";"0";"19";"0";"1022";"0";""
Cavalese;25/11/2015;"-1,7";"-3,5";"0,4";"-4,9";"78";"0";"2";"0";"23";"0";"1010";"0";"neve "
Cavalese;26/11/2015;"-0,1";"-2";"3,4";"-7,3";"60";"0";"6";"0";"63";"0";"1006";"0";""
Cavalese;27/11/2015;"-1,2";"-4,2";"3,1";"-9,5";"53";"0";"4";"0";"50";"0";"1012";"0";""
Cavalese;28/11/2015;"-0,8";"-4,4";"2,8";"-8,1";"58";"0";"2";"0";"28";"0";"1012";"0";""
Cavalese;29/11/2015;"0,6";"-2,7";"4,6";"-6,2";"60";"0";"2";"0";"17";"0";"1022";"0";""
Cavalese;30/11/2015;"3";"-1,4";"8,2";"-3,7";"62";"0";"1";"0";"21";"0";"1022";"0";""
