LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/1/2017;"-0,3";"-2,8";"4,9";"-6,9";"62";"0";"1";"0";"16";"0";"1023";"0";""
Cavalese;2/1/2017;"-0,9";"-4";"2,8";"-7,8";"60";"0";"2";"0";"33";"0";"1018";"0";""
Cavalese;3/1/2017;"-1,3";"-4,2";"2,4";"-9,9";"52";"0";"6";"0";"47";"0";"1022";"0";""
Cavalese;4/1/2017;"-1,1";"-4,5";"3,9";"-8,2";"58";"0";"4";"0";"52";"0";"1012";"0";""
Cavalese;5/1/2017;"-3,6";"-6,4";"-0,4";"-15,2";"41";"0";"10";"0";"79";"0";"1019";"0";""
Cavalese;6/1/2017;"-6,7";"-8,7";"-3,2";"-21,6";"30";"0";"10";"0";"74";"0";"1031";"0";""
Cavalese;7/1/2017;"-6";"-9,4";"-1,4";"-19,6";"37";"0";"4";"0";"52";"0";"1028";"0";""
Cavalese;8/1/2017;"-2";"-4,9";"3";"-8,1";"64";"0";"7";"0";"66";"0";"1023";"0";""
Cavalese;9/1/2017;"-2,1";"-4,4";"2,8";"-11,6";"48";"0";"4";"0";"49";"0";"1021";"0";""
Cavalese;10/1/2017;"-3,2";"-5,2";"-0,2";"-7,4";"72";"0";"3";"0";"23";"0";"1014";"0";""
Cavalese;11/1/2017;"-2,9";"-4,9";"-0,6";"-7,6";"71";"0";"3";"0";"24";"0";"1017";"0";""
Cavalese;12/1/2017;"-1,3";"-4,1";"2,6";"-5";"76";"0";"3";"0";"48";"0";"1014";"0,9";"pioggia neve "
Cavalese;13/1/2017;"-1,6";"-6";"0,3";"-6,4";"71";"0";"6";"0";"71";"0";"1002";"6,7";"pioggia neve "
Cavalese;14/1/2017;"-2,6";"-5,6";"1,7";"-12,4";"47";"0";"5";"0";"47";"0";"1010";"0";"neve "
Cavalese;15/1/2017;"-4,3";"-7,1";"-0,6";"-14,4";"45";"0";"5";"0";"37";"0";"1018";"0";""
Cavalese;16/1/2017;"-6";"-8,5";"-2,7";"-15,1";"49";"0";"8";"0";"51";"0";"1019";"0";""
Cavalese;17/1/2017;"-5";"-6,7";"-1,4";"-14,2";"48";"0";"9";"0";"53";"0";"1023";"0";""
Cavalese;18/1/2017;"-3,8";"-7,3";"1,8";"-11,4";"56";"0";"5";"0";"41";"0";"1025";"0";""
Cavalese;19/1/2017;"-3,1";"-5,9";"2,2";"-8,4";"67";"0";"3";"0";"28";"0";"1029";"0";""
Cavalese;20/1/2017;"-2,9";"-6,6";"2,6";"-7,9";"69";"0";"2";"0";"19";"0";"1031";"0";""
Cavalese;21/1/2017;"-2";"-5,6";"3,7";"-7,9";"64";"0";"2";"0";"19";"0";"1029";"0";""
Cavalese;22/1/2017;"-2,2";"-6,7";"3,8";"-9,4";"58";"0";"1";"0";"17";"0";"1028";"0";""
Cavalese;23/1/2017;"-2,4";"-6,4";"2,6";"-10,6";"54";"0";"2";"0";"18";"0";"1023";"0";""
Cavalese;24/1/2017;"-1,8";"-5,5";"3,7";"-12,9";"45";"0";"2";"0";"19";"0";"1019";"0";""
Cavalese;25/1/2017;"-1,1";"-5,1";"4,8";"-13,1";"41";"0";"2";"0";"21";"0";"1022";"0";""
Cavalese;26/1/2017;"-1,1";"-3,8";"4";"-8";"60";"0";"2";"0";"23";"0";"1025";"0";""
Cavalese;27/1/2017;"-0,7";"-4,2";"4,6";"-5,3";"72";"0";"1";"0";"25";"0";"1027";"0";""
Cavalese;28/1/2017;"0,3";"-2,9";"5,2";"-3,7";"75";"0";"1";"0";"23";"0";"1023";"0";""
Cavalese;29/1/2017;"1,1";"-2,3";"6,8";"-4,3";"68";"0";"2";"0";"20";"0";"1022";"0";""
Cavalese;30/1/2017;"1,2";"-2,5";"5,2";"-2,2";"78";"0";"2";"0";"29";"0";"1021";"0";"neve "
Cavalese;31/1/2017;"2,2";"0,3";"4,1";"1,1";"92";"0";"2";"0";"38";"0";"1019";"3,2";"pioggia neve "
