LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/8/2020;"23,5";"16,1";"31,9";"13,3";"60";"0";"4";"0";"42";"0";"1014";"0";""
Cavalese;2/8/2020;"20,4";"15";"27,7";"14,6";"74";"0";"4";"0";"45";"0";"1012";"6,8";"pioggia "
Cavalese;3/8/2020;"16,2";"11,6";"21,7";"13,6";"85";"0";"4";"0";"50";"0";"1006";"34";"pioggia "
Cavalese;4/8/2020;"13,6";"10";"18,3";"8,1";"71";"0";"10";"0";"66";"0";"1009";"12,3";"pioggia "
Cavalese;5/8/2020;"16,7";"9,3";"23";"9,6";"64";"0";"5";"0";"47";"0";"1015";"0";""
Cavalese;6/8/2020;"19,4";"13,1";"25,5";"14,5";"75";"0";"3";"0";"31";"0";"1018";"2,9";"pioggia "
Cavalese;7/8/2020;"19";"15";"23,6";"16";"84";"0";"2";"0";"23";"0";"1021";"4,1";"pioggia "
Cavalese;8/8/2020;"19,5";"13,8";"25,4";"14,2";"74";"0";"3";"0";"28";"0";"1020";"0";""
Cavalese;9/8/2020;"20,1";"13,2";"27,1";"13,7";"70";"0";"3";"0";"30";"0";"1018";"0";""
Cavalese;10/8/2020;"20,7";"15,4";"27,2";"15,8";"76";"0";"3";"0";"40";"0";"1017";"0";""
Cavalese;11/8/2020;"20,9";"14,9";"28,2";"14,6";"71";"0";"3";"0";"37";"0";"1017";"1,5";"pioggia "
Cavalese;12/8/2020;"20,4";"15,4";"26,1";"16";"77";"0";"2";"0";"38";"0";"1018";"2,7";"pioggia "
Cavalese;13/8/2020;"19,5";"15,6";"25";"15,6";"80";"0";"3";"0";"54";"0";"1017";"3,3";"pioggia "
Cavalese;14/8/2020;"17";"14,3";"20";"13,3";"79";"0";"2";"0";"29";"0";"1014";"2,2";"pioggia "
Cavalese;15/8/2020;"19,1";"12,9";"25,4";"12,1";"66";"0";"4";"0";"34";"0";"1013";"0";""
Cavalese;16/8/2020;"18,6";"13,7";"23,7";"14,3";"78";"0";"3";"0";"42";"0";"1013";"0,6";"pioggia "
Cavalese;17/8/2020;"17,2";"13,4";"21,2";"12,1";"74";"0";"3";"0";"42";"0";"1012";"1";"pioggia "
Cavalese;18/8/2020;"16";"11,1";"21,8";"10,5";"72";"0";"3";"0";"37";"0";"1011";"0";""
Cavalese;19/8/2020;"18";"11,1";"24,9";"10";"64";"0";"3";"0";"33";"0";"1012";"0";""
Cavalese;20/8/2020;"20,4";"14,1";"27,6";"14,8";"73";"0";"3";"0";"35";"0";"1014";"0";""
Cavalese;21/8/2020;"21,8";"15,9";"29";"15,8";"71";"0";"4";"0";"41";"0";"1017";"0";""
Cavalese;22/8/2020;"20,4";"14,7";"27,5";"16,1";"79";"0";"4";"0";"53";"0";"1016";"5,4";"pioggia "
Cavalese;23/8/2020;"16,9";"12,3";"23,7";"13,3";"81";"0";"3";"0";"33";"0";"1016";"6,8";"pioggia "
Cavalese;24/8/2020;"15,2";"11,1";"20,6";"11,6";"81";"0";"2";"0";"35";"0";"1015";"4,5";"pioggia "
Cavalese;25/8/2020;"16,5";"9,2";"23,2";"10,9";"72";"0";"4";"0";"46";"0";"1015";"0";""
Cavalese;26/8/2020;"18";"12,7";"23,4";"13,4";"76";"0";"3";"0";"32";"0";"1015";"0";""
Cavalese;27/8/2020;"18,9";"13,6";"25";"12,9";"70";"0";"4";"0";"41";"0";"1014";"0";""
Cavalese;28/8/2020;"17,2";"14,3";"21,4";"14,3";"84";"0";"4";"0";"60";"0";"1009";"4";"pioggia "
Cavalese;29/8/2020;"16,3";"14";"20,7";"14,7";"90";"0";"5";"0";"67";"0";"1005";"50,2";"pioggia "
Cavalese;30/8/2020;"14,8";"11,5";"18,8";"12,4";"85";"0";"4";"0";"78";"0";"1006";"34,2";"pioggia "
Cavalese;31/8/2020;"12,3";"10";"15,1";"9,8";"85";"0";"3";"0";"38";"0";"1013";"8";"pioggia "
