LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/3/2022;"-0,8";"-6,1";"6,5";"-9,1";"56";"0";"3";"0";"24";"0";"1029";"0";""
Cavalese;2/3/2022;"0,4";"-5,9";"7,7";"-9,8";"49";"0";"2";"0";"23";"0";"1022";"0";""
Cavalese;3/3/2022;"2,5";"-2,7";"9,3";"-6,6";"53";"0";"3";"0";"24";"0";"1014";"0";""
Cavalese;4/3/2022;"1,1";"-3,5";"6,9";"-8,1";"54";"0";"4";"0";"42";"0";"1014";"0";""
Cavalese;5/3/2022;"-1";"-5,9";"4,8";"-7,4";"65";"0";"3";"0";"27";"0";"1017";"0";""
Cavalese;6/3/2022;"-1";"-5,2";"3,3";"-6,7";"67";"0";"2";"0";"24";"0";"1017";"0";""
Cavalese;7/3/2022;"-0,7";"-6,1";"6";"-9,5";"56";"0";"3";"0";"28";"0";"1017";"0";""
Cavalese;8/3/2022;"-1,3";"-4,7";"3,7";"-5,9";"72";"0";"2";"0";"21";"0";"1022";"0";""
Cavalese;9/3/2022;"1";"-5,9";"9,3";"-7,9";"55";"0";"3";"0";"26";"0";"1022";"0";""
Cavalese;10/3/2022;"3";"-2,8";"11,2";"-7,4";"49";"0";"3";"0";"25";"0";"1023";"0";""
Cavalese;11/3/2022;"1,4";"-2,2";"6";"-2,8";"75";"0";"4";"0";"38";"0";"1026";"0";""
Cavalese;12/3/2022;"1,2";"-2,2";"5,7";"-2,8";"75";"0";"2";"0";"26";"0";"1027";"0";""
Cavalese;13/3/2022;"1,1";"-5,4";"8,4";"-9,3";"49";"0";"3";"0";"36";"0";"1025";"0";""
Cavalese;14/3/2022;"4";"-2,7";"11,3";"-3,9";"57";"0";"2";"0";"24";"0";"1030";"0";""
Cavalese;15/3/2022;"4,7";"1,1";"9";"0,6";"75";"0";"4";"0";"42";"0";"1031";"0";""
Cavalese;16/3/2022;"7,4";"1,3";"15,4";"2,1";"71";"0";"3";"0";"29";"0";"1023";"0";""
Cavalese;17/3/2022;"6,7";"3,4";"10,7";"3,6";"81";"0";"2";"0";"22";"0";"1026";"0";""
Cavalese;18/3/2022;"6,3";"1,8";"10,6";"3,9";"84";"0";"1";"0";"21";"0";"1031";"2,6";"pioggia "
Cavalese;19/3/2022;"4,6";"-0,5";"10,8";"-0,6";"72";"0";"4";"0";"46";"0";"1033";"0";""
Cavalese;20/3/2022;"3";"-2,8";"10";"-4,4";"60";"0";"4";"0";"35";"0";"1035";"0";""
Cavalese;21/3/2022;"3,3";"-3,4";"10,9";"-5,3";"55";"0";"2";"0";"28";"0";"1034";"0";""
Cavalese;22/3/2022;"4,8";"-1,8";"12,5";"-4,5";"54";"0";"2";"0";"27";"0";"1033";"0";""
Cavalese;23/3/2022;"6,3";"-1,1";"14,9";"-4,5";"48";"0";"3";"0";"25";"0";"1030";"0";""
Cavalese;24/3/2022;"7,7";"0,6";"16,1";"-3,1";"49";"0";"3";"0";"25";"0";"1026";"0";""
Cavalese;25/3/2022;"7,8";"1";"15,4";"-2";"53";"0";"3";"0";"27";"0";"1024";"0";""
Cavalese;26/3/2022;"7,3";"-0,3";"15,5";"-2,1";"53";"0";"4";"0";"29";"0";"1026";"0,5";"pioggia "
Cavalese;27/3/2022;"7,8";"0";"16";"-2,2";"52";"0";"4";"0";"33";"0";"1027";"0";""
Cavalese;28/3/2022;"8,1";"0,7";"15,8";"-2,1";"52";"0";"4";"0";"36";"0";"1023";"0";""
Cavalese;29/3/2022;"7,1";"0,5";"13,4";"-0,8";"59";"0";"4";"0";"39";"0";"1012";"0";""
Cavalese;30/3/2022;"4,9";"1,7";"7,6";"1,4";"78";"0";"3";"0";"32";"0";"1004";"1,5";"pioggia "
Cavalese;31/3/2022;"4,8";"2,6";"7,5";"3";"88";"0";"3";"0";"28";"0";"993";"4,2";"pioggia neve "
