LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/6/2023;"13,5";"8,6";"17,3";"11";"85";"0";"2";"0";"30";"0";"1016";"10,9";"pioggia "
Cavalese;2/6/2023;"15,4";"9,7";"21,6";"10,9";"76";"0";"3";"0";"36";"0";"1014";"9,7";"pioggia "
Cavalese;3/6/2023;"14,3";"11";"18,1";"11,5";"84";"0";"3";"0";"35";"0";"1016";"22,2";"pioggia "
Cavalese;4/6/2023;"12,8";"9,5";"15,3";"11,1";"89";"0";"2";"0";"25";"0";"1017";"10,5";"pioggia "
Cavalese;5/6/2023;"11,4";"9,5";"13";"11,2";"97";"0";"1";"0";"23";"0";"1016";"13,4";"pioggia "
Cavalese;6/6/2023;"14,3";"8,4";"19,9";"9,7";"76";"0";"3";"0";"30";"0";"1015";"2,2";"pioggia "
Cavalese;7/6/2023;"14,6";"10,2";"19,4";"11,1";"80";"0";"2";"0";"34";"0";"1016";"5,1";"pioggia "
Cavalese;8/6/2023;"15";"9,6";"20,1";"10,6";"76";"0";"3";"0";"32";"0";"1014";"3";"pioggia "
Cavalese;9/6/2023;"16,4";"10,1";"22,1";"11";"72";"0";"3";"0";"36";"0";"1012";"0,5";"pioggia "
Cavalese;10/6/2023;"16,7";"11,5";"22,3";"11,9";"74";"0";"2";"0";"32";"0";"1012";"3,1";"pioggia "
Cavalese;11/6/2023;"15,9";"10,9";"21,1";"11,9";"78";"0";"3";"0";"28";"0";"1013";"6,2";"pioggia "
Cavalese;12/6/2023;"15,6";"10,3";"20,4";"11,6";"79";"0";"3";"0";"32";"0";"1013";"7,4";"pioggia "
Cavalese;13/6/2023;"15,1";"11,5";"20";"12";"83";"0";"3";"0";"39";"0";"1011";"6,6";"pioggia "
Cavalese;14/6/2023;"14,6";"10,5";"19,6";"11,3";"82";"0";"3";"0";"29";"0";"1012";"5,3";"pioggia "
Cavalese;15/6/2023;"15,4";"9,5";"21,4";"8,7";"69";"0";"4";"0";"41";"0";"1014";"0";""
Cavalese;16/6/2023;"15,5";"9";"20,9";"6,9";"59";"0";"5";"0";"42";"0";"1015";"0,8";"pioggia "
Cavalese;17/6/2023;"16,8";"9,2";"23,2";"6,9";"55";"0";"5";"0";"34";"0";"1015";"0";""
Cavalese;18/6/2023;"18,3";"11,8";"23,6";"11,6";"67";"0";"4";"0";"40";"0";"1016";"0";""
Cavalese;19/6/2023;"19,6";"14";"25,3";"13,8";"70";"0";"4";"0";"44";"0";"1017";"0";""
Cavalese;20/6/2023;"20,9";"14,8";"26,5";"14,9";"71";"0";"4";"0";"46";"0";"1017";"0,6";"pioggia "
Cavalese;21/6/2023;"22,7";"16";"29,3";"14,3";"62";"0";"4";"0";"41";"0";"1018";"0";""
Cavalese;22/6/2023;"21,8";"16,5";"28,4";"15,6";"71";"0";"4";"0";"50";"0";"1019";"5";"pioggia "
Cavalese;23/6/2023;"18,5";"13,8";"23,6";"10,8";"64";"0";"9";"0";"63";"0";"1018";"2,8";"pioggia "
Cavalese;24/6/2023;"18,8";"12,4";"24,6";"8,2";"51";"0";"8";"0";"61";"0";"1020";"0";""
Cavalese;25/6/2023;"19,4";"11,6";"26,9";"11";"61";"0";"4";"0";"39";"0";"1018";"0";""
Cavalese;26/6/2023;"21,3";"13,5";"28,9";"12,8";"63";"0";"4";"0";"34";"0";"1016";"0";""
Cavalese;27/6/2023;"19,1";"14,5";"24,3";"13,8";"73";"0";"3";"0";"38";"0";"1015";"3,4";"pioggia "
Cavalese;28/6/2023;"17,6";"12,2";"23,2";"10,4";"65";"0";"4";"0";"38";"0";"1015";"0";""
Cavalese;29/6/2023;"17,9";"12,4";"23,9";"12,2";"72";"0";"4";"0";"39";"0";"1016";"0";""
Cavalese;30/6/2023;"17,5";"12";"22,6";"12,9";"76";"0";"5";"0";"48";"0";"1012";"8,5";"pioggia "
