LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/10/2023;"15,1";"9,8";"22,6";"8,8";"68";"0";"3";"0";"23";"0";"1025";"0";""
Cavalese;2/10/2023;"15,8";"9,6";"23,7";"9";"66";"0";"3";"0";"23";"0";"1025";"0";""
Cavalese;3/10/2023;"15,7";"10,1";"22,6";"10,8";"74";"0";"3";"0";"26";"0";"1022";"0";""
Cavalese;4/10/2023;"15,1";"11";"21";"10,5";"76";"0";"3";"0";"28";"0";"1024";"0";""
Cavalese;5/10/2023;"15,1";"11,3";"21,1";"11,6";"80";"0";"2";"0";"25";"0";"1024";"0";""
Cavalese;6/10/2023;"13,8";"9,1";"20,2";"8,5";"73";"0";"3";"0";"23";"0";"1025";"0";""
Cavalese;7/10/2023;"14,4";"8,3";"21,9";"4,6";"56";"0";"3";"0";"29";"0";"1024";"0";""
Cavalese;8/10/2023;"15,9";"10";"23,6";"7,1";"57";"0";"4";"0";"27";"0";"1025";"0";""
Cavalese;9/10/2023;"16,9";"10,6";"23,6";"5,5";"49";"0";"3";"0";"25";"0";"1022";"0";""
Cavalese;10/10/2023;"16,1";"10,8";"22,3";"5,1";"49";"0";"3";"0";"27";"0";"1021";"0";""
Cavalese;11/10/2023;"15,2";"9,3";"22,9";"7,2";"61";"0";"3";"0";"25";"0";"1022";"0";""
Cavalese;12/10/2023;"15";"11,1";"21,9";"10,4";"76";"0";"3";"0";"24";"0";"1021";"0";""
Cavalese;13/10/2023;"14,1";"9,5";"20,8";"10,4";"80";"0";"3";"0";"35";"0";"1020";"0";""
Cavalese;14/10/2023;"12,7";"8,8";"18,4";"10,1";"85";"0";"3";"0";"33";"0";"1014";"0,7";"pioggia "
Cavalese;15/10/2023;"10,2";"4,9";"15,9";"3,1";"65";"0";"6";"0";"41";"0";"1013";"0";""
Cavalese;16/10/2023;"6,1";"2,1";"11,6";"0,5";"68";"0";"3";"0";"30";"0";"1019";"0";""
Cavalese;17/10/2023;"7";"2,2";"13,6";"3,2";"79";"0";"3";"0";"24";"0";"1017";"0";""
Cavalese;18/10/2023;"8,1";"3,4";"12,3";"5,2";"82";"0";"2";"0";"32";"0";"1013";"0,5";"pioggia "
Cavalese;19/10/2023;"11";"8";"14";"10,1";"94";"0";"3";"0";"50";"0";"1002";"6,5";"pioggia "
Cavalese;20/10/2023;"13";"11,7";"14,7";"11,8";"92";"0";"7";"0";"85";"0";"992";"24,7";"pioggia "
Cavalese;21/10/2023;"10,8";"8,2";"14";"8,3";"84";"0";"2";"0";"39";"0";"1002";"5,3";"pioggia "
Cavalese;22/10/2023;"9,6";"6,7";"14,4";"6,6";"82";"0";"3";"0";"27";"0";"1011";"0,8";"pioggia "
Cavalese;23/10/2023;"9,7";"6,2";"13,6";"5,7";"77";"0";"3";"0";"36";"0";"1016";"0";""
Cavalese;24/10/2023;"10,2";"8,4";"12,4";"10,4";"99";"0";"2";"0";"37";"0";"1007";"22,3";"pioggia "
Cavalese;25/10/2023;"10,1";"7,6";"14";"7,9";"86";"0";"3";"0";"33";"0";"1003";"0,6";"pioggia "
Cavalese;26/10/2023;"9";"6,6";"11,1";"7,3";"89";"0";"2";"0";"29";"0";"1000";"3,7";"pioggia "
Cavalese;27/10/2023;"9,9";"5,9";"14,6";"6,6";"80";"0";"3";"0";"36";"0";"995";"13";"pioggia "
Cavalese;28/10/2023;"8,1";"5";"13,8";"3,9";"75";"0";"4";"0";"37";"0";"1006";"0";""
Cavalese;29/10/2023;"8,8";"5,1";"12";"6,5";"86";"0";"4";"0";"41";"0";"1012";"0";""
Cavalese;30/10/2023;"9,8";"8,7";"11,7";"9,8";"97";"0";"3";"0";"54";"0";"1008";"46,5";"pioggia "
Cavalese;31/10/2023;"7,3";"4,2";"9,4";"4,2";"80";"0";"4";"0";"50";"0";"1005";"7,3";"pioggia "
