LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/5/2024;"11,5";"7,9";"15,5";"8,6";"84";"0";"2";"0";"24";"0";"1010";"8";"pioggia "
Cavalese;2/5/2024;"8,8";"6";"11,3";"7,7";"93";"0";"3";"0";"34";"0";"1006";"17,1";"pioggia "
Cavalese;3/5/2024;"8,2";"5,5";"10,5";"6,1";"87";"0";"3";"0";"26";"0";"1011";"2,6";"pioggia "
Cavalese;4/5/2024;"10";"6,4";"14,9";"6,8";"81";"0";"3";"0";"26";"0";"1015";"6,1";"pioggia "
Cavalese;5/5/2024;"12,3";"5,5";"18,5";"6,8";"71";"0";"5";"0";"38";"0";"1014";"0";""
Cavalese;6/5/2024;"11,7";"7,7";"16,3";"6,7";"72";"0";"8";"0";"64";"0";"1012";"1,7";"pioggia "
Cavalese;7/5/2024;"8,9";"6,7";"10,9";"7,3";"89";"0";"2";"0";"21";"0";"1013";"12,3";"pioggia "
Cavalese;8/5/2024;"9,7";"6,6";"13";"8";"89";"0";"4";"0";"28";"0";"1018";"15,8";"pioggia "
Cavalese;9/5/2024;"12";"6,6";"17,6";"7,3";"74";"0";"4";"0";"29";"0";"1020";"3,7";"pioggia "
Cavalese;10/5/2024;"13,3";"6,6";"19,4";"8";"72";"0";"4";"0";"29";"0";"1020";"1,1";"pioggia "
Cavalese;11/5/2024;"14";"8,1";"19,9";"8,2";"70";"0";"4";"0";"34";"0";"1019";"0,6";"pioggia "
Cavalese;12/5/2024;"14,1";"8,5";"19,7";"8,6";"71";"0";"4";"0";"39";"0";"1018";"1,8";"pioggia "
Cavalese;13/5/2024;"11,7";"8,8";"14,4";"9,3";"85";"0";"3";"0";"31";"0";"1016";"10,3";"pioggia "
Cavalese;14/5/2024;"12,5";"7,5";"17,7";"7,7";"74";"0";"4";"0";"34";"0";"1011";"1,5";"pioggia "
Cavalese;15/5/2024;"9,7";"7,6";"11,2";"9,3";"95";"0";"2";"0";"26";"0";"1010";"33,5";"pioggia "
Cavalese;16/5/2024;"10,7";"6,4";"14,4";"8,2";"85";"0";"2";"0";"29";"0";"1007";"8,4";"pioggia "
Cavalese;17/5/2024;"11,8";"6,7";"16,8";"6,3";"70";"0";"6";"0";"56";"0";"1009";"2,8";"pioggia "
Cavalese;18/5/2024;"12,5";"5,3";"18,6";"6,4";"68";"0";"6";"0";"47";"0";"1013";"0";""
Cavalese;19/5/2024;"13,8";"6,6";"20,1";"7,2";"67";"0";"5";"0";"42";"0";"1012";"0";""
Cavalese;20/5/2024;"14";"8";"19,6";"8,5";"71";"0";"4";"0";"31";"0";"1011";"2";"pioggia "
Cavalese;21/5/2024;"10,6";"7,8";"11,9";"11,1";"99";"0";"2";"0";"19";"0";"1007";"47,9";"pioggia "
Cavalese;22/5/2024;"11,4";"6,1";"16";"7,6";"79";"0";"4";"0";"33";"0";"1011";"2,4";"pioggia "
Cavalese;23/5/2024;"11,1";"6,8";"15,6";"7,6";"80";"0";"3";"0";"39";"0";"1016";"10,8";"pioggia "
Cavalese;24/5/2024;"11,9";"7";"16,5";"7,1";"74";"0";"4";"0";"42";"0";"1018";"1,5";"pioggia "
Cavalese;25/5/2024;"10,3";"6,8";"13,4";"7,7";"84";"0";"3";"0";"25";"0";"1018";"20,6";"pioggia "
Cavalese;26/5/2024;"13,6";"5,6";"20,4";"6,9";"66";"0";"5";"0";"30";"0";"1018";"0";""
Cavalese;27/5/2024;"15";"9,2";"20,3";"9,5";"71";"0";"5";"0";"50";"0";"1018";"0,8";"pioggia "
Cavalese;28/5/2024;"14,1";"9,8";"19,2";"8";"69";"0";"6";"0";"46";"0";"1016";"2,1";"pioggia "
Cavalese;29/5/2024;"14,1";"7,7";"20,3";"6,7";"62";"0";"4";"0";"31";"0";"1014";"0";""
Cavalese;30/5/2024;"12,5";"9,2";"16,9";"10,4";"87";"0";"3";"0";"34";"0";"1007";"6,2";"pioggia "
Cavalese;31/5/2024;"9";"7,4";"10,2";"7,8";"91";"0";"7";"0";"46";"0";"1006";"28,9";"pioggia "
