LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cavalese;1/4/2025;"5";"-0,7";"10,1";"-1,7";"61";"63784";"6";"0";"10";"1017";"0";"0,5";"pioggia "
Cavalese;2/4/2025;"8,2";"3,5";"14,8";"3,4";"72";"68586";"2";"0";"7";"1019";"0";"0,1";""
Cavalese;3/4/2025;"9,6";"3,7";"17,2";"5,1";"73";"67097";"1";"0";"6";"1021";"0";"0";""
Cavalese;4/4/2025;"7,1";"2,2";"15,8";"1";"65";"58999";"2";"0";"6";"1018";"0";"0";""
Cavalese;5/4/2025;"11,3";"4,8";"18,5";"4,9";"64";"65358";"2";"0";"9";"1010";"0";"0";""
Cavalese;6/4/2025;"11,2";"1,6";"16,4";"3,8";"60";"76348";"2";"0";"5";"1014";"0";"0";""
Cavalese;7/4/2025;"4,8";"-1,5";"12,6";"-0,9";"66";"45082";"2";"0";"5";"1020";"0";"0";"pioggia "
Cavalese;8/4/2025;"4,8";"-2,1";"12,4";"-0,7";"67";"55408";"1";"0";"7";"1023";"0";"0";"pioggia "
Cavalese;9/4/2025;"6,4";"-1";"13,9";"0,5";"66";"65891";"2";"0";"5";"1020";"0";"0,8";"pioggia "
Cavalese;10/4/2025;"8,6";"0,6";"16,3";"0,8";"57";"66051";"3";"0";"8";"1020";"0";"0";""
Cavalese;11/4/2025;"11,3";"1,7";"20,9";"1,2";"49";"52101";"1";"0";"5";"1016";"0";"0";""
Cavalese;12/4/2025;"11,7";"5,5";"19,1";"5,7";"66";"73057";"3";"0";"7";"1014";"0";"2";"pioggia "
Cavalese;13/4/2025;"8,4";"7";"10,7";"7,3";"92";"4383";"2";"0";"5";"1013";"0";"4,2";"pioggia "
Cavalese;14/4/2025;"9,4";"6,7";"14,3";"8,6";"95";"4018";"2";"0";"5";"1010";"0";"16,5";"pioggia "
Cavalese;15/4/2025;"9,3";"7,2";"12,4";"8,9";"96";"2881";"3";"0";"5";"1008";"0";"18";"pioggia "
Cavalese;16/4/2025;"9,9";"6,3";"14,5";"7,6";"85";"15026";"3";"0";"8";"1010";"0";"9,2";"pioggia "
Cavalese;17/4/2025;"7,7";"5,4";"10,6";"6,3";"91";"15605";"2";"0";"9";"1008";"0";"34,4";"pioggia "
Cavalese;18/4/2025;"8,7";"5";"13";"6,4";"85";"17861";"2";"0";"5";"1011";"0";"3,8";"pioggia "
Cavalese;19/4/2025;"8,7";"6,6";"12,7";"7,9";"94";"938";"3";"0";"5";"1013";"0";"1,7";"pioggia "
Cavalese;20/4/2025;"10";"4,2";"15,3";"8,1";"87";"12219";"3";"0";"5";"1011";"0";"4,2";"pioggia "
Cavalese;21/4/2025;"9,4";"6";"15,1";"3,7";"67";"24183";"1";"0";"4";"1013";"0";"0,2";""
Cavalese;22/4/2025;"10,3";"3,7";"17";"5,2";"70";"42036";"2";"0";"5";"1015";"0";"4,1";"pioggia temporale "
Cavalese;23/4/2025;"10,6";"7,3";"15";"8,8";"89";"43558";"2";"0";"5";"1013";"0";"10,2";"pioggia temporale "
Cavalese;24/4/2025;"9,6";"7,3";"13,4";"7,7";"87";"18108";"3";"0";"7";"1011";"0";"16,1";"pioggia temporale "
Cavalese;25/4/2025;"9";"4,7";"13,6";"6,5";"84";"36432";"4";"0";"7";"1013";"0";"4,6";"pioggia "
Cavalese;26/4/2025;"10,1";"3,9";"15,7";"6,5";"78";"40538";"2";"0";"6";"1016";"0";"3";"pioggia "
Cavalese;27/4/2025;"10,1";"5,8";"16,1";"5,8";"74";"22351";"2";"0";"5";"1022";"0";"5,3";"pioggia "
Cavalese;28/4/2025;"10,7";"3,6";"19,8";"4,6";"65";"56090";"1";"0";"3";"1024";"0";"1,8";"pioggia "
Cavalese;29/4/2025;"12,9";"6";"20,3";"8,4";"74";"77616";"1";"0";"2";"1023";"0";"3,1";"pioggia temporale "
Cavalese;30/4/2025;"14";"7";"21,6";"9,7";"75";"72850";"1";"0";"3";"1021";"0";"2,9";"pioggia "
