LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/2/2000;"2,8";"-0,4";"6,8";"-2,9";"66";"0";"2";"0";"24";"0";"1026";"0";""
Lavarone;2/2/2000;"1,6";"-0,6";"3,5";"-1,1";"82";"0";"1";"0";"25";"0";"1020";"0,8";"pioggia "
Lavarone;3/2/2000;"2,7";"-0,7";"7,6";"-4,2";"60";"0";"3";"0";"31";"0";"1023";"0";""
Lavarone;4/2/2000;"0";"-3,5";"4";"-7";"60";"0";"2";"0";"23";"0";"1036";"0";""
Lavarone;5/2/2000;"1,8";"-2,1";"6,1";"-4,9";"61";"0";"3";"0";"26";"0";"1032";"0";""
Lavarone;6/2/2000;"3,2";"-1,2";"8,2";"-3,1";"63";"0";"2";"0";"20";"0";"1028";"0";""
Lavarone;7/2/2000;"2,2";"0,1";"5";"-1,8";"75";"0";"2";"0";"22";"0";"1022";"0";""
Lavarone;8/2/2000;"2,5";"-0";"5,4";"0,2";"85";"0";"2";"0";"29";"0";"1018";"0";""
Lavarone;9/2/2000;"2,4";"-0,5";"6,4";"-7,8";"51";"0";"4";"0";"44";"0";"1016";"0";""
Lavarone;10/2/2000;"0,2";"-3,6";"5,1";"-9,4";"48";"0";"2";"0";"39";"0";"1025";"0";""
Lavarone;11/2/2000;"1";"-2,4";"3,7";"-5,5";"62";"0";"2";"0";"24";"0";"1023";"0";""
Lavarone;12/2/2000;"1,8";"-0,6";"4,9";"-4,8";"61";"0";"1";"0";"17";"0";"1023";"0";""
Lavarone;13/2/2000;"1,3";"-2,9";"6,2";"-5,9";"59";"0";"3";"0";"23";"0";"1021";"0";""
Lavarone;14/2/2000;"2,6";"-1,6";"7,6";"-5,8";"54";"0";"2";"0";"26";"0";"1017";"0";""
Lavarone;15/2/2000;"2,6";"0,3";"6,6";"-3,8";"63";"0";"1";"0";"24";"0";"1017";"0";""
Lavarone;16/2/2000;"0,7";"-1,2";"2,7";"-2,4";"80";"0";"3";"0";"41";"0";"1007";"5,1";"pioggia neve "
Lavarone;17/2/2000;"-1,6";"-3,8";"1,3";"-11,1";"50";"0";"3";"0";"35";"0";"1005";"0";""
Lavarone;18/2/2000;"-2,3";"-5,4";"0,3";"-13,7";"41";"0";"2";"0";"34";"0";"1013";"0";"neve "
Lavarone;19/2/2000;"0,8";"-2,7";"4,9";"-8,3";"51";"0";"1";"0";"24";"0";"1007";"0";"neve "
Lavarone;20/2/2000;"0,9";"-2,3";"5";"-11";"41";"0";"5";"0";"44";"0";"1014";"0";""
Lavarone;21/2/2000;"-1,1";"-4,2";"2,9";"-12,1";"43";"0";"3";"0";"36";"0";"1024";"0";""
Lavarone;22/2/2000;"-1,4";"-3,2";"1,3";"-6,6";"68";"0";"2";"0";"20";"0";"1025";"0";"neve "
Lavarone;23/2/2000;"0,4";"-2,2";"4,4";"-6,4";"61";"0";"1";"0";"14";"0";"1025";"0";""
Lavarone;24/2/2000;"1,4";"-2,9";"6,2";"-7,9";"50";"0";"3";"0";"23";"0";"1028";"0";""
Lavarone;25/2/2000;"4,6";"1";"9,6";"-3,4";"57";"0";"2";"0";"29";"0";"1025";"0";""
Lavarone;26/2/2000;"3,6";"0,1";"8,3";"-2,5";"64";"0";"2";"0";"24";"0";"1029";"0";""
Lavarone;27/2/2000;"3,7";"-0,2";"8,7";"-2,4";"66";"0";"1";"0";"18";"0";"1031";"0";""
Lavarone;28/2/2000;"3,3";"-0,3";"7,9";"-2,6";"66";"0";"3";"0";"33";"0";"1031";"0";""
Lavarone;29/2/2000;"1,5";"0,1";"4,1";"-1,2";"82";"0";"4";"0";"45";"0";"1024";"4,9";"pioggia neve "
