LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/8/2002;"17,3";"14,4";"19,8";"15,1";"86";"0";"4";"0";"47";"0";"1011";"2,1";"pioggia "
Lavarone;2/8/2002;"17,8";"14,2";"21,1";"11,5";"67";"0";"3";"0";"39";"0";"1014";"0";""
Lavarone;3/8/2002;"18,3";"14,3";"21,9";"13,7";"75";"0";"3";"0";"39";"0";"1014";"0";""
Lavarone;4/8/2002;"17,9";"15,1";"20,7";"14,7";"81";"0";"3";"0";"42";"0";"1012";"3,3";"pioggia "
Lavarone;5/8/2002;"16,7";"14";"20,5";"13,7";"83";"0";"3";"0";"41";"0";"1012";"3,6";"pioggia "
Lavarone;6/8/2002;"13,7";"12,9";"15,2";"12,6";"93";"0";"2";"0";"35";"0";"1010";"19,2";"pioggia "
Lavarone;7/8/2002;"16,7";"12,2";"21,1";"8,6";"60";"0";"4";"0";"34";"0";"1008";"0";""
Lavarone;8/8/2002;"16,6";"12,6";"20,4";"8,6";"60";"0";"4";"0";"32";"0";"1010";"1,1";"pioggia "
Lavarone;9/8/2002;"13,4";"11,6";"15,1";"11,5";"88";"0";"2";"0";"24";"0";"1008";"11,9";"pioggia "
Lavarone;10/8/2002;"11,9";"10,6";"13";"11";"94";"0";"1";"0";"32";"0";"1004";"20,7";"pioggia "
Lavarone;11/8/2002;"12,4";"10,4";"14,7";"10,9";"90";"0";"3";"0";"59";"0";"999";"26,3";"pioggia "
Lavarone;12/8/2002;"16";"11,3";"20,8";"8,7";"64";"0";"3";"0";"26";"0";"1004";"0";""
Lavarone;13/8/2002;"17,7";"12,2";"22,9";"7,6";"53";"0";"3";"0";"32";"0";"1012";"0";""
Lavarone;14/8/2002;"17,6";"13,1";"21,7";"9,4";"60";"0";"3";"0";"26";"0";"1016";"0";""
Lavarone;15/8/2002;"17,7";"14,2";"21,5";"12,2";"71";"0";"2";"0";"22";"0";"1015";"0";""
Lavarone;16/8/2002;"18,2";"14,2";"22,4";"11,8";"67";"0";"2";"0";"20";"0";"1016";"0";""
Lavarone;17/8/2002;"18,3";"14,9";"21,8";"12";"67";"0";"2";"0";"20";"0";"1015";"0";""
Lavarone;18/8/2002;"17,4";"14,9";"20";"13,1";"76";"0";"2";"0";"20";"0";"1015";"0,6";"pioggia "
Lavarone;19/8/2002;"16,9";"13,4";"20,4";"12,6";"76";"0";"2";"0";"21";"0";"1018";"0,8";"pioggia "
Lavarone;20/8/2002;"16,5";"13,2";"20,1";"13,2";"81";"0";"3";"0";"32";"0";"1017";"6,3";"pioggia "
Lavarone;21/8/2002;"15,2";"13,1";"18,5";"12,6";"85";"0";"2";"0";"26";"0";"1014";"13,2";"pioggia "
Lavarone;22/8/2002;"15,8";"11,5";"19,7";"9,9";"69";"0";"3";"0";"26";"0";"1014";"0";""
Lavarone;23/8/2002;"16,3";"13,9";"20";"12,1";"76";"0";"2";"0";"32";"0";"1017";"2";"pioggia "
Lavarone;24/8/2002;"16,1";"13";"20,1";"12,1";"78";"0";"2";"0";"31";"0";"1019";"0";""
Lavarone;25/8/2002;"16,8";"12,3";"21,4";"11,6";"72";"0";"2";"0";"23";"0";"1021";"0";""
Lavarone;26/8/2002;"17,1";"14,5";"20,8";"12";"72";"0";"2";"0";"27";"0";"1019";"0";""
Lavarone;27/8/2002;"16,3";"13,7";"19,5";"11,1";"72";"0";"2";"0";"30";"0";"1015";"1,5";"pioggia "
Lavarone;28/8/2002;"16,1";"12,7";"19,8";"10,6";"70";"0";"2";"0";"26";"0";"1013";"0";""
Lavarone;29/8/2002;"17,2";"14,3";"20,9";"11,2";"68";"0";"2";"0";"32";"0";"1013";"0";""
Lavarone;30/8/2002;"16,7";"13,1";"20,7";"11,4";"71";"0";"2";"0";"21";"0";"1018";"0";""
Lavarone;31/8/2002;"15,7";"12,3";"19,8";"11,7";"77";"0";"2";"0";"21";"0";"1017";"1,2";"pioggia "
