LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/12/2003;"3,1";"2,4";"3,8";"1,9";"92";"0";"1";"0";"23";"0";"1018";"7,6";"pioggia neve "
Lavarone;2/12/2003;"5,4";"4";"6,8";"3,9";"89";"0";"1";"0";"22";"0";"1023";"5,3";"pioggia "
Lavarone;3/12/2003;"6,2";"5";"7,7";"4,1";"86";"0";"2";"0";"22";"0";"1024";"0";""
Lavarone;4/12/2003;"5,4";"3";"8,5";"1,2";"74";"0";"2";"0";"25";"0";"1026";"0,6";"pioggia "
Lavarone;5/12/2003;"5";"2,5";"8,7";"0,7";"73";"0";"2";"0";"19";"0";"1024";"0";""
Lavarone;6/12/2003;"4,7";"1,5";"9,2";"-0,1";"71";"0";"3";"0";"26";"0";"1013";"0";""
Lavarone;7/12/2003;"0,1";"-2";"2,9";"-4,4";"72";"0";"2";"0";"31";"0";"1022";"6,8";"pioggia neve "
Lavarone;8/12/2003;"-0,3";"-2,8";"3,4";"-8,1";"56";"0";"2";"0";"29";"0";"1024";"0";""
Lavarone;9/12/2003;"1,1";"-1,7";"4,9";"-7,4";"53";"0";"3";"0";"36";"0";"1019";"0";""
Lavarone;10/12/2003;"0,5";"-0,5";"1,7";"-2,8";"78";"0";"2";"0";"25";"0";"1021";"6";"pioggia neve "
Lavarone;11/12/2003;"1,8";"0,6";"3,8";"0,3";"89";"0";"1";"0";"25";"0";"1022";"1,9";"pioggia neve "
Lavarone;12/12/2003;"1,5";"-0,8";"5,2";"-1,7";"79";"0";"4";"0";"27";"0";"1021";"0";""
Lavarone;13/12/2003;"2,1";"-0,7";"5,2";"-2,2";"73";"0";"2";"0";"23";"0";"1022";"0";""
Lavarone;14/12/2003;"3,8";"0,1";"7,4";"-3,8";"58";"0";"3";"0";"40";"0";"1007";"0";""
Lavarone;15/12/2003;"-0,1";"-1,9";"2,8";"-10,6";"46";"0";"3";"0";"47";"0";"1011";"0";""
Lavarone;16/12/2003;"-1,6";"-3,2";"0,6";"-12,1";"44";"0";"3";"0";"42";"0";"1021";"0";"neve "
Lavarone;17/12/2003;"-0,7";"-3";"2,2";"-9,9";"50";"0";"2";"0";"36";"0";"1027";"0";""
Lavarone;18/12/2003;"-0,8";"-2,6";"2,4";"-7,9";"58";"0";"1";"0";"19";"0";"1028";"0";""
Lavarone;19/12/2003;"-1,7";"-3,6";"1,5";"-7,7";"63";"0";"2";"0";"21";"0";"1026";"0";""
Lavarone;20/12/2003;"-1,9";"-4,2";"1,3";"-7,7";"64";"0";"1";"0";"32";"0";"1025";"0";""
Lavarone;21/12/2003;"-0,2";"-2,3";"1,8";"-2,9";"82";"0";"3";"0";"42";"0";"1012";"1,7";"pioggia neve "
Lavarone;22/12/2003;"-3,8";"-7,2";"-0,9";"-10";"62";"0";"5";"0";"70";"0";"1009";"0";""
Lavarone;23/12/2003;"-8,9";"-13,2";"-5,7";"-20,1";"40";"0";"9";"0";"70";"0";"1022";"0";""
Lavarone;24/12/2003;"-12,1";"-15,7";"-7,3";"-20,3";"51";"0";"5";"0";"48";"0";"1028";"0";""
Lavarone;25/12/2003;"-8,2";"-14,9";"-1,9";"-16,8";"50";"0";"3";"0";"32";"0";"1026";"0";""
Lavarone;26/12/2003;"-2,1";"-6";"2,9";"-9,7";"56";"0";"2";"0";"22";"0";"1021";"0";""
Lavarone;27/12/2003;"-0";"-2,9";"2,8";"-8";"55";"0";"2";"0";"39";"0";"1016";"0";"neve "
Lavarone;28/12/2003;"0,8";"-0";"1,8";"-1,1";"86";"0";"2";"0";"37";"0";"1010";"22";"pioggia neve "
Lavarone;29/12/2003;"1,1";"0,8";"1,5";"-0,3";"90";"0";"2";"0";"19";"0";"1008";"32,5";"pioggia neve "
Lavarone;30/12/2003;"1,3";"1,1";"1,6";"-0,5";"87";"0";"3";"0";"28";"0";"1009";"11,8";"pioggia neve "
Lavarone;31/12/2003;"0,7";"-1,3";"1,7";"-1,6";"84";"0";"5";"0";"37";"0";"1010";"9";"pioggia neve "
