LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/4/2008;"9,9";"5,8";"14,6";"1,4";"56";"0";"2";"0";"25";"0";"1017";"0";""
Lavarone;2/4/2008;"7,7";"4,5";"11,7";"-2,9";"48";"0";"5";"0";"56";"0";"1015";"0";""
Lavarone;3/4/2008;"4,5";"1,2";"8,6";"-6,5";"44";"0";"5";"0";"49";"0";"1015";"0";""
Lavarone;4/4/2008;"5,8";"0,4";"11";"-7,3";"39";"0";"5";"0";"47";"0";"1019";"0";""
Lavarone;5/4/2008;"4,9";"1,5";"8,5";"-5,1";"49";"0";"1";"0";"23";"0";"1011";"0";""
Lavarone;6/4/2008;"2,7";"1";"5,4";"-0,8";"78";"0";"5";"0";"56";"0";"1000";"6";"pioggia neve "
Lavarone;7/4/2008;"5,7";"2,1";"9,6";"-3,8";"54";"0";"3";"0";"59";"0";"998";"11,2";"pioggia neve "
Lavarone;8/4/2008;"4,8";"3";"6,9";"-0,2";"71";"0";"1";"0";"31";"0";"1005";"0,9";"pioggia neve "
Lavarone;9/4/2008;"4,5";"1,8";"6,4";"2,7";"87";"0";"3";"0";"47";"0";"1004";"7,4";"pioggia "
Lavarone;10/4/2008;"6,3";"5,3";"7,2";"5,3";"93";"0";"2";"0";"39";"0";"1002";"4,6";"pioggia "
Lavarone;11/4/2008;"7,8";"6,5";"9,5";"6,5";"91";"0";"3";"0";"59";"0";"1001";"31,7";"pioggia "
Lavarone;12/4/2008;"7,1";"6";"8,8";"3";"75";"0";"2";"0";"30";"0";"1006";"3,4";"pioggia "
Lavarone;13/4/2008;"5,1";"2,9";"7";"2,3";"82";"0";"2";"0";"29";"0";"1016";"4,2";"pioggia "
Lavarone;14/4/2008;"3,4";"1,2";"6,4";"2,4";"92";"0";"2";"0";"33";"0";"1015";"12,2";"pioggia neve "
Lavarone;15/4/2008;"3,5";"0,9";"5,8";"-0,6";"75";"0";"5";"0";"63";"0";"1012";"7,9";"pioggia neve "
Lavarone;16/4/2008;"5,1";"1,6";"8,7";"-4,1";"52";"0";"4";"0";"45";"0";"1013";"0";""
Lavarone;17/4/2008;"5,3";"2,6";"8,6";"1,1";"75";"0";"4";"0";"44";"0";"1007";"3";"pioggia "
Lavarone;18/4/2008;"5";"2,9";"6,9";"3,3";"89";"0";"3";"0";"44";"0";"1002";"16";"pioggia neve "
Lavarone;19/4/2008;"8,2";"4,8";"12,6";"2";"66";"0";"4";"0";"55";"0";"1001";"8,8";"pioggia "
Lavarone;20/4/2008;"9,6";"6,1";"13,9";"2,3";"61";"0";"3";"0";"40";"0";"1006";"0,9";"pioggia "
Lavarone;21/4/2008;"5,5";"3,8";"6,6";"4,4";"92";"0";"2";"0";"33";"0";"1001";"19,6";"pioggia "
Lavarone;22/4/2008;"7,3";"3,7";"11,5";"3,8";"79";"0";"1";"0";"27";"0";"1001";"3,9";"pioggia "
Lavarone;23/4/2008;"10";"5,4";"14,9";"3,1";"63";"0";"1";"0";"24";"0";"1012";"4";"pioggia "
Lavarone;24/4/2008;"8,5";"5,6";"11,1";"4,7";"76";"0";"2";"0";"28";"0";"1022";"2,8";"pioggia "
Lavarone;25/4/2008;"8,9";"4,2";"12,9";"2,8";"66";"0";"2";"0";"28";"0";"1023";"0,5";"pioggia "
Lavarone;26/4/2008;"9,8";"4,6";"14,3";"-1,2";"46";"0";"3";"0";"29";"0";"1024";"0";""
Lavarone;27/4/2008;"9,7";"7,2";"11,6";"1";"55";"0";"3";"0";"24";"0";"1023";"0";""
Lavarone;28/4/2008;"10,2";"7,2";"12,7";"2,6";"59";"0";"4";"0";"35";"0";"1013";"0";""
Lavarone;29/4/2008;"6,4";"5";"7,8";"4,3";"86";"0";"3";"0";"25";"0";"1006";"10";"pioggia "
Lavarone;30/4/2008;"7,6";"4,8";"10,5";"4,2";"80";"0";"5";"0";"50";"0";"1008";"4,8";"pioggia "
