LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/7/2011;"14,4";"11";"17,4";"7,9";"65";"0";"3";"0";"27";"0";"1014";"3,7";"pioggia "
Lavarone;2/7/2011;"12,5";"9,2";"15,9";"5,1";"61";"0";"2";"0";"31";"0";"1012";"1,9";"pioggia "
Lavarone;3/7/2011;"15,5";"9,7";"20,5";"7,7";"61";"0";"2";"0";"28";"0";"1010";"0";""
Lavarone;4/7/2011;"17,8";"13,6";"21,9";"11,3";"66";"0";"3";"0";"38";"0";"1013";"1";"pioggia "
Lavarone;5/7/2011;"18";"14,8";"21,9";"13";"73";"0";"3";"0";"32";"0";"1012";"1,4";"pioggia "
Lavarone;6/7/2011;"18,3";"15,4";"22,2";"14,7";"80";"0";"3";"0";"28";"0";"1012";"3,8";"pioggia "
Lavarone;7/7/2011;"15,9";"13,4";"19";"14,4";"91";"0";"3";"0";"50";"0";"1013";"16,8";"pioggia "
Lavarone;8/7/2011;"18,4";"13,4";"23,2";"12,6";"70";"0";"4";"0";"56";"0";"1014";"0";""
Lavarone;9/7/2011;"20,1";"16";"24,1";"13,8";"67";"0";"4";"0";"39";"0";"1018";"0,7";"pioggia "
Lavarone;10/7/2011;"20";"16";"23,4";"14,8";"72";"0";"3";"0";"37";"0";"1017";"2,1";"pioggia "
Lavarone;11/7/2011;"20,4";"15,7";"24,6";"14,2";"68";"0";"2";"0";"37";"0";"1016";"1,2";"pioggia "
Lavarone;12/7/2011;"21";"17,2";"24,8";"14,6";"67";"0";"3";"0";"38";"0";"1016";"0";""
Lavarone;13/7/2011;"19,6";"16,4";"21,5";"16,6";"82";"0";"2";"0";"57";"0";"1012";"31,7";"pioggia "
Lavarone;14/7/2011;"18,7";"14,6";"22,5";"13,9";"74";"0";"3";"0";"36";"0";"1011";"6,8";"pioggia "
Lavarone;15/7/2011;"16,9";"12,9";"19,4";"12,8";"77";"0";"3";"0";"25";"0";"1015";"4,6";"pioggia "
Lavarone;16/7/2011;"15,2";"11,8";"18,3";"11,6";"79";"0";"3";"0";"38";"0";"1014";"2,1";"pioggia "
Lavarone;17/7/2011;"16";"13,5";"18,4";"11,9";"77";"0";"5";"0";"56";"0";"1008";"3,5";"pioggia "
Lavarone;18/7/2011;"16,3";"14";"19,2";"10";"66";"0";"3";"0";"43";"0";"1005";"6,6";"pioggia "
Lavarone;19/7/2011;"14,1";"11";"16,8";"9,4";"74";"0";"4";"0";"47";"0";"1005";"11,5";"pioggia "
Lavarone;20/7/2011;"13,1";"10,5";"16,3";"7,7";"71";"0";"3";"0";"43";"0";"1003";"8,4";"pioggia "
Lavarone;21/7/2011;"15,7";"10,3";"20,3";"6,6";"55";"0";"3";"0";"31";"0";"1006";"0,9";"pioggia "
Lavarone;22/7/2011;"16,3";"12";"19,8";"8,8";"61";"0";"2";"0";"32";"0";"1007";"0,7";"pioggia "
Lavarone;23/7/2011;"13,6";"11";"16";"10,4";"81";"0";"2";"0";"26";"0";"1007";"9,6";"pioggia "
Lavarone;24/7/2011;"13";"10,5";"16,1";"5,8";"63";"0";"4";"0";"47";"0";"1006";"9,4";"pioggia "
Lavarone;25/7/2011;"12,3";"8,8";"16,4";"5,3";"63";"0";"3";"0";"31";"0";"1009";"0";""
Lavarone;26/7/2011;"13";"8,7";"16";"8,9";"76";"0";"2";"0";"29";"0";"1012";"0,6";"pioggia "
Lavarone;27/7/2011;"13,9";"10,8";"17,1";"9,7";"76";"0";"2";"0";"31";"0";"1017";"0";""
Lavarone;28/7/2011;"15";"11,6";"19,4";"10,8";"77";"0";"1";"0";"26";"0";"1015";"4,1";"pioggia "
Lavarone;29/7/2011;"16,4";"12,4";"20,5";"9,7";"65";"0";"3";"0";"30";"0";"1014";"0";""
Lavarone;30/7/2011;"16,3";"13,1";"20,5";"10,5";"69";"0";"2";"0";"24";"0";"1012";"2,1";"pioggia "
Lavarone;31/7/2011;"16,4";"12,2";"20,2";"11,2";"72";"0";"2";"0";"23";"0";"1011";"0,7";"pioggia "
