LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/11/2014;"9,5";"6,7";"14,1";"4,5";"71";"0";"2";"0";"18";"0";"1024";"0";""
Lavarone;2/11/2014;"8,1";"4,8";"12,7";"3,9";"75";"0";"2";"0";"22";"0";"1020";"0";""
Lavarone;3/11/2014;"6,3";"4,1";"9,2";"4,7";"89";"0";"3";"0";"44";"0";"1017";"1,4";"pioggia "
Lavarone;4/11/2014;"6,4";"5,2";"7,9";"6,7";"99";"0";"3";"0";"74";"0";"1008";"27,1";"pioggia "
Lavarone;5/11/2014;"8,6";"6,6";"9,9";"7,8";"94";"0";"1";"0";"73";"0";"1003";"83,1";"pioggia "
Lavarone;6/11/2014;"9,1";"8,7";"9,6";"7,4";"88";"0";"2";"0";"39";"0";"1008";"26,1";"pioggia "
Lavarone;7/11/2014;"9,2";"7,7";"10,7";"7,5";"89";"0";"2";"0";"19";"0";"1009";"3";"pioggia "
Lavarone;8/11/2014;"8,1";"6,4";"9,9";"6,4";"89";"0";"3";"0";"26";"0";"1011";"3,7";"pioggia "
Lavarone;9/11/2014;"7,8";"7";"9,1";"7,5";"98";"0";"2";"0";"26";"0";"1013";"4,1";"pioggia "
Lavarone;10/11/2014;"7,4";"6,3";"8";"7,3";"98";"0";"1";"0";"45";"0";"1015";"34,1";"pioggia "
Lavarone;11/11/2014;"8,2";"6,9";"9,4";"7,5";"95";"0";"1";"0";"42";"0";"1013";"17,7";"pioggia "
Lavarone;12/11/2014;"8,5";"7,9";"9,6";"7,5";"93";"0";"3";"0";"29";"0";"1006";"7,8";"pioggia "
Lavarone;13/11/2014;"8,1";"6,9";"10";"6,6";"90";"0";"2";"0";"30";"0";"1008";"1,8";"pioggia "
Lavarone;14/11/2014;"7,4";"6,5";"9,1";"6,1";"91";"0";"2";"0";"25";"0";"1013";"0,5";"pioggia "
Lavarone;15/11/2014;"6,4";"5,9";"7,3";"6,2";"96";"0";"2";"0";"48";"0";"1008";"39,2";"pioggia "
Lavarone;16/11/2014;"5,7";"3,8";"7,8";"4,4";"91";"0";"2";"0";"41";"0";"1005";"10,8";"pioggia "
Lavarone;17/11/2014;"3,6";"2,8";"4,9";"2,8";"93";"0";"2";"0";"37";"0";"1007";"21,6";"pioggia neve "
Lavarone;18/11/2014;"3,2";"2";"4,7";"1,9";"91";"0";"1";"0";"31";"0";"1006";"12,4";"pioggia neve "
Lavarone;19/11/2014;"4,9";"1,6";"8,4";"-0,2";"70";"0";"2";"0";"24";"0";"1016";"0";""
Lavarone;20/11/2014;"5,8";"3";"9,4";"-0,2";"65";"0";"1";"0";"18";"0";"1023";"0";""
Lavarone;21/11/2014;"5,9";"4,2";"8,9";"1,7";"74";"0";"1";"0";"19";"0";"1022";"0";""
Lavarone;22/11/2014;"5,9";"3,2";"9,6";"2,5";"78";"0";"1";"0";"16";"0";"1023";"0";""
Lavarone;23/11/2014;"6,2";"3,5";"9,7";"2,1";"75";"0";"1";"0";"17";"0";"1025";"0";""
Lavarone;24/11/2014;"6,9";"3,8";"10,6";"2";"71";"0";"2";"0";"18";"0";"1022";"0";""
Lavarone;25/11/2014;"6,4";"4,3";"9,7";"3";"79";"0";"1";"0";"23";"0";"1020";"0";""
Lavarone;26/11/2014;"4,7";"4,1";"5,3";"3,8";"93";"0";"1";"0";"17";"0";"1017";"0,6";"pioggia "
Lavarone;27/11/2014;"4,9";"4,2";"5,5";"3,7";"91";"0";"1";"0";"23";"0";"1014";"1,3";"pioggia "
Lavarone;28/11/2014;"5,6";"4,7";"6,8";"4,4";"92";"0";"1";"0";"25";"0";"1014";"2,2";"pioggia "
Lavarone;29/11/2014;"6,4";"4,6";"9,8";"4,2";"86";"0";"2";"0";"16";"0";"1014";"0";""
Lavarone;30/11/2014;"5";"3,5";"6,1";"3,8";"92";"0";"3";"0";"19";"0";"1012";"5,3";"pioggia "
