LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/1/2015;"3,3";"0,2";"6,3";"-4,7";"56";"0";"1";"0";"28";"0";"1032";"0";""
Lavarone;2/1/2015;"5,8";"3,6";"9,1";"-1,6";"59";"0";"2";"0";"24";"0";"1028";"0";""
Lavarone;3/1/2015;"4,3";"3,3";"6";"-1,1";"68";"0";"3";"0";"37";"0";"1021";"0";""
Lavarone;4/1/2015;"2,7";"-0,4";"6,4";"-7,8";"48";"0";"6";"0";"45";"0";"1021";"0";""
Lavarone;5/1/2015;"-0,4";"-2,3";"3,2";"-10,7";"46";"0";"5";"0";"45";"0";"1028";"0";""
Lavarone;6/1/2015;"0,4";"-1,7";"4,1";"-6,1";"62";"0";"2";"0";"30";"0";"1024";"0";""
Lavarone;7/1/2015;"0,9";"-1,2";"4,2";"-2,7";"77";"0";"0";"0";"13";"0";"1029";"0";""
Lavarone;8/1/2015;"1,4";"-0,5";"4,5";"-2,8";"74";"0";"1";"0";"22";"0";"1031";"0";""
Lavarone;9/1/2015;"0,6";"-1,4";"2,9";"-3,6";"73";"0";"3";"0";"46";"0";"1026";"0";""
Lavarone;10/1/2015;"3,9";"0,8";"7,3";"-0,9";"71";"0";"4";"0";"50";"0";"1016";"0";""
Lavarone;11/1/2015;"3,9";"0,2";"7,3";"-5,7";"52";"0";"3";"0";"51";"0";"1014";"0";""
Lavarone;12/1/2015;"0,4";"-2";"4";"-9,3";"49";"0";"2";"0";"49";"0";"1027";"0";""
Lavarone;13/1/2015;"1,6";"-1";"5,1";"-3,4";"70";"0";"2";"0";"41";"0";"1025";"0";""
Lavarone;14/1/2015;"1,8";"-0,2";"4,6";"-1,1";"81";"0";"2";"0";"34";"0";"1019";"0";""
Lavarone;15/1/2015;"0,7";"-0,9";"2,5";"-1,7";"84";"0";"2";"0";"38";"0";"1020";"0";""
Lavarone;16/1/2015;"1,4";"0,8";"2,1";"1,1";"97";"0";"2";"0";"59";"0";"1016";"18,3";"pioggia neve "
Lavarone;17/1/2015;"1,6";"0,1";"3,2";"0,6";"92";"0";"1";"0";"64";"0";"1012";"31,6";"pioggia neve "
Lavarone;18/1/2015;"0,9";"-0,7";"3,3";"-2,4";"78";"0";"1";"0";"33";"0";"1016";"3";"pioggia neve "
Lavarone;19/1/2015;"-0,2";"-2,2";"1,8";"-3,7";"77";"0";"2";"0";"20";"0";"1013";"0";""
Lavarone;20/1/2015;"1,4";"0,2";"3,8";"-3,5";"70";"0";"1";"0";"18";"0";"1011";"0";""
Lavarone;21/1/2015;"0,3";"-0,7";"1,1";"-2,7";"80";"0";"3";"0";"29";"0";"1012";"9,5";"pioggia neve "
Lavarone;22/1/2015;"0,6";"-0,2";"1,7";"-1,4";"86";"0";"3";"0";"28";"0";"1012";"6,8";"pioggia neve "
Lavarone;23/1/2015;"0,8";"-1";"3,6";"-6";"60";"0";"7";"0";"49";"0";"1010";"0";""
Lavarone;24/1/2015;"0,4";"-2";"3,6";"-8,3";"51";"0";"7";"0";"46";"0";"1013";"0";""
Lavarone;25/1/2015;"-0,5";"-2,5";"2,7";"-12";"41";"0";"8";"0";"57";"0";"1019";"0";""
Lavarone;26/1/2015;"-0,5";"-2,6";"2,4";"-11,5";"43";"0";"3";"0";"41";"0";"1023";"0";""
Lavarone;27/1/2015;"1,1";"-0,3";"4";"-10,3";"42";"0";"3";"0";"33";"0";"1016";"0";""
Lavarone;28/1/2015;"-0,4";"-2";"2,7";"-9,5";"50";"0";"3";"0";"35";"0";"1016";"0";""
Lavarone;29/1/2015;"-1,1";"-2";"0,2";"-6,7";"65";"0";"2";"0";"29";"0";"999";"0,5";"pioggia neve "
Lavarone;30/1/2015;"-0,5";"-1,3";"0,8";"-8,6";"56";"0";"3";"0";"45";"0";"979";"4,8";"pioggia neve "
Lavarone;31/1/2015;"-0,7";"-2,8";"1,9";"-9,9";"50";"0";"1";"0";"22";"0";"986";"0";""
