LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/10/2015;"8,8";"6,2";"11,2";"3";"67";"0";"3";"0";"30";"0";"1026";"0";""
Lavarone;2/10/2015;"10,1";"8,9";"11,1";"7,6";"84";"0";"4";"0";"38";"0";"1024";"11,4";"pioggia "
Lavarone;3/10/2015;"10,5";"9,4";"12,8";"8,9";"89";"0";"3";"0";"37";"0";"1021";"4,8";"pioggia "
Lavarone;4/10/2015;"10,3";"8,3";"12,2";"9,1";"92";"0";"2";"0";"48";"0";"1018";"21,2";"pioggia "
Lavarone;5/10/2015;"12";"7,4";"16,7";"7,3";"74";"0";"3";"0";"24";"0";"1015";"1,1";"pioggia "
Lavarone;6/10/2015;"11,9";"10,6";"12,8";"9,3";"84";"0";"1";"0";"20";"0";"1011";"1,2";"pioggia "
Lavarone;7/10/2015;"12,4";"9,8";"15,4";"8,3";"76";"0";"3";"0";"36";"0";"1010";"5,2";"pioggia "
Lavarone;8/10/2015;"11,7";"9,8";"14,3";"7,4";"75";"0";"2";"0";"24";"0";"1015";"3,7";"pioggia "
Lavarone;9/10/2015;"10,6";"8,9";"13,2";"8,1";"84";"0";"1";"0";"20";"0";"1017";"4,2";"pioggia "
Lavarone;10/10/2015;"10";"8,4";"12,4";"7,3";"83";"0";"3";"0";"29";"0";"1010";"0";""
Lavarone;11/10/2015;"10,8";"8,9";"13,6";"6,8";"77";"0";"2";"0";"25";"0";"1007";"2,4";"pioggia "
Lavarone;12/10/2015;"10";"9";"11,7";"6,8";"81";"0";"3";"0";"29";"0";"1013";"0";""
Lavarone;13/10/2015;"9,1";"8,8";"9,4";"8,3";"94";"0";"2";"0";"38";"0";"1012";"11,7";"pioggia "
Lavarone;14/10/2015;"8,6";"7,2";"9,3";"8";"96";"0";"3";"0";"39";"0";"1008";"29,5";"pioggia "
Lavarone;15/10/2015;"7,2";"6";"9";"6,1";"92";"0";"2";"0";"39";"0";"1008";"14,4";"pioggia "
Lavarone;16/10/2015;"5,3";"3,7";"6,7";"3,5";"88";"0";"1";"0";"30";"0";"1014";"8,7";"pioggia "
Lavarone;17/10/2015;"5,4";"2,2";"8,1";"1,8";"78";"0";"3";"0";"36";"0";"1017";"1,1";"pioggia "
Lavarone;18/10/2015;"6,8";"5,4";"8,4";"3,9";"81";"0";"3";"0";"36";"0";"1016";"0,5";"pioggia "
Lavarone;19/10/2015;"8,8";"6,1";"12,7";"1,8";"63";"0";"3";"0";"33";"0";"1013";"2,5";"pioggia "
Lavarone;20/10/2015;"7,4";"3,7";"12,1";"-2,1";"52";"0";"3";"0";"30";"0";"1016";"0";""
Lavarone;21/10/2015;"7,5";"5,2";"11,6";"0,1";"60";"0";"2";"0";"19";"0";"1017";"0";""
Lavarone;22/10/2015;"8,4";"4,6";"12,6";"0,9";"59";"0";"2";"0";"25";"0";"1013";"0";""
Lavarone;23/10/2015;"11";"8";"16,1";"4,7";"66";"0";"2";"0";"29";"0";"1019";"0";""
Lavarone;24/10/2015;"11,5";"8";"16,6";"4,3";"62";"0";"2";"0";"17";"0";"1021";"0";""
Lavarone;25/10/2015;"11,5";"8,3";"15,7";"3,1";"57";"0";"1";"0";"18";"0";"1021";"0";""
Lavarone;26/10/2015;"11";"8,5";"15,5";"3,7";"61";"0";"2";"0";"16";"0";"1021";"0";""
Lavarone;27/10/2015;"9,8";"7,7";"14,1";"4,5";"70";"0";"2";"0";"21";"0";"1019";"0";""
Lavarone;28/10/2015;"7,6";"7,2";"8,2";"5,9";"89";"0";"1";"0";"25";"0";"1017";"8,3";"pioggia "
Lavarone;29/10/2015;"9";"6,7";"10,8";"7,1";"87";"0";"3";"0";"33";"0";"1015";"23,2";"pioggia "
Lavarone;30/10/2015;"11,2";"8";"14,9";"6,7";"74";"0";"2";"0";"21";"0";"1023";"0";""
Lavarone;31/10/2015;"10,9";"8";"15";"3";"60";"0";"2";"0";"26";"0";"1029";"0";""
