LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/6/2016;"11,4";"8,9";"14,8";"8,4";"82";"0";"2";"0";"27";"0";"1012";"4,5";"pioggia "
Lavarone;2/6/2016;"11,6";"9,4";"14,2";"10";"89";"0";"2";"0";"32";"0";"1010";"3,2";"pioggia "
Lavarone;3/6/2016;"11,8";"8,5";"15,1";"9,5";"86";"0";"2";"0";"32";"0";"1010";"4,2";"pioggia "
Lavarone;4/6/2016;"11,9";"8,8";"15,1";"10,1";"88";"0";"1";"0";"29";"0";"1012";"5";"pioggia "
Lavarone;5/6/2016;"13,3";"8,7";"16,8";"9,2";"76";"0";"2";"0";"20";"0";"1014";"2,6";"pioggia "
Lavarone;6/6/2016;"15,3";"11,5";"17,5";"9,4";"68";"0";"2";"0";"23";"0";"1018";"1";"pioggia "
Lavarone;7/6/2016;"16";"12,7";"20,4";"10,5";"71";"0";"2";"0";"30";"0";"1020";"1,6";"pioggia "
Lavarone;8/6/2016;"14,2";"12";"18,5";"11,4";"83";"0";"2";"0";"33";"0";"1017";"13,9";"pioggia "
Lavarone;9/6/2016;"12,6";"10,4";"14,5";"11";"90";"0";"2";"0";"35";"0";"1012";"6,6";"pioggia "
Lavarone;10/6/2016;"14,1";"9,8";"17,2";"8,8";"71";"0";"4";"0";"31";"0";"1011";"0";""
Lavarone;11/6/2016;"14,5";"12,2";"16,9";"11,1";"80";"0";"3";"0";"40";"0";"1010";"8,1";"pioggia "
Lavarone;12/6/2016;"13,6";"11,3";"15,5";"9,4";"75";"0";"2";"0";"20";"0";"1008";"1";"pioggia "
Lavarone;13/6/2016;"13,8";"10,2";"17,5";"9,6";"77";"0";"2";"0";"39";"0";"1004";"1,3";"pioggia "
Lavarone;14/6/2016;"11,7";"9,5";"14,2";"10,2";"90";"0";"2";"0";"29";"0";"1001";"14,2";"pioggia "
Lavarone;15/6/2016;"13,3";"9,4";"17";"9,5";"78";"0";"5";"0";"66";"0";"1002";"13,9";"pioggia "
Lavarone;16/6/2016;"14,2";"11,3";"17,6";"11,6";"84";"0";"4";"0";"62";"0";"1004";"19,1";"pioggia "
Lavarone;17/6/2016;"15,2";"12,6";"18,7";"8,1";"64";"0";"5";"0";"71";"0";"1009";"4,2";"pioggia "
Lavarone;18/6/2016;"14,1";"11";"17,3";"8,4";"68";"0";"3";"0";"34";"0";"1017";"1,9";"pioggia "
Lavarone;19/6/2016;"12";"9,9";"13,8";"7";"71";"0";"5";"0";"44";"0";"1016";"0,7";"pioggia "
Lavarone;20/6/2016;"15,3";"10,5";"19,3";"6,9";"57";"0";"5";"0";"41";"0";"1018";"0";""
Lavarone;21/6/2016;"17";"14,1";"19,4";"10,4";"65";"0";"3";"0";"25";"0";"1022";"0";""
Lavarone;22/6/2016;"20";"14,8";"23,8";"12,9";"64";"0";"2";"0";"21";"0";"1023";"0";""
Lavarone;23/6/2016;"22,1";"17";"26,1";"15,1";"65";"0";"2";"0";"28";"0";"1021";"0";""
Lavarone;24/6/2016;"22,2";"18,1";"26,3";"16,5";"70";"0";"2";"0";"26";"0";"1017";"0,8";"pioggia "
Lavarone;25/6/2016;"20,3";"16,6";"23,6";"14,5";"69";"0";"3";"0";"36";"0";"1012";"4";"pioggia "
Lavarone;26/6/2016;"17,2";"13,4";"20";"13,5";"79";"0";"2";"0";"35";"0";"1013";"17,1";"pioggia "
Lavarone;27/6/2016;"17";"12,6";"21,8";"10,3";"67";"0";"3";"0";"42";"0";"1015";"3,1";"pioggia "
Lavarone;28/6/2016;"17,8";"14,5";"20,9";"10,2";"62";"0";"4";"0";"36";"0";"1017";"0";""
Lavarone;29/6/2016;"18,3";"15,4";"20,7";"11,5";"65";"0";"4";"0";"35";"0";"1016";"0";""
Lavarone;30/6/2016;"18,2";"14,8";"21,6";"13,5";"74";"0";"3";"0";"39";"0";"1016";"4,7";"pioggia "
