LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/9/2017;"14,3";"11,2";"16,6";"12,7";"90";"0";"2";"0";"37";"0";"1013";"26,2";"pioggia "
Lavarone;2/9/2017;"9,3";"7,7";"11,5";"8,3";"92";"0";"5";"0";"48";"0";"1010";"35,7";"pioggia "
Lavarone;3/9/2017;"11,1";"8,1";"15,8";"4,1";"63";"0";"5";"0";"49";"0";"1012";"0";""
Lavarone;4/9/2017;"12,6";"8,2";"16,7";"6,2";"66";"0";"3";"0";"30";"0";"1017";"0,8";"pioggia "
Lavarone;5/9/2017;"14,1";"11,2";"19,1";"9,6";"75";"0";"3";"0";"25";"0";"1020";"0";""
Lavarone;6/9/2017;"14,9";"12,1";"19,4";"11,5";"81";"0";"2";"0";"25";"0";"1017";"3,7";"pioggia "
Lavarone;7/9/2017;"14";"11,6";"17,6";"11,2";"84";"0";"3";"0";"30";"0";"1013";"5,9";"pioggia "
Lavarone;8/9/2017;"12,9";"10,3";"16,8";"9,8";"82";"0";"4";"0";"38";"0";"1013";"1,9";"pioggia "
Lavarone;9/9/2017;"12,7";"10,6";"15,8";"10,6";"87";"0";"6";"0";"51";"0";"1006";"13";"pioggia "
Lavarone;10/9/2017;"10,8";"10,3";"11,4";"10,8";"97";"0";"3";"0";"54";"0";"1004";"55,6";"pioggia "
Lavarone;11/9/2017;"12,8";"10,9";"14,9";"11,5";"91";"0";"2";"0";"21";"0";"1003";"6,3";"pioggia "
Lavarone;12/9/2017;"10,4";"8,6";"11,9";"7,5";"82";"0";"4";"0";"44";"0";"1008";"13";"pioggia "
Lavarone;13/9/2017;"10,9";"7,9";"15,3";"6,4";"74";"0";"4";"0";"38";"0";"1017";"0";""
Lavarone;14/9/2017;"12,3";"9,6";"14,5";"10,1";"86";"0";"6";"0";"73";"0";"1012";"9,6";"pioggia "
Lavarone;15/9/2017;"9,4";"7,4";"11";"6";"80";"0";"4";"0";"37";"0";"1012";"7,3";"pioggia "
Lavarone;16/9/2017;"9,9";"7,2";"12,3";"8,8";"92";"0";"3";"0";"45";"0";"1009";"5,2";"pioggia "
Lavarone;17/9/2017;"8,7";"6,1";"12,3";"5,5";"81";"0";"2";"0";"35";"0";"1012";"1,8";"pioggia "
Lavarone;18/9/2017;"7,8";"5,5";"11,3";"5";"83";"0";"2";"0";"25";"0";"1014";"4,1";"pioggia "
Lavarone;19/9/2017;"7,1";"6";"7,9";"3,7";"80";"0";"6";"0";"48";"0";"1012";"9,8";"pioggia "
Lavarone;20/9/2017;"10,8";"7,3";"15,1";"-0,6";"46";"0";"6";"0";"52";"0";"1016";"0";""
Lavarone;21/9/2017;"10,5";"7,5";"15,5";"0,9";"52";"0";"3";"0";"29";"0";"1019";"0";""
Lavarone;22/9/2017;"11";"7,8";"16,2";"5";"68";"0";"2";"0";"20";"0";"1020";"0";""
Lavarone;23/9/2017;"11,1";"8,5";"14,9";"8,5";"84";"0";"1";"0";"20";"0";"1020";"5,3";"pioggia "
Lavarone;24/9/2017;"9,7";"6,9";"13,1";"7,4";"85";"0";"2";"0";"31";"0";"1019";"10,4";"pioggia "
Lavarone;25/9/2017;"9,3";"6,5";"12,9";"5,4";"77";"0";"3";"0";"33";"0";"1019";"0,9";"pioggia "
Lavarone;26/9/2017;"9,5";"6";"14,2";"5,5";"77";"0";"2";"0";"27";"0";"1021";"0";""
Lavarone;27/9/2017;"10,7";"7,4";"15,1";"6,6";"76";"0";"2";"0";"19";"0";"1024";"0,5";"pioggia "
Lavarone;28/9/2017;"12";"9,1";"16,2";"8,1";"77";"0";"3";"0";"22";"0";"1026";"0";""
Lavarone;29/9/2017;"11,4";"9,5";"14,1";"8,4";"82";"0";"3";"0";"22";"0";"1024";"0";""
Lavarone;30/9/2017;"10,7";"9,4";"12,9";"7,5";"80";"0";"3";"0";"24";"0";"1020";"0";""
