LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/3/2018;"-4,8";"-7,1";"-3,3";"-10,2";"65";"0";"2";"0";"24";"0";"1012";"5,7";"pioggia neve "
Lavarone;2/3/2018;"-0,3";"-3";"1,9";"-3,2";"80";"0";"2";"0";"29";"0";"997";"5";"pioggia neve "
Lavarone;3/3/2018;"-0,1";"-2,8";"2,5";"-2,8";"81";"0";"3";"0";"36";"0";"998";"1,5";"pioggia neve "
Lavarone;4/3/2018;"2,1";"-1";"6,6";"-2";"74";"0";"4";"0";"40";"0";"1003";"0";"neve "
Lavarone;5/3/2018;"1,7";"0,3";"3,7";"-0,8";"83";"0";"2";"0";"19";"0";"998";"3,9";"pioggia neve "
Lavarone;6/3/2018;"0,2";"-1,6";"1,6";"-0,7";"93";"0";"2";"0";"17";"0";"993";"7,4";"pioggia neve "
Lavarone;7/3/2018;"-0,9";"-2,5";"1,1";"-1,6";"94";"0";"2";"0";"27";"0";"999";"11,5";"pioggia neve "
Lavarone;8/3/2018;"-0,5";"-5,2";"4,8";"-5,7";"70";"0";"3";"0";"30";"0";"1009";"0";""
Lavarone;9/3/2018;"1,4";"-1,6";"5,5";"-1,9";"79";"0";"3";"0";"32";"0";"1014";"0";""
Lavarone;10/3/2018;"3";"0,2";"5";"1,2";"88";"0";"3";"0";"36";"0";"1013";"0,8";"pioggia "
Lavarone;11/3/2018;"2,7";"2";"3,9";"2,5";"97";"0";"3";"0";"46";"0";"1007";"24,5";"pioggia neve "
Lavarone;12/3/2018;"3,3";"1,8";"6";"1,9";"90";"0";"3";"0";"33";"0";"1001";"2,3";"pioggia neve "
Lavarone;13/3/2018;"3,6";"1,5";"7,6";"1,1";"84";"0";"2";"0";"24";"0";"1006";"0";""
Lavarone;14/3/2018;"3,8";"0,2";"8,4";"-0,6";"75";"0";"3";"0";"31";"0";"1010";"1,5";"pioggia neve "
Lavarone;15/3/2018;"1,6";"0,4";"3,1";"0,5";"92";"0";"6";"0";"37";"0";"1006";"22";"pioggia neve "
Lavarone;16/3/2018;"2,2";"-0,3";"5,3";"0,7";"90";"0";"3";"0";"30";"0";"1002";"4,6";"pioggia neve "
Lavarone;17/3/2018;"1,9";"0,8";"3,1";"0,9";"93";"0";"4";"0";"33";"0";"996";"9,5";"pioggia neve "
Lavarone;18/3/2018;"1,5";"0,2";"3,8";"-0,8";"84";"0";"4";"0";"45";"0";"997";"6,5";"pioggia neve "
Lavarone;19/3/2018;"-0,1";"-1,2";"0,9";"-2";"87";"0";"2";"0";"34";"0";"1000";"11,3";"pioggia neve "
Lavarone;20/3/2018;"-0,3";"-3,4";"3,3";"-4,8";"73";"0";"3";"0";"41";"0";"1007";"3,9";"pioggia neve "
Lavarone;21/3/2018;"-1,4";"-4,5";"2,6";"-11,6";"47";"0";"5";"0";"51";"0";"1018";"0";""
Lavarone;22/3/2018;"0,6";"-5,5";"6,3";"-11,9";"40";"0";"3";"0";"41";"0";"1013";"0";""
Lavarone;23/3/2018;"2,2";"-1,3";"7,5";"-7,1";"52";"0";"6";"0";"44";"0";"1003";"0";""
Lavarone;24/3/2018;"1,2";"-0,8";"3,3";"-3,3";"72";"0";"3";"0";"26";"0";"1004";"0,7";"pioggia neve "
Lavarone;25/3/2018;"1,3";"-1,1";"4,5";"-3,1";"73";"0";"3";"0";"35";"0";"1008";"0";""
Lavarone;26/3/2018;"3,1";"-1";"7,9";"-2";"70";"0";"3";"0";"34";"0";"1010";"0";"neve "
Lavarone;27/3/2018;"3";"-0,2";"6,6";"-2,8";"68";"0";"3";"0";"32";"0";"1013";"0,7";"pioggia neve "
Lavarone;28/3/2018;"4,5";"0,4";"8,5";"0,9";"78";"0";"4";"0";"32";"0";"1009";"0";""
Lavarone;29/3/2018;"4,5";"2,9";"6,2";"3,9";"95";"0";"5";"0";"45";"0";"1006";"5";"pioggia "
Lavarone;30/3/2018;"4,2";"2";"6,6";"3";"92";"0";"6";"0";"50";"0";"1006";"7,5";"pioggia neve "
Lavarone;31/3/2018;"2,2";"0,9";"3,8";"1,2";"91";"0";"4";"0";"62";"0";"998";"23,3";"pioggia neve "
