LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/5/2025;"14,3";"8,7";"20,8";"10,1";"76";"79960";"2";"0";"4";"1020";"0";"2,3";"pioggia temporale "
Lavarone;2/5/2025;"15,1";"9,5";"21,5";"9,9";"71";"59076";"2";"0";"5";"1019";"0";"0";""
Lavarone;3/5/2025;"13,5";"8,2";"18,4";"6,4";"61";"59067";"3";"0";"7";"1013";"0";"0";""
Lavarone;4/5/2025;"12,2";"6,7";"16,8";"9,4";"82";"30601";"3";"0";"7";"1006";"0";"20";"pioggia "
Lavarone;5/5/2025;"10";"7,6";"13,3";"9,2";"94";"7707";"2";"0";"8";"1004";"0";"26,1";"pioggia temporale "
Lavarone;6/5/2025;"8,1";"6,1";"11,2";"7,2";"94";"11150";"1";"0";"5";"1010";"0";"27,6";"pioggia temporale "
Lavarone;7/5/2025;"7,1";"4,1";"8,8";"6,7";"97";"7031";"1";"0";"5";"1011";"0";"21,2";"pioggia temporale "
Lavarone;8/5/2025;"6,5";"4";"9,5";"5,5";"93";"6737";"2";"0";"5";"1012";"0";"6,8";"pioggia "
Lavarone;9/5/2025;"7,3";"5,1";"10,6";"5,9";"90";"20674";"2";"0";"4";"1017";"0";"4,8";"pioggia "
Lavarone;10/5/2025;"8,2";"5,1";"13,7";"5,5";"83";"46459";"2";"0";"3";"1018";"0";"2";"pioggia "
Lavarone;11/5/2025;"9,1";"4,4";"16,3";"5,5";"78";"56120";"2";"0";"4";"1013";"0";"4,8";"pioggia temporale "
Lavarone;12/5/2025;"9,5";"5,8";"15,7";"7,6";"87";"18542";"1";"0";"4";"1012";"0";"21";"pioggia temporale "
Lavarone;13/5/2025;"9,4";"7,2";"12,3";"7,9";"90";"27504";"1";"0";"5";"1015";"0";"4,7";"pioggia "
Lavarone;14/5/2025;"10,9";"4,7";"16,6";"7,1";"77";"21408";"2";"0";"5";"1015";"0";"0,8";""
Lavarone;15/5/2025;"12,1";"6,3";"17,9";"5,6";"64";"23038";"2";"0";"6";"1010";"0";"4,2";"pioggia temporale "
Lavarone;16/5/2025;"8,4";"3,1";"13,2";"0,6";"58";"21417";"2";"0";"5";"1013";"0";"3,5";"pioggia "
Lavarone;17/5/2025;"9";"3,4";"14,5";"1,1";"57";"24183";"2";"0";"9";"1014";"0";"4,1";"pioggia "
Lavarone;18/5/2025;"10,1";"2,9";"16,4";"4,7";"69";"57331";"2";"0";"5";"1015";"0";"0,2";"pioggia "
Lavarone;19/5/2025;"12,5";"5,3";"18,9";"7,2";"70";"42759";"2";"0";"4";"1016";"0";"1,7";"pioggia "
Lavarone;20/5/2025;"10,7";"7";"13,7";"9,3";"90";"36158";"2";"0";"4";"1015";"0";"18,5";"pioggia temporale "
Lavarone;21/5/2025;"10,4";"7,1";"15,2";"8,4";"87";"29219";"2";"0";"6";"1011";"0";"16,1";"pioggia temporale "
Lavarone;22/5/2025;"8,3";"6";"10,1";"7,5";"94";"8822";"2";"0";"8";"1007";"0";"42,9";"pioggia temporale "
Lavarone;23/5/2025;"8,9";"5,1";"13,1";"4,2";"72";"50428";"2";"0";"7";"1013";"0";"6,3";"pioggia temporale "
Lavarone;24/5/2025;"8,6";"4,4";"13,8";"5,5";"80";"64099";"2";"0";"4";"1017";"0";"4,2";"pioggia temporale "
Lavarone;25/5/2025;"9,9";"6,5";"13,6";"7,1";"82";"61204";"2";"0";"3";"1016";"0";"0,2";""
Lavarone;26/5/2025;"12,2";"6,9";"18,2";"9,2";"81";"51985";"1";"0";"6";"1017";"0";"16,3";"pioggia temporale "
Lavarone;27/5/2025;"9,6";"7,1";"13,7";"8,3";"91";"45877";"1";"0";"3";"1020";"0";"10,8";"pioggia "
Lavarone;28/5/2025;"12,6";"6,3";"18,3";"8,3";"75";"71700";"2";"0";"7";"1017";"0";"1,4";"pioggia "
Lavarone;29/5/2025;"14";"8,1";"19,8";"6,3";"59";"59015";"2";"0";"7";"1020";"0";"0";""
Lavarone;30/5/2025;"14,8";"8,6";"21,7";"10,5";"75";"80001";"2";"0";"3";"1022";"0";"0";""
Lavarone;31/5/2025;"16,3";"9,3";"23,2";"12,2";"76";"80001";"2";"0";"3";"1021";"0";"0";""
