LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/3/2002;"0,6";"-2";"3,2";"-0,4";"90";"0";"2";"0";"34";"0";"1011";"8,7";"pioggia neve "
Mezzana;2/3/2002;"2,3";"0,6";"3,9";"2,7";"99";"0";"3";"0";"52";"0";"1009";"10,6";"pioggia neve "
Mezzana;3/3/2002;"1,7";"-0,7";"3,6";"1,4";"95";"0";"2";"0";"50";"0";"1012";"13";"pioggia neve "
Mezzana;4/3/2002;"0,2";"-3,7";"5,4";"-5,1";"69";"0";"1";"0";"15";"0";"1018";"0";""
Mezzana;5/3/2002;"1,4";"-1,7";"5,9";"-4";"67";"0";"1";"0";"23";"0";"1014";"1,2";"pioggia "
Mezzana;6/3/2002;"3,1";"1,2";"5,7";"0,8";"85";"0";"3";"0";"50";"0";"1012";"10,2";"pioggia "
Mezzana;7/3/2002;"4,9";"1";"10,1";"1,3";"78";"0";"1";"0";"23";"0";"1016";"0";""
Mezzana;8/3/2002;"4,3";"0,5";"9,6";"-0,1";"74";"0";"2";"0";"34";"0";"1021";"0";""
Mezzana;9/3/2002;"3,1";"-1,7";"8,9";"-1,3";"73";"0";"2";"0";"19";"0";"1016";"0";""
Mezzana;10/3/2002;"3,7";"-0,3";"9,2";"-3";"63";"0";"2";"0";"32";"0";"1016";"0";""
Mezzana;11/3/2002;"2,4";"-2";"8,8";"-4,1";"63";"0";"0";"0";"18";"0";"1022";"0";""
Mezzana;12/3/2002;"2,4";"-3,2";"9,3";"-3,3";"66";"0";"2";"0";"28";"0";"1019";"0";""
Mezzana;13/3/2002;"3,4";"-1,2";"9,8";"-2,1";"68";"0";"1";"0";"23";"0";"1016";"0";""
Mezzana;14/3/2002;"3,8";"-2,1";"9,9";"1";"82";"0";"2";"0";"33";"0";"1013";"2,2";"pioggia "
Mezzana;15/3/2002;"4,5";"1";"9,6";"2";"83";"0";"2";"0";"27";"0";"1014";"0";""
Mezzana;16/3/2002;"3,7";"-1,2";"9,7";"-0,2";"76";"0";"2";"0";"27";"0";"1016";"0";""
Mezzana;17/3/2002;"4,1";"0,3";"8,9";"1";"80";"0";"1";"0";"24";"0";"1016";"0";""
Mezzana;18/3/2002;"4,3";"-0,4";"10,2";"0,8";"78";"0";"3";"0";"33";"0";"1013";"0";""
Mezzana;19/3/2002;"5,2";"1,4";"9,8";"2,5";"82";"0";"3";"0";"36";"0";"1008";"0";""
Mezzana;20/3/2002;"7,8";"3,2";"13,7";"2,7";"72";"0";"2";"0";"36";"0";"1011";"0";""
Mezzana;21/3/2002;"7,4";"3,4";"12,8";"1,8";"68";"0";"2";"0";"31";"0";"1013";"0";""
Mezzana;22/3/2002;"6,3";"2,8";"10,9";"1,1";"70";"0";"4";"0";"43";"0";"1013";"1";"pioggia neve "
Mezzana;23/3/2002;"3,4";"-1,6";"9";"-6,3";"52";"0";"8";"0";"61";"0";"1016";"0";""
Mezzana;24/3/2002;"-0";"-4,9";"6,1";"-9,9";"48";"0";"7";"0";"60";"0";"1020";"0";""
Mezzana;25/3/2002;"-1,9";"-7,8";"5,5";"-10,7";"52";"0";"6";"0";"43";"0";"1021";"0";""
Mezzana;26/3/2002;"-2,3";"-8,3";"5";"-10";"56";"0";"2";"0";"23";"0";"1020";"0";""
Mezzana;27/3/2002;"-2,2";"-7,7";"4,4";"-5,8";"77";"0";"2";"0";"16";"0";"1024";"0,8";"pioggia neve "
Mezzana;28/3/2002;"0,3";"-5,9";"7,9";"-4,7";"71";"0";"2";"0";"20";"0";"1026";"0";""
Mezzana;29/3/2002;"1,5";"-4,8";"8,9";"-4,9";"65";"0";"1";"0";"19";"0";"1026";"0";""
Mezzana;30/3/2002;"2,8";"-3,6";"10,2";"-4,6";"59";"0";"2";"0";"20";"0";"1022";"0";""
Mezzana;31/3/2002;"3,8";"-2,1";"10,5";"-0,9";"72";"0";"2";"0";"28";"0";"1018";"0";""
