LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/11/2002;"7,3";"4";"11,5";"5,1";"85";"0";"3";"0";"24";"0";"1021";"0";""
Mezzana;2/11/2002;"6,7";"4,9";"8,9";"5,8";"93";"0";"1";"0";"24";"0";"1016";"1,8";"pioggia "
Mezzana;3/11/2002;"6,3";"4,7";"8,3";"6,5";"97";"0";"1";"0";"24";"0";"1010";"5,4";"pioggia "
Mezzana;4/11/2002;"5,2";"3,3";"7,4";"0,7";"73";"0";"3";"0";"28";"0";"1009";"1,2";"pioggia "
Mezzana;5/11/2002;"3,3";"0,4";"6,3";"-2,9";"64";"0";"4";"0";"29";"0";"1015";"0";""
Mezzana;6/11/2002;"1,2";"-1,2";"3,9";"-4,1";"69";"0";"3";"0";"27";"0";"1021";"0";"neve "
Mezzana;7/11/2002;"1,6";"0,4";"3,7";"-0,8";"84";"0";"3";"0";"26";"0";"1012";"0";"neve "
Mezzana;8/11/2002;"1,5";"-1,1";"4,5";"-5,4";"61";"0";"2";"0";"34";"0";"1013";"0,7";"pioggia neve "
Mezzana;9/11/2002;"2,4";"-0,7";"5,6";"-3,5";"66";"0";"2";"0";"29";"0";"1005";"0";""
Mezzana;10/11/2002;"3,9";"1,8";"8,3";"-1,3";"71";"0";"3";"0";"29";"0";"1008";"0";""
Mezzana;11/11/2002;"5";"2,8";"9,2";"3,3";"89";"0";"3";"0";"36";"0";"1009";"0";""
Mezzana;12/11/2002;"3,5";"0,1";"6,9";"0,9";"83";"0";"3";"0";"26";"0";"1016";"0,7";"pioggia "
Mezzana;13/11/2002;"3,9";"2,9";"5,6";"4";"98";"0";"2";"0";"52";"0";"1010";"9,3";"pioggia "
Mezzana;14/11/2002;"4,5";"3,5";"6";"5,9";"100";"0";"3";"0";"77";"0";"1002";"33,8";"pioggia "
Mezzana;15/11/2002;"4,7";"3,3";"5,4";"6,7";"100";"0";"2";"0";"74";"0";"1001";"50";"pioggia "
Mezzana;16/11/2002;"4,9";"3,2";"6,8";"6,9";"100";"0";"3";"0";"92";"0";"1002";"48";"pioggia "
Mezzana;17/11/2002;"4";"3";"5,1";"4,6";"99";"0";"1";"0";"41";"0";"1015";"7,3";"pioggia "
Mezzana;18/11/2002;"3,2";"2,2";"4,5";"3,1";"96";"0";"4";"0";"56";"0";"1012";"46";"pioggia "
Mezzana;19/11/2002;"3";"1,3";"5,2";"3,3";"97";"0";"2";"0";"34";"0";"1010";"5,2";"pioggia "
Mezzana;20/11/2002;"2,6";"-0,7";"5,5";"0,7";"87";"0";"2";"0";"30";"0";"1016";"0";""
Mezzana;21/11/2002;"3,2";"1,9";"4,2";"4,2";"99";"0";"1";"0";"25";"0";"1009";"4,6";"pioggia "
Mezzana;22/11/2002;"2,3";"-0,1";"3,8";"2,4";"95";"0";"1";"0";"36";"0";"1001";"17,4";"pioggia neve "
Mezzana;23/11/2002;"-0,3";"-3,6";"2,3";"-3,6";"79";"0";"3";"0";"32";"0";"1013";"1,9";"pioggia "
Mezzana;24/11/2002;"1,9";"0,7";"3,2";"3,1";"99";"0";"1";"0";"52";"0";"1016";"31,4";"pioggia neve "
Mezzana;25/11/2002;"3,8";"1,7";"5,4";"5,3";"100";"0";"1";"0";"50";"0";"1010";"35";"pioggia "
Mezzana;26/11/2002;"5,2";"4,5";"5,7";"6,3";"99";"0";"2";"0";"51";"0";"1011";"52,4";"pioggia "
Mezzana;27/11/2002;"6,4";"5,4";"8";"6,5";"97";"0";"2";"0";"40";"0";"1016";"7";"pioggia "
Mezzana;28/11/2002;"6,4";"5,6";"7,6";"6,2";"95";"0";"2";"0";"28";"0";"1017";"1,6";"pioggia "
Mezzana;29/11/2002;"4,6";"3,6";"5,9";"5";"98";"0";"2";"0";"47";"0";"1013";"21,9";"pioggia "
Mezzana;30/11/2002;"2,6";"-0,3";"4,4";"-1,2";"76";"0";"4";"0";"31";"0";"1015";"0";""
