LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/7/2003;"19,2";"13,7";"25,5";"15,7";"81";"0";"7";"0";"72";"0";"1003";"30,3";"pioggia "
Mezzana;2/7/2003;"15,9";"9,1";"23,5";"9,4";"67";"0";"5";"0";"44";"0";"1006";"0";""
Mezzana;3/7/2003;"15,4";"10,7";"21";"11,7";"79";"0";"3";"0";"49";"0";"1009";"8,8";"pioggia "
Mezzana;4/7/2003;"13,8";"10,1";"18,3";"10,4";"80";"0";"2";"0";"24";"0";"1012";"6,3";"pioggia "
Mezzana;5/7/2003;"14,8";"9,1";"20,8";"9";"70";"0";"3";"0";"27";"0";"1013";"0";""
Mezzana;6/7/2003;"15";"10,9";"19,7";"11,9";"82";"0";"2";"0";"27";"0";"1016";"2,7";"pioggia "
Mezzana;7/7/2003;"16,3";"11,3";"21,9";"11,8";"76";"0";"2";"0";"27";"0";"1019";"2,7";"pioggia "
Mezzana;8/7/2003;"17,1";"11,5";"23,2";"12,4";"75";"0";"2";"0";"25";"0";"1017";"1,3";"pioggia "
Mezzana;9/7/2003;"16,5";"12,5";"21,5";"13,1";"81";"0";"2";"0";"26";"0";"1016";"3";"pioggia "
Mezzana;10/7/2003;"17,4";"11,6";"23,2";"13,1";"77";"0";"2";"0";"30";"0";"1016";"3,1";"pioggia "
Mezzana;11/7/2003;"19,1";"13,5";"25,3";"13,7";"73";"0";"2";"0";"31";"0";"1016";"2,2";"pioggia "
Mezzana;12/7/2003;"19,5";"14,5";"25,1";"14,9";"76";"0";"2";"0";"32";"0";"1017";"3,6";"pioggia "
Mezzana;13/7/2003;"21";"15,4";"27,1";"15,6";"73";"0";"2";"0";"30";"0";"1014";"4,7";"pioggia "
Mezzana;14/7/2003;"18,8";"15,3";"22,5";"16,2";"85";"0";"3";"0";"25";"0";"1015";"6,9";"pioggia "
Mezzana;15/7/2003;"18,6";"15";"22,7";"16,5";"88";"0";"3";"0";"35";"0";"1014";"0";""
Mezzana;16/7/2003;"19,5";"15,7";"24,5";"16,9";"85";"0";"3";"0";"41";"0";"1014";"3,9";"pioggia "
Mezzana;17/7/2003;"19,1";"15,2";"23,7";"16,3";"84";"0";"3";"0";"46";"0";"1015";"3,5";"pioggia "
Mezzana;18/7/2003;"19,1";"13,7";"25,4";"13,1";"69";"0";"4";"0";"35";"0";"1019";"0";""
Mezzana;19/7/2003;"19,4";"14,1";"25,5";"14,9";"76";"0";"3";"0";"33";"0";"1020";"0";""
Mezzana;20/7/2003;"20,1";"15,2";"26";"17";"83";"0";"2";"0";"30";"0";"1018";"0";""
Mezzana;21/7/2003;"20,1";"15";"26,6";"16,6";"81";"0";"3";"0";"41";"0";"1019";"1,1";"pioggia "
Mezzana;22/7/2003;"20,1";"14,4";"27,6";"15,7";"77";"0";"3";"0";"37";"0";"1019";"0";""
Mezzana;23/7/2003;"19";"14,5";"25,6";"14,4";"75";"0";"2";"0";"33";"0";"1017";"0,9";"pioggia "
Mezzana;24/7/2003;"16,2";"12,7";"20,4";"14,3";"88";"0";"2";"0";"37";"0";"1015";"28,5";"pioggia "
Mezzana;25/7/2003;"17,9";"10,6";"25,4";"11,4";"67";"0";"4";"0";"33";"0";"1014";"0";""
Mezzana;26/7/2003;"20,1";"14,2";"27,3";"15,1";"74";"0";"3";"0";"36";"0";"1015";"0";""
Mezzana;27/7/2003;"19,9";"14,6";"26,3";"16,3";"80";"0";"3";"0";"41";"0";"1015";"0";""
Mezzana;28/7/2003;"18,5";"13,5";"23,8";"14,7";"79";"0";"4";"0";"36";"0";"1016";"2";"pioggia "
Mezzana;29/7/2003;"17,1";"13,2";"21,4";"11,9";"72";"0";"3";"0";"38";"0";"1019";"0";""
Mezzana;30/7/2003;"16,4";"11,9";"21,4";"11,4";"74";"0";"2";"0";"26";"0";"1017";"0";""
Mezzana;31/7/2003;"16,4";"13,6";"20,9";"11,6";"74";"0";"2";"0";"36";"0";"1013";"1,3";"pioggia "
