LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/8/2006;"18";"14,8";"22,2";"16,3";"89";"0";"2";"0";"39";"0";"1010";"10,7";"pioggia "
Mezzana;2/8/2006;"16,7";"13,2";"21,7";"13";"80";"0";"4";"0";"32";"0";"1007";"2,5";"pioggia "
Mezzana;3/8/2006;"13,3";"10,3";"14,7";"11,6";"89";"0";"4";"0";"46";"0";"1002";"26,8";"pioggia "
Mezzana;4/8/2006;"12,5";"9,4";"15,1";"7,8";"73";"0";"3";"0";"45";"0";"1006";"0";""
Mezzana;5/8/2006;"13,3";"8,3";"18,5";"8";"70";"0";"2";"0";"28";"0";"1011";"0";""
Mezzana;6/8/2006;"14,4";"10,3";"19,4";"9,6";"73";"0";"3";"0";"28";"0";"1011";"1,8";"pioggia "
Mezzana;7/8/2006;"15,7";"11,5";"21";"9,5";"67";"0";"5";"0";"32";"0";"1009";"0";""
Mezzana;8/8/2006;"15,6";"11,3";"20,5";"8,8";"64";"0";"3";"0";"35";"0";"1009";"0";""
Mezzana;9/8/2006;"14,5";"11,1";"19,4";"10,6";"78";"0";"2";"0";"26";"0";"1011";"2,9";"pioggia "
Mezzana;10/8/2006;"13,9";"10,1";"19,2";"10,2";"79";"0";"3";"0";"29";"0";"1011";"4,7";"pioggia "
Mezzana;11/8/2006;"12,8";"9,7";"17";"9,8";"82";"0";"3";"0";"29";"0";"1009";"9,8";"pioggia "
Mezzana;12/8/2006;"11";"7,6";"14,2";"9,1";"88";"0";"2";"0";"23";"0";"1005";"11,5";"pioggia "
Mezzana;13/8/2006;"10,9";"5,5";"15,7";"7,3";"78";"0";"4";"0";"42";"0";"1007";"1,4";"pioggia "
Mezzana;14/8/2006;"11,5";"7,4";"15,5";"9,1";"85";"0";"3";"0";"42";"0";"1010";"1,3";"pioggia "
Mezzana;15/8/2006;"12,6";"6,6";"18,1";"8,6";"78";"0";"3";"0";"38";"0";"1013";"0";""
Mezzana;16/8/2006;"13";"10";"16,6";"12,5";"96";"0";"1";"0";"50";"0";"1012";"9,5";"pioggia "
Mezzana;17/8/2006;"15,4";"11";"20,4";"13,3";"87";"0";"3";"0";"54";"0";"1012";"8,3";"pioggia "
Mezzana;18/8/2006;"16,9";"13";"22,1";"13,5";"82";"0";"5";"0";"65";"0";"1012";"11,6";"pioggia "
Mezzana;19/8/2006;"15,8";"12,3";"20,5";"13,3";"85";"0";"2";"0";"43";"0";"1018";"1,7";"pioggia "
Mezzana;20/8/2006;"16,4";"12,8";"20,9";"13,8";"85";"0";"3";"0";"58";"0";"1018";"4,4";"pioggia "
Mezzana;21/8/2006;"15,3";"11,3";"20,1";"10,4";"74";"0";"3";"0";"31";"0";"1018";"0";""
Mezzana;22/8/2006;"15,4";"11";"21,6";"11,5";"79";"0";"2";"0";"25";"0";"1015";"4,1";"pioggia "
Mezzana;23/8/2006;"15,2";"11,1";"20,3";"12,1";"82";"0";"3";"0";"33";"0";"1014";"7,8";"pioggia "
Mezzana;24/8/2006;"14,2";"11,6";"17,4";"13,2";"94";"0";"3";"0";"37";"0";"1011";"12,3";"pioggia "
Mezzana;25/8/2006;"13,7";"10,4";"18,2";"9,6";"77";"0";"3";"0";"31";"0";"1008";"0,7";"pioggia "
Mezzana;26/8/2006;"12,8";"8,8";"17,9";"9,5";"81";"0";"3";"0";"29";"0";"1009";"5";"pioggia "
Mezzana;27/8/2006;"13";"9,3";"17,5";"9,6";"80";"0";"2";"0";"27";"0";"1011";"2,8";"pioggia "
Mezzana;28/8/2006;"12,5";"9";"16";"9,4";"81";"0";"3";"0";"51";"0";"1009";"4";"pioggia "
Mezzana;29/8/2006;"11,8";"7,7";"16,3";"6,8";"74";"0";"3";"0";"30";"0";"1005";"3,5";"pioggia "
Mezzana;30/8/2006;"11,3";"6,9";"16,1";"3,3";"60";"0";"3";"0";"37";"0";"1011";"0";""
Mezzana;31/8/2006;"12,7";"5,9";"19,3";"4,4";"58";"0";"3";"0";"28";"0";"1021";"0";""
