LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/12/2009;"0,4";"-2,5";"2,8";"-0,7";"88";"0";"2";"0";"28";"0";"1003";"0,5";"pioggia "
Mezzana;2/12/2009;"-4,8";"-8,5";"-1,7";"-7,6";"81";"0";"2";"0";"25";"0";"1015";"0";""
Mezzana;3/12/2009;"-6,3";"-9,3";"-3,2";"-10,3";"73";"0";"0";"0";"16";"0";"1012";"0";""
Mezzana;4/12/2009;"-3,1";"-5,4";"-1";"-4,3";"91";"0";"4";"0";"56";"0";"1007";"14,5";"pioggia neve "
Mezzana;5/12/2009;"-3,4";"-5";"-1,4";"-6,1";"81";"0";"3";"0";"41";"0";"1015";"0";"neve "
Mezzana;6/12/2009;"-3,1";"-4,6";"-1,3";"-6,4";"78";"0";"1";"0";"20";"0";"1017";"0";""
Mezzana;7/12/2009;"-1,4";"-3,8";"0,8";"-2,7";"88";"0";"1";"0";"29";"0";"1017";"3,9";"pioggia "
Mezzana;8/12/2009;"0,4";"-2";"2,5";"-1,4";"85";"0";"3";"0";"41";"0";"1012";"5";"pioggia "
Mezzana;9/12/2009;"-3,3";"-5,5";"-0,4";"-8,5";"67";"0";"5";"0";"46";"0";"1021";"0";""
Mezzana;10/12/2009;"-5,4";"-7,6";"-3";"-8,7";"77";"0";"2";"0";"28";"0";"1022";"0";""
Mezzana;11/12/2009;"-5,7";"-7,7";"-3,1";"-7,5";"87";"0";"4";"0";"37";"0";"1016";"0";""
Mezzana;12/12/2009;"-7,2";"-9,4";"-4,3";"-9,6";"83";"0";"3";"0";"36";"0";"1015";"0";""
Mezzana;13/12/2009;"-7";"-8,4";"-5,3";"-7,5";"91";"0";"2";"0";"20";"0";"1015";"0,9";"pioggia neve "
Mezzana;14/12/2009;"-9,6";"-13,4";"-6,1";"-12,1";"82";"0";"1";"0";"14";"0";"1013";"0";""
Mezzana;15/12/2009;"-12,6";"-15";"-8,7";"-16,6";"73";"0";"0";"0";"14";"0";"1007";"0";""
Mezzana;16/12/2009;"-15,2";"-17,1";"-12,2";"-18,6";"75";"0";"1";"0";"17";"0";"1005";"0,9";"pioggia neve "
Mezzana;17/12/2009;"-16,8";"-19,6";"-12,6";"-20";"76";"0";"1";"0";"18";"0";"1003";"0";"neve "
Mezzana;18/12/2009;"-16,9";"-20,5";"-13,1";"-20,5";"74";"0";"2";"0";"25";"0";"1004";"0,8";"pioggia neve "
Mezzana;19/12/2009;"-14,8";"-17,2";"-11,3";"-17,8";"78";"0";"3";"0";"33";"0";"998";"1,4";"pioggia neve "
Mezzana;20/12/2009;"-16";"-19,8";"-11,7";"-20,9";"66";"0";"2";"0";"34";"0";"1008";"0";""
Mezzana;21/12/2009;"-10,7";"-14,9";"-7,2";"-10,4";"92";"0";"2";"0";"48";"0";"1012";"6,8";"pioggia neve "
Mezzana;22/12/2009;"-4";"-7,2";"-1,4";"-2,1";"100";"0";"1";"0";"36";"0";"1004";"16,2";"pioggia neve "
Mezzana;23/12/2009;"0,2";"-1,8";"2,3";"1,4";"98";"0";"3";"0";"64";"0";"998";"20,4";"pioggia neve "
Mezzana;24/12/2009;"1,3";"-0,3";"2,4";"2,8";"100";"0";"1";"0";"64";"0";"1000";"34,9";"pioggia neve "
Mezzana;25/12/2009;"1,8";"-2,6";"3";"1,9";"94";"0";"4";"0";"65";"0";"997";"21,3";"pioggia neve "
Mezzana;26/12/2009;"-5,9";"-8,2";"-3,5";"-12,9";"57";"0";"3";"0";"28";"0";"1011";"0";""
Mezzana;27/12/2009;"-8,3";"-12,1";"-5,1";"-14,2";"62";"0";"2";"0";"22";"0";"1006";"0";""
Mezzana;28/12/2009;"-10,4";"-13,5";"-6,8";"-14,3";"73";"0";"1";"0";"23";"0";"1008";"0";""
Mezzana;29/12/2009;"-8,3";"-10,7";"-4,9";"-9,8";"87";"0";"1";"0";"27";"0";"1008";"0";""
Mezzana;30/12/2009;"-5";"-8,9";"-1,6";"-4,5";"95";"0";"1";"0";"50";"0";"1003";"2,5";"pioggia neve "
Mezzana;31/12/2009;"-3,3";"-6,1";"-0,7";"-3";"99";"0";"1";"0";"34";"0";"997";"2,1";"pioggia neve "
