LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/1/2013;"-5,9";"-9,3";"-1,9";"-9,7";"74";"0";"1";"0";"35";"0";"1016";"0";""
Mezzana;2/1/2013;"-4,3";"-6,1";"-1,5";"-5,5";"91";"0";"2";"0";"30";"0";"1022";"5,2";"pioggia neve "
Mezzana;3/1/2013;"-4,6";"-9";"-1";"-9,6";"68";"0";"4";"0";"27";"0";"1033";"0";""
Mezzana;4/1/2013;"0,5";"-2,3";"3,1";"-0,8";"91";"0";"5";"0";"31";"0";"1027";"0";""
Mezzana;5/1/2013;"1,9";"0,1";"4,7";"-0,2";"86";"0";"6";"0";"44";"0";"1021";"0";""
Mezzana;6/1/2013;"2,1";"-0,1";"4,8";"0";"86";"0";"4";"0";"53";"0";"1019";"0";""
Mezzana;7/1/2013;"0,7";"-1,8";"4";"-2,7";"78";"0";"3";"0";"36";"0";"1020";"0";""
Mezzana;8/1/2013;"-1";"-3,1";"2,4";"-7,1";"63";"0";"1";"0";"16";"0";"1023";"0";""
Mezzana;9/1/2013;"-1,1";"-2,9";"1,9";"-6";"70";"0";"1";"0";"20";"0";"1020";"0";""
Mezzana;10/1/2013;"-0,8";"-2,6";"2,2";"-6,2";"67";"0";"1";"0";"19";"0";"1011";"0";""
Mezzana;11/1/2013;"-1,2";"-3,1";"2";"-5,7";"72";"0";"1";"0";"19";"0";"1008";"0";""
Mezzana;12/1/2013;"-2,9";"-5";"-0,9";"-8";"68";"0";"2";"0";"26";"0";"1015";"2,9";"pioggia neve "
Mezzana;13/1/2013;"-2,2";"-3,5";"-1";"-4,4";"85";"0";"2";"0";"25";"0";"1011";"2,2";"pioggia neve "
Mezzana;14/1/2013;"-1,7";"-2,7";"-0,1";"-5,1";"78";"0";"2";"0";"24";"0";"1007";"4,3";"pioggia neve "
Mezzana;15/1/2013;"-2,8";"-3,6";"-1,5";"-4,8";"86";"0";"3";"0";"29";"0";"1006";"5,7";"pioggia neve "
Mezzana;16/1/2013;"-3,8";"-4,7";"-3,1";"-7,1";"78";"0";"5";"0";"50";"0";"999";"10,2";"pioggia neve "
Mezzana;17/1/2013;"-6,5";"-9,4";"-5,1";"-12,6";"61";"0";"8";"0";"57";"0";"1001";"1,5";"pioggia neve "
Mezzana;18/1/2013;"-9,2";"-10,7";"-6,6";"-15,8";"58";"0";"4";"0";"49";"0";"1002";"0";""
Mezzana;19/1/2013;"-6,4";"-9,9";"-3,4";"-10,8";"71";"0";"1";"0";"31";"0";"1000";"3,1";"pioggia neve "
Mezzana;20/1/2013;"-2,7";"-4,6";"-1,1";"-1";"99";"0";"1";"0";"24";"0";"998";"13,9";"pioggia neve "
Mezzana;21/1/2013;"-0,3";"-1,9";"2";"0";"98";"0";"1";"0";"20";"0";"995";"5,7";"pioggia neve "
Mezzana;22/1/2013;"-2";"-6,1";"-0,4";"-4,4";"84";"0";"3";"0";"41";"0";"1000";"5,4";"pioggia neve "
Mezzana;23/1/2013;"-5,6";"-8,1";"-2,3";"-12,6";"58";"0";"2";"0";"21";"0";"1007";"0,6";"pioggia neve "
Mezzana;24/1/2013;"-5,4";"-7,4";"-2,2";"-11,9";"60";"0";"4";"0";"36";"0";"1002";"0";""
Mezzana;25/1/2013;"-9";"-13";"-5,2";"-15";"62";"0";"5";"0";"41";"0";"1008";"0";""
Mezzana;26/1/2013;"-11,8";"-15,3";"-6,5";"-18,1";"60";"0";"2";"0";"20";"0";"1011";"0";""
Mezzana;27/1/2013;"-9,4";"-13,9";"-4,6";"-14,7";"65";"0";"2";"0";"20";"0";"1013";"0";""
Mezzana;28/1/2013;"-5,4";"-8,2";"-1,7";"-6";"92";"0";"2";"0";"31";"0";"1015";"4";"pioggia neve "
Mezzana;29/1/2013;"-5,2";"-10,4";"-0,6";"-9,2";"73";"0";"2";"0";"23";"0";"1021";"0";""
Mezzana;30/1/2013;"-1,3";"-5,9";"3,4";"-3,6";"84";"0";"3";"0";"29";"0";"1016";"0";""
Mezzana;31/1/2013;"-2,1";"-4,8";"2,3";"-7,5";"67";"0";"3";"0";"38";"0";"1017";"0";""
