LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/9/2019;"17,4";"12,8";"23,3";"14,2";"82";"0";"2";"0";"27";"0";"1015";"4,6";"pioggia "
Mezzana;2/9/2019;"15,1";"12,6";"17";"14,8";"97";"0";"1";"0";"20";"0";"1017";"15";"pioggia "
Mezzana;3/9/2019;"15,8";"10,5";"22,2";"10,6";"73";"0";"2";"0";"21";"0";"1021";"0";""
Mezzana;4/9/2019;"16";"11";"21,2";"12,6";"81";"0";"2";"0";"22";"0";"1019";"1,8";"pioggia "
Mezzana;5/9/2019;"16,3";"13,2";"21,6";"14,1";"87";"0";"2";"0";"25";"0";"1015";"9,4";"pioggia "
Mezzana;6/9/2019;"12";"10,3";"13,4";"10,8";"92";"0";"2";"0";"26";"0";"1018";"17";"pioggia "
Mezzana;7/9/2019;"11,6";"9,2";"14,9";"8,8";"83";"0";"2";"0";"23";"0";"1016";"4,1";"pioggia "
Mezzana;8/9/2019;"8,8";"7,3";"10,6";"8";"94";"0";"1";"0";"26";"0";"1014";"24,4";"pioggia "
Mezzana;9/9/2019;"10,9";"6,2";"16,2";"6,5";"75";"0";"3";"0";"30";"0";"1013";"1,6";"pioggia "
Mezzana;10/9/2019;"11,8";"7";"17,8";"6,8";"72";"0";"3";"0";"29";"0";"1017";"0";""
Mezzana;11/9/2019;"13,2";"8";"19,6";"8,8";"74";"0";"3";"0";"27";"0";"1022";"0,6";"pioggia "
Mezzana;12/9/2019;"14,7";"8,5";"22,5";"9,7";"73";"0";"2";"0";"26";"0";"1029";"0";""
Mezzana;13/9/2019;"16,1";"9,7";"24";"11,5";"75";"0";"2";"0";"22";"0";"1030";"0";""
Mezzana;14/9/2019;"17,3";"12,1";"23,3";"15,1";"87";"0";"3";"0";"25";"0";"1029";"0,8";"pioggia "
Mezzana;15/9/2019;"18,1";"14,7";"23,1";"16,5";"89";"0";"2";"0";"24";"0";"1025";"0";""
Mezzana;16/9/2019;"18,3";"14,3";"24";"15,8";"84";"0";"1";"0";"22";"0";"1019";"0";""
Mezzana;17/9/2019;"18,4";"13,9";"24,9";"14,7";"80";"0";"3";"0";"31";"0";"1015";"1,4";"pioggia "
Mezzana;18/9/2019;"16,3";"12,2";"22,3";"13,2";"82";"0";"2";"0";"29";"0";"1017";"18,5";"pioggia "
Mezzana;19/9/2019;"14,2";"11,9";"17,3";"11,7";"85";"0";"2";"0";"20";"0";"1020";"3,5";"pioggia "
Mezzana;20/9/2019;"12,3";"9,8";"15,4";"10,4";"88";"0";"3";"0";"19";"0";"1024";"2";"pioggia "
Mezzana;21/9/2019;"12,3";"9,3";"16,5";"9,9";"86";"0";"2";"0";"24";"0";"1023";"0";""
Mezzana;22/9/2019;"11,6";"9,6";"14,2";"10,7";"93";"0";"2";"0";"25";"0";"1017";"1,6";"pioggia "
Mezzana;23/9/2019;"10,7";"7,3";"12,9";"10,5";"94";"0";"2";"0";"30";"0";"1014";"12,8";"pioggia "
Mezzana;24/9/2019;"10,4";"6,1";"14,1";"8,4";"86";"0";"3";"0";"27";"0";"1014";"0";""
Mezzana;25/9/2019;"11,7";"8,5";"16";"9,8";"88";"0";"2";"0";"27";"0";"1010";"5,2";"pioggia "
Mezzana;26/9/2019;"11,1";"7,3";"15,9";"8";"81";"0";"2";"0";"28";"0";"1015";"0";""
Mezzana;27/9/2019;"13,8";"10,5";"17,6";"12,7";"93";"0";"3";"0";"27";"0";"1017";"5,1";"pioggia "
Mezzana;28/9/2019;"15,3";"12,7";"19,3";"14,3";"93";"0";"4";"0";"32";"0";"1016";"11,6";"pioggia "
Mezzana;29/9/2019;"15,1";"12,4";"18,9";"13,8";"91";"0";"4";"0";"30";"0";"1014";"5,8";"pioggia "
Mezzana;30/9/2019;"15,8";"11,9";"21,9";"12,4";"81";"0";"2";"0";"25";"0";"1011";"0";""
