LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/4/2020;"0,3";"-5,6";"6,6";"-5,2";"69";"0";"2";"0";"24";"0";"1020";"0";""
Mezzana;2/4/2020;"3,2";"-4";"10,6";"-2,2";"70";"0";"2";"0";"24";"0";"1013";"0";""
Mezzana;3/4/2020;"5,1";"-2,5";"12,8";"-2,7";"59";"0";"2";"0";"20";"0";"1013";"0";""
Mezzana;4/4/2020;"6,5";"-0,5";"14,5";"-1,5";"58";"0";"3";"0";"25";"0";"1020";"0";""
Mezzana;5/4/2020;"6,6";"-1,2";"14,4";"-0,5";"61";"0";"2";"0";"22";"0";"1024";"0";""
Mezzana;6/4/2020;"7,5";"-0,4";"15,4";"0,1";"60";"0";"2";"0";"21";"0";"1026";"0";""
Mezzana;7/4/2020;"8,7";"0,7";"16,9";"1,2";"61";"0";"3";"0";"23";"0";"1028";"0";""
Mezzana;8/4/2020;"9,3";"2";"17";"2,3";"62";"0";"3";"0";"20";"0";"1026";"0";""
Mezzana;9/4/2020;"10,3";"3,1";"17,7";"2,7";"61";"0";"2";"0";"23";"0";"1022";"0";""
Mezzana;10/4/2020;"10,8";"3,5";"18,4";"2,4";"57";"0";"3";"0";"21";"0";"1022";"0";""
Mezzana;11/4/2020;"10,7";"3,3";"18,3";"2,5";"58";"0";"3";"0";"29";"0";"1021";"0";""
Mezzana;12/4/2020;"10,6";"3,6";"17,7";"2,1";"57";"0";"4";"0";"31";"0";"1019";"2,1";"pioggia "
Mezzana;13/4/2020;"10,5";"4,5";"16,6";"0,7";"52";"0";"3";"0";"31";"0";"1013";"0";""
Mezzana;14/4/2020;"9,5";"3,2";"16,4";"-3,4";"44";"0";"3";"0";"38";"0";"1014";"0";""
Mezzana;15/4/2020;"8,1";"0,1";"16,1";"0,7";"61";"0";"1";"0";"20";"0";"1023";"0";""
Mezzana;16/4/2020;"9,9";"2,4";"16,8";"4,9";"72";"0";"2";"0";"20";"0";"1020";"0";""
Mezzana;17/4/2020;"12";"3,5";"20,3";"5,1";"64";"0";"2";"0";"27";"0";"1016";"0";""
Mezzana;18/4/2020;"13";"5,6";"20,7";"6,4";"65";"0";"2";"0";"22";"0";"1015";"0";""
Mezzana;19/4/2020;"13,1";"7,4";"19,1";"7,9";"71";"0";"2";"0";"23";"0";"1013";"6,3";"pioggia "
Mezzana;20/4/2020;"10,4";"8,9";"12,4";"10,2";"97";"0";"1";"0";"23";"0";"1013";"16,8";"pioggia "
Mezzana;21/4/2020;"9,3";"5,4";"11,9";"7,6";"88";"0";"2";"0";"21";"0";"1013";"3,6";"pioggia "
Mezzana;22/4/2020;"9,1";"2,4";"15,5";"1,4";"61";"0";"3";"0";"23";"0";"1017";"0";""
Mezzana;23/4/2020;"10,4";"2,5";"18";"3,9";"66";"0";"2";"0";"18";"0";"1018";"0";""
Mezzana;24/4/2020;"11,7";"4,5";"19,3";"5,4";"67";"0";"2";"0";"23";"0";"1013";"0";""
Mezzana;25/4/2020;"12,2";"4,9";"19,5";"4,1";"60";"0";"3";"0";"23";"0";"1007";"2,7";"pioggia "
Mezzana;26/4/2020;"12,3";"6,2";"18,7";"8,1";"76";"0";"2";"0";"32";"0";"1009";"3,9";"pioggia "
Mezzana;27/4/2020;"11,6";"7,1";"16,7";"8,6";"82";"0";"2";"0";"30";"0";"1011";"2,1";"pioggia "
Mezzana;28/4/2020;"10,1";"7,5";"12,7";"9,5";"95";"0";"2";"0";"27";"0";"1009";"9";"pioggia "
Mezzana;29/4/2020;"9";"4,8";"13,3";"7,6";"89";"0";"2";"0";"37";"0";"1008";"11,9";"pioggia "
Mezzana;30/4/2020;"8,3";"4,1";"13,1";"5,7";"84";"0";"3";"0";"40";"0";"1010";"17,5";"pioggia "
