LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/5/2020;"9,2";"4";"14,4";"5,8";"80";"0";"3";"0";"41";"0";"1006";"1,2";"pioggia "
Mezzana;2/5/2020;"11,3";"4,1";"18";"4,4";"66";"0";"3";"0";"29";"0";"1007";"6,1";"pioggia "
Mezzana;3/5/2020;"11,9";"4,9";"19,2";"1,7";"54";"0";"5";"0";"36";"0";"1014";"0";""
Mezzana;4/5/2020;"12,1";"6,2";"18,9";"6,3";"69";"0";"4";"0";"32";"0";"1017";"0";""
Mezzana;5/5/2020;"11,4";"6,3";"16,2";"8,3";"81";"0";"3";"0";"33";"0";"1013";"7,9";"pioggia "
Mezzana;6/5/2020;"12,1";"6,2";"18,9";"6,8";"73";"0";"3";"0";"42";"0";"1015";"6,9";"pioggia "
Mezzana;7/5/2020;"12,8";"4";"21,1";"5,5";"64";"0";"3";"0";"26";"0";"1021";"0";""
Mezzana;8/5/2020;"14,9";"7,2";"22,6";"9,2";"70";"0";"3";"0";"29";"0";"1019";"0,5";"pioggia "
Mezzana;9/5/2020;"15,6";"9,3";"22,2";"10,9";"76";"0";"3";"0";"31";"0";"1014";"2,6";"pioggia "
Mezzana;10/5/2020;"14,1";"10";"19,2";"9,9";"77";"0";"3";"0";"33";"0";"1010";"4,6";"pioggia "
Mezzana;11/5/2020;"12,1";"9,7";"15,8";"9,6";"84";"0";"3";"0";"44";"0";"1004";"21,2";"pioggia "
Mezzana;12/5/2020;"12,3";"8,9";"16,2";"9,5";"84";"0";"3";"0";"36";"0";"1008";"5,8";"pioggia "
Mezzana;13/5/2020;"11,8";"9,5";"14,2";"10,5";"91";"0";"3";"0";"41";"0";"1010";"7,8";"pioggia "
Mezzana;14/5/2020;"13,7";"9,3";"18,9";"10,9";"84";"0";"3";"0";"34";"0";"1008";"8,9";"pioggia "
Mezzana;15/5/2020;"12,2";"9,7";"14,6";"10,7";"90";"0";"3";"0";"41";"0";"1010";"20,9";"pioggia "
Mezzana;16/5/2020;"12";"9,2";"15,4";"9,9";"87";"0";"3";"0";"35";"0";"1018";"4";"pioggia "
Mezzana;17/5/2020;"13,5";"9,9";"18,2";"10,9";"85";"0";"2";"0";"28";"0";"1018";"11,4";"pioggia "
Mezzana;18/5/2020;"14,4";"10";"19,5";"10,4";"77";"0";"2";"0";"30";"0";"1020";"1,7";"pioggia "
Mezzana;19/5/2020;"13,9";"11,1";"17,5";"10,9";"82";"0";"3";"0";"46";"0";"1017";"7";"pioggia "
Mezzana;20/5/2020;"15,5";"9,1";"22";"7,9";"62";"0";"5";"0";"45";"0";"1015";"0";""
Mezzana;21/5/2020;"15,6";"8,5";"22,8";"9";"67";"0";"3";"0";"31";"0";"1019";"1";"pioggia "
Mezzana;22/5/2020;"15,6";"9,4";"21,9";"11";"75";"0";"3";"0";"29";"0";"1023";"0";""
Mezzana;23/5/2020;"16,5";"10,5";"24";"12,1";"75";"0";"3";"0";"51";"0";"1022";"13,6";"pioggia "
Mezzana;24/5/2020;"14,9";"8,3";"21,6";"6";"57";"0";"5";"0";"35";"0";"1026";"0,7";"pioggia "
Mezzana;25/5/2020;"14,8";"6,6";"22,2";"4,2";"50";"0";"4";"0";"36";"0";"1026";"0,6";"pioggia "
Mezzana;26/5/2020;"14,5";"7,5";"21,1";"3,8";"50";"0";"5";"0";"43";"0";"1027";"0";""
Mezzana;27/5/2020;"14";"5,5";"21,6";"5,1";"59";"0";"3";"0";"27";"0";"1029";"0";""
Mezzana;28/5/2020;"13,5";"7,6";"18,6";"7,7";"70";"0";"3";"0";"35";"0";"1024";"9,7";"pioggia "
Mezzana;29/5/2020;"11,6";"5,3";"17,7";"2,9";"59";"0";"4";"0";"34";"0";"1021";"0,9";"pioggia "
Mezzana;30/5/2020;"11,3";"6,4";"16,4";"6,6";"74";"0";"2";"0";"29";"0";"1017";"3";"pioggia "
Mezzana;31/5/2020;"11,4";"7,1";"15,4";"7,7";"79";"0";"2";"0";"23";"0";"1016";"0";""
