LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/2/2022;"0,7";"-1,4";"3,7";"-8,2";"52";"0";"5";"0";"46";"0";"1014";"0,5";"pioggia neve "
Mezzana;2/2/2022;"2,4";"0,2";"4,5";"-2,3";"71";"0";"4";"0";"48";"0";"1013";"2,6";"pioggia neve "
Mezzana;3/2/2022;"2,4";"-0,6";"6,3";"-0,9";"79";"0";"4";"0";"37";"0";"1021";"0";""
Mezzana;4/2/2022;"1,4";"-1";"5,5";"-1,2";"83";"0";"1";"0";"18";"0";"1017";"0";""
Mezzana;5/2/2022;"0,5";"-3,2";"6,5";"-5,5";"64";"0";"2";"0";"20";"0";"1019";"0";""
Mezzana;6/2/2022;"-0,8";"-4,7";"3,1";"-7,1";"64";"0";"2";"0";"23";"0";"1018";"0";""
Mezzana;7/2/2022;"0,8";"-1,8";"4,4";"-8,2";"54";"0";"5";"0";"55";"0";"1017";"9,4";"pioggia neve "
Mezzana;8/2/2022;"-0,8";"-5,1";"4,6";"-12,2";"42";"0";"3";"0";"28";"0";"1029";"0";""
Mezzana;9/2/2022;"1,1";"-2,6";"6,1";"-8,4";"50";"0";"1";"0";"16";"0";"1027";"0";""
Mezzana;10/2/2022;"1";"-3,1";"6,5";"-6,5";"61";"0";"2";"0";"18";"0";"1024";"0";""
Mezzana;11/2/2022;"0,4";"-4,4";"5,2";"-5,8";"64";"0";"3";"0";"31";"0";"1025";"0";""
Mezzana;12/2/2022;"-3,8";"-6,9";"1,5";"-14,6";"45";"0";"1";"0";"17";"0";"1032";"0";""
Mezzana;13/2/2022;"-4,4";"-8";"1,2";"-15,1";"45";"0";"1";"0";"20";"0";"1026";"0";""
Mezzana;14/2/2022;"-3,4";"-7,7";"0,7";"-8,6";"69";"0";"2";"0";"21";"0";"1018";"2";"pioggia neve "
Mezzana;15/2/2022;"-2,2";"-5,2";"-0,3";"-1,5";"94";"0";"2";"0";"29";"0";"1013";"18,6";"pioggia neve "
Mezzana;16/2/2022;"-2,6";"-7,4";"1,5";"-8,1";"66";"0";"4";"0";"22";"0";"1016";"0";""
Mezzana;17/2/2022;"4";"-0,5";"9,2";"0,2";"76";"0";"4";"0";"32";"0";"1009";"0";""
Mezzana;18/2/2022;"3,7";"-0,6";"9,1";"-2,9";"63";"0";"3";"0";"25";"0";"1013";"0";""
Mezzana;19/2/2022;"2,9";"-0,1";"7,2";"1,8";"90";"0";"2";"0";"24";"0";"1015";"0,5";"pioggia "
Mezzana;20/2/2022;"1,4";"-3,4";"6,9";"-5";"63";"0";"3";"0";"21";"0";"1017";"0";""
Mezzana;21/2/2022;"2,1";"-0,7";"6,5";"-6,3";"55";"0";"2";"0";"43";"0";"1008";"1,1";"pioggia neve "
Mezzana;22/2/2022;"2,3";"-1,2";"8,1";"-7,8";"48";"0";"4";"0";"62";"0";"1017";"0,8";"pioggia neve "
Mezzana;23/2/2022;"2,7";"-1,8";"8,7";"-2,8";"67";"0";"4";"0";"23";"0";"1024";"0";""
Mezzana;24/2/2022;"0,9";"-2,8";"5,7";"-3,8";"71";"0";"2";"0";"25";"0";"1021";"0";""
Mezzana;25/2/2022;"0,4";"-3,4";"5,7";"-8,8";"52";"0";"4";"0";"39";"0";"1020";"0";""
Mezzana;26/2/2022;"-2";"-6,1";"3,9";"-12,7";"45";"0";"4";"0";"50";"0";"1028";"0";""
Mezzana;27/2/2022;"-2,9";"-7";"3";"-14";"44";"0";"3";"0";"29";"0";"1028";"0";""
Mezzana;28/2/2022;"-1,4";"-7,2";"6,3";"-12";"46";"0";"3";"0";"29";"0";"1026";"0";""
