LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/6/2024;"11,6";"7,5";"15,8";"7,8";"78";"0";"4";"0";"28";"0";"1013";"4,2";"pioggia "
Mezzana;2/6/2024;"13,9";"7,8";"19,9";"8,1";"69";"0";"3";"0";"27";"0";"1016";"1,6";"pioggia "
Mezzana;3/6/2024;"13,9";"9,4";"19,7";"10";"78";"0";"3";"0";"26";"0";"1014";"11,3";"pioggia "
Mezzana;4/6/2024;"14,6";"9";"20,5";"9,9";"74";"0";"4";"0";"29";"0";"1015";"7,2";"pioggia "
Mezzana;5/6/2024;"16,7";"9,6";"23,7";"11,4";"73";"0";"4";"0";"26";"0";"1016";"4,4";"pioggia "
Mezzana;6/6/2024;"18,4";"12,1";"25,4";"13,6";"75";"0";"4";"0";"28";"0";"1018";"3,2";"pioggia "
Mezzana;7/6/2024;"19,2";"12,9";"26,2";"14";"73";"0";"4";"0";"29";"0";"1018";"4,4";"pioggia "
Mezzana;8/6/2024;"18,9";"13,6";"24,6";"14,5";"76";"0";"3";"0";"31";"0";"1015";"10,9";"pioggia "
Mezzana;9/6/2024;"17,9";"14,4";"22,4";"14,5";"81";"0";"3";"0";"41";"0";"1009";"11,5";"pioggia "
Mezzana;10/6/2024;"16,9";"13";"21,1";"12,9";"79";"0";"3";"0";"23";"0";"1006";"9,6";"pioggia "
Mezzana;11/6/2024;"13,9";"10,8";"16,8";"11,7";"86";"0";"3";"0";"28";"0";"1010";"23,5";"pioggia "
Mezzana;12/6/2024;"11,8";"9,1";"15,3";"9,7";"87";"0";"3";"0";"22";"0";"1015";"23,6";"pioggia "
Mezzana;13/6/2024;"13,7";"8";"20,6";"7,4";"67";"0";"3";"0";"26";"0";"1016";"2,9";"pioggia "
Mezzana;14/6/2024;"13,7";"10,1";"17,8";"10,1";"79";"0";"4";"0";"26";"0";"1016";"3";"pioggia "
Mezzana;15/6/2024;"13,4";"11";"16,5";"11,7";"89";"0";"3";"0";"21";"0";"1013";"14,6";"pioggia "
Mezzana;16/6/2024;"15,3";"10,5";"20,4";"12,1";"82";"0";"3";"0";"24";"0";"1012";"4,3";"pioggia "
Mezzana;17/6/2024;"17,6";"12,1";"24,2";"13,6";"78";"0";"4";"0";"28";"0";"1017";"2";"pioggia "
Mezzana;18/6/2024;"19,7";"12,9";"27,2";"14,4";"72";"0";"4";"0";"28";"0";"1019";"2,7";"pioggia "
Mezzana;19/6/2024;"21,8";"14,6";"29,7";"15,4";"68";"0";"4";"0";"30";"0";"1018";"0";""
Mezzana;20/6/2024;"21,3";"16,4";"26,1";"16,7";"76";"0";"4";"0";"35";"0";"1021";"2,6";"pioggia "
Mezzana;21/6/2024;"19,7";"14,6";"24,9";"15,2";"76";"0";"3";"0";"43";"0";"1017";"9,1";"pioggia "
Mezzana;22/6/2024;"18,3";"13,1";"24,6";"11,6";"67";"0";"3";"0";"26";"0";"1012";"7,3";"pioggia "
Mezzana;23/6/2024;"15,2";"13,4";"18,4";"12,9";"86";"0";"3";"0";"31";"0";"1015";"22,1";"pioggia "
Mezzana;24/6/2024;"16,8";"12,5";"21,5";"12,6";"77";"0";"3";"0";"31";"0";"1015";"3,9";"pioggia "
Mezzana;25/6/2024;"17,6";"13,6";"22,4";"13,5";"78";"0";"3";"0";"30";"0";"1015";"11,2";"pioggia "
Mezzana;26/6/2024;"17,3";"13";"22,2";"12,8";"76";"0";"3";"0";"24";"0";"1013";"4,8";"pioggia "
Mezzana;27/6/2024;"19,4";"12,5";"26,7";"13,6";"71";"0";"3";"0";"22";"0";"1013";"0";""
Mezzana;28/6/2024;"21,3";"14,4";"28,7";"14,1";"65";"0";"3";"0";"22";"0";"1018";"0";""
Mezzana;29/6/2024;"21,6";"16,5";"27,4";"16,7";"74";"0";"4";"0";"36";"0";"1019";"1,9";"pioggia "
Mezzana;30/6/2024;"21,1";"16,5";"26,5";"15,8";"73";"0";"4";"0";"33";"0";"1012";"4,9";"pioggia "
