LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Mezzana;1/10/2025;"8,2";"2";"12,7";"3";"69";"28706";"1";"0";"3";"1022";"0";"1";""
Mezzana;2/10/2025;"7,2";"1,8";"12,7";"-1,3";"55";"61208";"2";"0";"3";"1023";"0";"0";""
Mezzana;3/10/2025;"8";"2,9";"13,2";"-0,4";"55";"45730";"2";"0";"5";"1020";"0";"0";""
Mezzana;4/10/2025;"10,6";"6,5";"14,9";"5,4";"70";"37685";"1";"0";"4";"1013";"0";"4,1";"pioggia "
Mezzana;5/10/2025;"8";"3,1";"12,5";"1,4";"63";"40705";"1";"0";"3";"1014";"0";"0,8";"pioggia "
Mezzana;6/10/2025;"8,1";"3,5";"13,1";"-1,5";"50";"51999";"1";"0";"2";"1021";"0";"0";""
Mezzana;7/10/2025;"10,8";"6";"16,2";"3,5";"60";"48170";"2";"0";"3";"1022";"0";"0";""
Mezzana;8/10/2025;"12,3";"7,4";"17,5";"5,4";"62";"49125";"1";"0";"2";"1020";"0";"0";""
Mezzana;9/10/2025;"12,7";"8,2";"17,4";"8,6";"76";"52097";"1";"0";"5";"1021";"0";"0,2";""
Mezzana;10/10/2025;"12,6";"7,4";"18,2";"6";"64";"48813";"1";"0";"2";"1028";"0";"0";""
Mezzana;11/10/2025;"12,7";"7,4";"18,4";"5,8";"62";"62199";"1";"0";"2";"1028";"0";"0";""
Mezzana;12/10/2025;"12,1";"7,9";"17";"4,7";"60";"50587";"1";"0";"2";"1024";"0";"0,1";""
Mezzana;13/10/2025;"11,6";"7,6";"15,6";"6,1";"68";"44117";"1";"0";"2";"1022";"0";"0,3";""
Mezzana;14/10/2025;"11,1";"7,5";"14,2";"7,6";"78";"38477";"1";"0";"2";"1021";"0";"0,7";""
Mezzana;15/10/2025;"10,3";"5,6";"13,9";"6,3";"76";"35356";"1";"0";"3";"1021";"0";"0,3";""
Mezzana;16/10/2025;"9,4";"5,4";"12,8";"6,9";"84";"31159";"1";"0";"2";"1021";"0";"0,6";""
Mezzana;17/10/2025;"8,8";"3,6";"13,5";"4,4";"74";"49415";"1";"0";"2";"1020";"0";"0";""
Mezzana;18/10/2025;"9";"3,4";"14";"4,7";"74";"51369";"1";"0";"2";"1022";"0";"0,2";""
Mezzana;19/10/2025;"8,3";"5,8";"10,5";"6,2";"86";"38087";"1";"0";"4";"1020";"0";"0,3";""
Mezzana;20/10/2025;"7,5";"5,7";"8,9";"6,4";"92";"7724";"1";"0";"3";"1012";"0";"2,6";"pioggia "
Mezzana;21/10/2025;"8,5";"7";"10,2";"7,5";"93";"6320";"1";"0";"2";"1007";"0";"1,5";"pioggia "
Mezzana;22/10/2025;"9,5";"6,3";"11";"8,1";"91";"14695";"2";"0";"8";"1006";"0";"0,5";""
Mezzana;23/10/2025;"9,3";"4,5";"12,4";"7,9";"91";"6836";"3";"0";"9";"999";"0";"20,5";"pioggia "
Mezzana;24/10/2025;"7,4";"1,2";"12,4";"-1,5";"53";"57225";"1";"0";"3";"1006";"0";"0";""
Mezzana;25/10/2025;"6,5";"2,1";"11,5";"0,6";"66";"39764";"1";"0";"6";"1007";"0";"0,5";"pioggia "
Mezzana;26/10/2025;"5,5";"1,4";"11,3";"0,7";"71";"40287";"1";"0";"4";"1007";"0";"1,9";"pioggia "
Mezzana;27/10/2025;"5,7";"1,7";"10,5";"0,1";"67";"31178";"1";"0";"3";"1008";"0";"2,9";"pioggia "
Mezzana;28/10/2025;"7,1";"2,7";"12,9";"0,8";"64";"53553";"1";"0";"2";"1015";"0";"0";""
Mezzana;29/10/2025;"8,3";"4,4";"11,5";"5,1";"80";"32629";"1";"0";"3";"1016";"0";"3,8";"pioggia "
Mezzana;30/10/2025;"10,1";"8,6";"13,7";"7,6";"84";"36681";"1";"0";"2";"1014";"0";"6,8";"pioggia "
Mezzana;31/10/2025;"12";"9,9";"14,7";"9";"81";"33617";"1";"0";"1";"1019";"0";"0,9";""
