LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/3/2003;"6,7";"-1,5";"13,8";"-2,4";"52";"8";"4";"11";"0";"0";"0";"0";""
Povo;2/3/2003;"8";"1";"13";"0,7";"60";"5";"7";"18";"0";"0";"0";"0";"pioggia "
Povo;3/3/2003;"10,1";"2,9";"16,9";"-1,5";"44";"12";"9";"24";"39";"0";"0";"2";""
Povo;4/3/2003;"7,9";"-0,5";"15,7";"-3,6";"44";"10";"3";"8";"0";"0";"0";"0";""
Povo;5/3/2003;"7,5";"-1";"16";"-2,3";"50";"11";"4";"13";"0";"0";"0";"0";""
Povo;6/3/2003;"7,4";"1,2";"13,6";"0,1";"60";"10";"4";"9";"0";"0";"0";"0";""
Povo;7/3/2003;"10,3";"3";"17,3";"2,4";"58";"8";"9";"18";"0";"0";"0";"0,5";""
Povo;8/3/2003;"10,6";"4,3";"16,7";"2,1";"56";"6";"5";"13";"0";"0";"0";"0";""
Povo;9/3/2003;"8,5";"1,6";"15,7";"-1,6";"49";"11";"3";"8";"0";"0";"0";"0";""
Povo;10/3/2003;"10,9";"0,5";"22,2";"-1,5";"42";"11";"3";"8";"0";"0";"0";"0";""
Povo;11/3/2003;"12,3";"3,9";"20,6";"0,4";"44";"10";"6";"15";"0";"0";"0";"0";""
Povo;12/3/2003;"12,1";"3,4";"18,1";"2,3";"51";"9";"8";"37";"0";"0";"0";"0";""
Povo;13/3/2003;"13,6";"8,6";"17,2";"-8,8";"20";"10";"23";"35";"59";"0";"0";"0";""
Povo;14/3/2003;"8,9";"2";"15,5";"-7,9";"30";"11";"10";"28";"0";"0";"0";"0";""
Povo;15/3/2003;"7,3";"-0,2";"14,7";"-5,1";"41";"11";"6";"13";"0";"0";"0";"0";""
Povo;16/3/2003;"7,1";"-2,5";"16,4";"-5,4";"40";"10";"5";"17";"0";"0";"0";"0";""
Povo;17/3/2003;"9,6";"-2,5";"19,4";"-6,8";"31";"10";"6";"24";"0";"0";"0";"0";""
Povo;18/3/2003;"11,1";"1";"19,5";"-6,6";"28";"10";"5";"13";"0";"0";"0";"0";""
Povo;19/3/2003;"9,2";"-1";"18";"-3,8";"40";"10";"7";"13";"0";"0";"0";"0";""
Povo;20/3/2003;"11,8";"-1";"22";"-5,6";"29";"10";"8";"18";"39";"0";"0";"0";""
Povo;21/3/2003;"11,1";"3";"18,7";"-5";"32";"9";"10";"24";"0";"0";"0";"0";""
Povo;22/3/2003;"10,6";"6,8";"16";"-1,8";"42";"10";"12";"24";"42";"0";"0";"0";""
Povo;23/3/2003;"8,7";"-0,4";"17";"-3";"44";"10";"7";"18";"0";"0";"0";"0";""
Povo;24/3/2003;"11,1";"2,2";"20";"-2";"40";"11";"5";"11";"0";"0";"0";"0";""
Povo;25/3/2003;"12,9";"1,5";"22";"-1,2";"38";"10";"7";"22";"0";"0";"0";"0";""
Povo;26/3/2003;"13,7";"2,5";"22";"-0,4";"38";"10";"7";"21";"0";"0";"0";"0";""
Povo;27/3/2003;"13,2";"3,6";"20,4";"0";"0";"9";"6";"18";"0";"0";"0";"0";""
Povo;28/3/2003;"13,6";"4,6";"21";"2";"45";"5";"8";"21";"0";"0";"0";"0";""
Povo;29/3/2003;"13,3";"4,9";"20,3";"4,5";"55";"5";"10";"22";"0";"0";"0";"0";""
Povo;30/3/2003;"13,4";"5";"21,1";"6,1";"61";"5";"9";"22";"0";"1016";"987";"0";""
Povo;31/3/2003;"15,7";"9,2";"22,6";"5,7";"51";"8";"8";"29";"48";"0";"0";"0";""
