LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/4/2005;"13,3";"6,5";"19,1";"3,4";"51";"11";"11";"26";"42";"0";"0";"0";""
Povo;2/4/2005;"13,3";"5,7";"19,2";"-0,3";"39";"10";"11";"24";"0";"0";"0";"0";""
Povo;3/4/2005;"11,3";"1,4";"19,9";"-3,1";"36";"10";"8";"18";"0";"0";"0";"0";""
Povo;4/4/2005;"12,3";"2,9";"20,5";"-2,4";"36";"10";"9";"24";"41";"0";"0";"0";""
Povo;5/4/2005;"12,4";"2";"20,7";"-0,4";"41";"10";"9";"24";"39";"0";"0";"0";""
Povo;6/4/2005;"13,8";"4,4";"22";"2,3";"46";"8";"9";"22";"0";"0";"0";"0";""
Povo;7/4/2005;"12,7";"6,8";"17,2";"4";"55";"8";"9";"18";"0";"0";"0";"0";""
Povo;8/4/2005;"12,2";"8";"14,1";"5,6";"64";"10";"10";"18";"0";"0";"0";"0";"pioggia "
Povo;9/4/2005;"9,2";"6";"12";"4,4";"72";"11";"5";"17";"0";"0";"0";"17,5";"pioggia "
Povo;10/4/2005;"11,8";"6,8";"14,7";"-4,2";"32";"13";"16";"28";"39";"1016";"986";"0";""
Povo;11/4/2005;"12,6";"10";"15,6";"1,9";"48";"11";"11";"21";"34";"0";"0";"0";""
Povo;12/4/2005;"11,6";"7";"15,2";"5,2";"65";"11";"8";"22";"0";"0";"0";"0";"pioggia "
Povo;13/4/2005;"14,1";"4";"22";"5,4";"56";"11";"7";"15";"0";"0";"0";"0";""
Povo;14/4/2005;"15,7";"8,7";"21";"6,7";"55";"11";"7";"22";"0";"0";"0";"0";""
Povo;15/4/2005;"15,1";"7";"21,9";"5,9";"54";"11";"10";"26";"0";"0";"0";"0";""
Povo;16/4/2005;"9,9";"7";"13,5";"6,6";"80";"8";"7";"18";"0";"0";"0";"8,9";"pioggia "
Povo;17/4/2005;"10,2";"1,2";"16,8";"2,4";"58";"9";"7";"13";"0";"0";"0";"0";"nebbia "
Povo;18/4/2005;"13,3";"3,7";"20,5";"3,9";"53";"11";"4";"9";"0";"0";"0";"0";""
Povo;19/4/2005;"11,9";"9,6";"16,4";"8,3";"79";"10";"5";"17";"0";"0";"0";"4,6";"pioggia temporale "
Povo;20/4/2005;"12,3";"8";"18,3";"6,2";"66";"11";"6";"24";"0";"0";"0";"11,9";"pioggia "
Povo;21/4/2005;"13";"4,9";"18,1";"-0,9";"38";"11";"11";"24";"48";"0";"0";"0";""
Povo;22/4/2005;"11,1";"2";"18";"-0,3";"45";"12";"10";"22";"0";"1017";"988";"0";""
Povo;23/4/2005;"12";"3,5";"17,5";"3,7";"57";"11";"11";"26";"0";"0";"0";"0";""
Povo;24/4/2005;"12,2";"9,8";"14,1";"7,6";"73";"9";"6";"17";"0";"0";"0";"0,5";"pioggia "
Povo;25/4/2005;"9,7";"8";"11,2";"8,2";"90";"10";"3";"8";"0";"0";"0";"11,2";"pioggia "
Povo;26/4/2005;"14,9";"3,6";"24,1";"5,7";"54";"11";"4";"11";"0";"0";"0";"0";""
Povo;27/4/2005;"16,9";"6,4";"24";"7,1";"52";"11";"11";"24";"0";"0";"0";"0";""
Povo;28/4/2005;"16,7";"8,7";"22,6";"8,9";"60";"11";"5";"13";"0";"0";"0";"0";""
Povo;29/4/2005;"17";"11,5";"25,7";"9,8";"63";"11";"3";"8";"0";"0";"0";"0";""
Povo;30/4/2005;"20,2";"9,2";"27,5";"10";"52";"11";"9";"18";"0";"0";"0";"0";""
