LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/6/2007;"15,7";"15";"17";"13,4";"86";"9";"5";"11";"0";"1014";"0";"0";"pioggia "
Povo;2/6/2007;"17,3";"14";"21";"13,3";"77";"11";"4";"11";"0";"1015";"0";"0";""
Povo;3/6/2007;"20,4";"14";"25";"13,4";"64";"11";"7";"15";"0";"1018";"0";"0";""
Povo;4/6/2007;"20,8";"14";"28";"13,6";"63";"11";"9";"35";"0";"1017";"0";"0";"pioggia temporale "
Povo;5/6/2007;"21,4";"15";"25";"14,9";"66";"11";"8";"18";"0";"1014";"0";"0";"temporale "
Povo;6/6/2007;"19,4";"16";"22";"14,6";"74";"11";"5";"13";"0";"1013";"0";"0";""
Povo;7/6/2007;"21,5";"15";"26";"14,1";"63";"11";"12";"24";"0";"1014";"0";"0";"pioggia "
Povo;8/6/2007;"22,6";"15";"27";"15";"62";"11";"10";"28";"0";"1017";"0";"0";"pioggia temporale "
Povo;9/6/2007;"24,2";"17";"30";"14,4";"54";"11";"9";"18";"0";"1016";"0";"0";"pioggia "
Povo;10/6/2007;"24,7";"16";"30";"14,3";"52";"11";"13";"29";"0";"1015";"0";"0";""
Povo;11/6/2007;"21,9";"17";"27";"15,6";"67";"11";"7";"13";"0";"1013";"0";"0";"pioggia temporale "
Povo;12/6/2007;"22,5";"16";"26";"16,3";"68";"11";"8";"21";"0";"1010";"0";"0";"pioggia temporale "
Povo;13/6/2007;"20,9";"18";"24";"17,1";"79";"11";"5";"9";"0";"1011";"0";"0";"pioggia temporale "
Povo;14/6/2007;"23,3";"18";"29";"15,9";"63";"11";"7";"18";"0";"1011";"0";"0";""
Povo;15/6/2007;"21";"17";"28,1";"17";"78";"11";"8";"47";"0";"1009";"0";"10,9";"pioggia temporale "
Povo;16/6/2007;"21,1";"12,6";"28,1";"12,8";"59";"11";"9";"24";"0";"1010";"0";"7,9";""
Povo;17/6/2007;"23,4";"16,4";"28,8";"14,3";"57";"11";"10";"22";"0";"1013";"0";"0";""
Povo;18/6/2007;"24,8";"18,9";"29";"15,8";"57";"11";"11";"26";"0";"1013";"0";"0";""
Povo;19/6/2007;"26,8";"18";"32";"16,4";"53";"12";"10";"22";"0";"1015";"0";"0";""
Povo;20/6/2007;"26,4";"18,9";"33,1";"17,7";"59";"12";"10";"24";"0";"1014";"0";"0";""
Povo;21/6/2007;"26,6";"21,9";"32,6";"16,6";"54";"11";"10";"28";"47";"1011";"0";"0";""
Povo;22/6/2007;"24,8";"19,5";"30,4";"14,1";"51";"12";"15";"28";"47";"1010";"0";"0";"pioggia temporale "
Povo;23/6/2007;"23";"15,6";"28,6";"13,3";"54";"11";"10";"22";"0";"1012";"0";"5,1";""
Povo;24/6/2007;"24,8";"15,7";"31,1";"14,1";"51";"11";"10";"21";"39";"1016";"0";"0";""
Povo;25/6/2007;"26,1";"17,6";"32,3";"14,3";"48";"11";"12";"24";"42";"1009";"0";"0";""
Povo;26/6/2007;"22,6";"16";"29,6";"11,3";"49";"11";"12";"35";"54";"1002";"0";"1";"pioggia temporale "
Povo;27/6/2007;"18,2";"13";"25,4";"11,3";"64";"11";"7";"24";"35";"1007";"0";"10,2";"pioggia temporale "
Povo;28/6/2007;"19,2";"9,8";"26";"10,4";"57";"11";"12";"26";"39";"1013";"0";"1";""
Povo;29/6/2007;"22,3";"16";"28,7";"13,4";"57";"11";"11";"29";"0";"1015";"0";"0,5";"pioggia temporale "
Povo;30/6/2007;"21,7";"14,2";"28,2";"14,1";"62";"11";"8";"17";"0";"1018";"0";"6,1";""
