LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/9/2008;"22";"18";"26";"17";"74";"10";"5";"16";"35";"1017";"0";"0";"pioggia temporale "
Povo;2/9/2008;"21";"17";"26";"16";"74";"10";"8";"13";"0";"1018";"0";"0";""
Povo;3/9/2008;"22";"17";"28";"17";"73";"10";"3";"16";"0";"1013";"0";"0";"pioggia "
Povo;4/9/2008;"23";"19";"27";"17";"67";"10";"5";"14";"0";"1012";"0";"0";""
Povo;5/9/2008;"21";"17";"26";"17";"84";"10";"3";"10";"0";"1014";"0";"0";"pioggia "
Povo;6/9/2008;"23";"18";"29";"17";"72";"10";"8";"26";"0";"1012";"0";"0";""
Povo;7/9/2008;"22";"18";"27";"17";"74";"10";"6";"34";"0";"1011";"0";"0";"pioggia temporale "
Povo;8/9/2008;"20";"14";"27";"12";"64";"10";"2";"10";"0";"1017";"0";"0";""
Povo;9/9/2008;"21";"14";"28";"12";"65";"0";"3";"11";"0";"1020";"0";"0";""
Povo;10/9/2008;"21";"15";"28";"14";"64";"10";"3";"14";"34";"1019";"0";"0";"pioggia temporale "
Povo;11/9/2008;"22";"15";"28";"16";"71";"10";"5";"9";"0";"1015";"0";"0";""
Povo;12/9/2008;"21";"17";"26";"17";"76";"10";"8";"26";"0";"1009";"0";"0";""
Povo;13/9/2008;"19";"17";"23";"16";"85";"10";"6";"28";"0";"1008";"0";"0";"pioggia "
Povo;14/9/2008;"15";"14";"17";"13";"85";"10";"8";"37";"0";"1012";"0";"0";"pioggia "
Povo;15/9/2008;"17";"12";"21";"5";"48";"10";"18";"35";"50";"1012";"0";"0";""
Povo;16/9/2008;"16";"9";"21";"0";"39";"10";"14";"32";"46";"1014";"0";"0";""
Povo;17/9/2008;"13";"5";"21";"5";"61";"10";"11";"22";"0";"1018";"0";"0";""
Povo;18/9/2008;"17";"12";"21";"10";"63";"10";"8";"15";"0";"1020";"0";"0";""
Povo;19/9/2008;"18";"14";"23";"11";"67";"10";"6";"11";"0";"1018";"0";"0";""
Povo;20/9/2008;"16";"7";"23";"7";"56";"17";"8";"15";"0";"1020";"0";"0";""
Povo;21/9/2008;"14";"9";"18";"8";"63";"11";"9";"20";"0";"1017";"0";"0";""
Povo;22/9/2008;"13";"5";"19";"4";"54";"12";"6";"13";"0";"1015";"0";"0";""
Povo;23/9/2008;"14";"8";"19";"7";"62";"13";"8";"20";"0";"1015";"0";"0";""
Povo;24/9/2008;"15";"9";"20";"8";"62";"12";"6";"13";"0";"1017";"0";"0";""
Povo;25/9/2008;"13";"-18";"20";"8";"68";"11";"4";"7";"0";"1020";"0";"0";""
Povo;26/9/2008;"15";"8";"21";"4";"49";"16";"7";"17";"0";"1024";"0";"0";""
Povo;27/9/2008;"13";"5";"19";"4";"53";"15";"8";"19";"0";"1027";"0";"0";""
Povo;28/9/2008;"15";"9";"20";"6";"55";"13";"9";"24";"0";"1024";"0";"0";""
Povo;29/9/2008;"14";"7";"20";"7";"63";"11";"8";"19";"0";"1019";"0";"0";""
Povo;30/9/2008;"15";"11";"17";"10";"70";"9";"5";"11";"0";"1016";"0";"0";""
