LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/5/2009;"18";"6";"26";"3";"41";"18";"6";"17";"0";"1017";"0";"0";""
Povo;2/5/2009;"19";"13";"24";"5";"35";"14";"10";"21";"35";"1021";"0";"0";""
Povo;3/5/2009;"18";"7";"25";"4";"40";"13";"6";"27";"0";"1021";"0";"0";""
Povo;4/5/2009;"16";"10";"20";"6";"50";"12";"6";"13";"0";"1018";"0";"0";"pioggia "
Povo;5/5/2009;"17";"6";"22";"2";"31";"23";"6";"13";"0";"1019";"0";"0";""
Povo;6/5/2009;"18";"9";"24";"6";"46";"14";"5";"10";"0";"1018";"0";"0";""
Povo;7/5/2009;"20";"8";"28";"5";"39";"21";"6";"16";"0";"1018";"0";"0";""
Povo;8/5/2009;"20";"11";"26";"9";"49";"14";"7";"21";"0";"1019";"0";"0";"temporale "
Povo;9/5/2009;"20";"13";"25";"12";"57";"10";"7";"14";"27";"1020";"0";"7,9";"pioggia temporale "
Povo;10/5/2009;"21";"14";"25";"11";"54";"12";"6";"13";"0";"1020";"0";"0";""
Povo;11/5/2009;"21";"12";"27";"10";"49";"13";"6";"13";"0";"1017";"0";"0";""
Povo;12/5/2009;"21";"13";"27";"11";"50";"12";"6";"13";"0";"1016";"0";"0";""
Povo;13/5/2009;"20";"15";"24";"12";"58";"11";"6";"16";"0";"1015";"0";"0";""
Povo;14/5/2009;"20";"15";"24";"12";"58";"10";"5";"10";"0";"1010";"0";"0";""
Povo;15/5/2009;"17";"15";"20";"13";"79";"9";"2";"5";"0";"1011";"0";"1";"pioggia "
Povo;16/5/2009;"20";"13";"26";"12";"60";"11";"6";"14";"0";"1014";"0";"0";""
Povo;17/5/2009;"23";"14";"28";"12";"51";"12";"6";"14";"0";"1017";"0";"0";""
Povo;18/5/2009;"23";"14";"29";"11";"48";"13";"7";"16";"0";"1016";"0";"0";""
Povo;19/5/2009;"23";"17";"29";"12";"51";"12";"4";"10";"0";"1018";"0";"0";""
Povo;20/5/2009;"24";"16";"30";"11";"44";"14";"5";"16";"0";"1020";"0";"0";""
Povo;21/5/2009;"24";"17";"29";"13";"52";"12";"5";"15";"0";"1017";"0";"0";""
Povo;22/5/2009;"22";"15";"28";"14";"59";"10";"4";"15";"28";"1015";"0";"2";"pioggia temporale "
Povo;23/5/2009;"25";"14";"32";"14";"51";"18";"8";"18";"0";"1016";"0";"0";""
Povo;24/5/2009;"24";"17";"31";"17";"63";"11";"4";"9";"0";"1019";"0";"6,1";"pioggia temporale "
Povo;25/5/2009;"26";"16";"33";"13";"47";"15";"5";"14";"0";"1017";"0";"0";""
Povo;26/5/2009;"26";"17";"33";"11";"39";"13";"7";"17";"27";"1012";"0";"0";""
Povo;27/5/2009;"24";"20";"27";"5";"24";"14";"12";"21";"25";"1017";"0";"0";""
Povo;28/5/2009;"22";"14";"28";"3";"26";"18";"8";"18";"0";"1022";"0";"0";""
Povo;29/5/2009;"21";"12";"25";"5";"26";"14";"11";"23";"39";"1019";"0";"0";""
Povo;30/5/2009;"19";"9";"26";"4";"34";"16";"8";"18";"27";"1018";"0";"0";""
Povo;31/5/2009;"15";"10";"20";"9";"66";"10";"6";"14";"0";"1019";"0";"0";"pioggia "
