LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/11/2022;"12";"6";"15";"9";"87";"19";"2";"5";"0";"1024";"0";"0";"pioggia "
Povo;2/11/2022;"11";"5";"16";"9";"87";"17";"3";"4";"0";"1024";"0";"0";"nebbia "
Povo;3/11/2022;"13";"9";"16";"10";"87";"18";"4";"8";"0";"1017";"0";"0";"pioggia "
Povo;4/11/2022;"9";"5";"14";"6";"82";"17";"6";"24";"0";"1007";"0";"0";"pioggia "
Povo;5/11/2022;"10";"2";"18";"3";"60";"19";"8";"21";"0";"1015";"0";"0";""
Povo;6/11/2022;"8";"2";"14";"3";"73";"18";"3";"5";"0";"1019";"0";"0";""
Povo;7/11/2022;"7";"1";"14";"4";"78";"20";"3";"5";"0";"1022";"0";"0";""
Povo;8/11/2022;"7";"2";"12";"4";"78";"21";"2";"5";"0";"1022";"0";"0";""
Povo;9/11/2022;"8";"1";"12";"5";"85";"18";"3";"5";"0";"1020";"0";"0";"pioggia "
Povo;10/11/2022;"11";"6";"17";"9";"90";"22";"3";"5";"0";"1027";"0";"0";"pioggia "
Povo;11/11/2022;"9";"3";"14";"5";"83";"20";"2";"5";"0";"1035";"0";"0";""
Povo;12/11/2022;"8";"3";"14";"5";"81";"19";"3";"5";"0";"1031";"0";"0";""
Povo;13/11/2022;"9";"1";"15";"5";"77";"20";"4";"8";"0";"1024";"0";"0";"pioggia "
Povo;14/11/2022;"9";"4";"14";"7";"91";"14";"3";"5";"0";"1023";"0";"0";""
Povo;15/11/2022;"9";"5";"11";"6";"82";"18";"4";"8";"0";"1016";"0";"0";""
Povo;16/11/2022;"8";"3";"12";"7";"92";"19";"3";"5";"0";"1004";"0";"0";"pioggia "
Povo;17/11/2022;"8";"5";"11";"6";"87";"17";"2";"5";"0";"1003";"0";"0";""
Povo;18/11/2022;"9";"3";"15";"6";"81";"21";"4";"8";"0";"1001";"0";"0";"pioggia "
Povo;19/11/2022;"5";"0";"12";"2";"79";"18";"2";"4";"0";"1008";"0";"0";""
Povo;20/11/2022;"5";"-1";"12";"1";"74";"22";"3";"5";"0";"1011";"0";"0";""
Povo;21/11/2022;"5";"-3";"10";"1";"74";"18";"3";"5";"0";"1007";"0";"0";""
Povo;22/11/2022;"7";"4";"11";"4";"76";"15";"7";"15";"0";"997";"0";"0";"pioggia "
Povo;23/11/2022;"5";"0";"12";"1";"74";"19";"3";"5";"0";"1004";"0";"0";""
Povo;24/11/2022;"4";"-2";"10";"2";"79";"19";"5";"9";"0";"1016";"0";"0";""
Povo;25/11/2022;"4";"0";"11";"1";"74";"21";"3";"4";"0";"1021";"0";"0";""
Povo;26/11/2022;"6";"-2";"14";"1";"64";"23";"4";"11";"0";"1028";"0";"0";""
Povo;27/11/2022;"2";"-3";"9";"0";"73";"19";"3";"8";"0";"1027";"0";"0";""
Povo;28/11/2022;"3";"0";"5";"2";"82";"13";"3";"8";"0";"1019";"0";"0";"pioggia "
Povo;29/11/2022;"4";"3";"5";"4";"95";"6";"2";"4";"0";"1017";"0";"0";"pioggia "
Povo;30/11/2022;"3";"-1";"8";"2";"87";"21";"4";"9";"0";"1018";"0";"0";"nebbia "
