LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/8/2023;"23";"19";"28";"18";"78";"18";"8";"28";"0";"1004";"0";"0";"pioggia temporale "
Povo;2/8/2023;"23";"16";"29";"16";"63";"21";"5";"9";"0";"1007";"0";"0";""
Povo;3/8/2023;"27";"20";"32";"17";"56";"18";"14";"24";"0";"1004";"0";"0";"pioggia "
Povo;4/8/2023;"23";"18";"26";"14";"62";"18";"6";"22";"0";"1008";"0";"0";"pioggia "
Povo;5/8/2023;"22";"17";"27";"11";"53";"21";"9";"21";"0";"1007";"0";"0";"pioggia "
Povo;6/8/2023;"24";"14";"27";"7";"38";"18";"9";"28";"0";"1006";"0";"0";""
Povo;7/8/2023;"22";"11";"27";"5";"31";"21";"9";"22";"0";"1014";"0";"0";""
Povo;8/8/2023;"22";"10";"28";"7";"42";"19";"8";"18";"0";"1017";"0";"0";""
Povo;9/8/2023;"22";"15";"26";"13";"59";"19";"5";"9";"0";"1017";"0";"0";""
Povo;10/8/2023;"25";"19";"30";"13";"47";"19";"7";"15";"0";"1018";"0";"0";""
Povo;11/8/2023;"28";"19";"34";"15";"46";"17";"9";"18";"0";"1021";"0";"0";""
Povo;12/8/2023;"27";"19";"32";"16";"54";"16";"9";"21";"0";"1020";"0";"0";""
Povo;13/8/2023;"28";"18";"34";"16";"51";"20";"7";"15";"0";"1019";"0";"0";""
Povo;14/8/2023;"28";"19";"35";"14";"44";"21";"9";"18";"0";"1018";"0";"0";""
Povo;15/8/2023;"28";"19";"34";"17";"53";"20";"8";"17";"0";"1017";"0";"0";"pioggia temporale "
Povo;16/8/2023;"27";"19";"33";"16";"53";"22";"9";"18";"0";"1018";"0";"0";""
Povo;17/8/2023;"26";"19";"33";"15";"56";"18";"11";"30";"0";"1017";"0";"0";"pioggia temporale "
Povo;18/8/2023;"25";"18";"31";"17";"63";"21";"5";"11";"0";"1017";"0";"0";""
Povo;19/8/2023;"28";"18";"34";"16";"51";"20";"6";"13";"0";"1017";"0";"0";""
Povo;20/8/2023;"29";"18";"35";"17";"49";"21";"8";"13";"0";"1019";"0";"0";""
Povo;21/8/2023;"30";"20";"36";"17";"48";"19";"6";"15";"0";"1020";"0";"0";""
Povo;22/8/2023;"30";"21";"37";"17";"47";"21";"6";"15";"0";"1018";"0";"0";""
Povo;23/8/2023;"31";"21";"37";"17";"46";"22";"8";"17";"0";"1016";"0";"0";""
Povo;24/8/2023;"30";"21";"36";"17";"49";"19";"6";"11";"0";"1016";"0";"0";"pioggia "
Povo;25/8/2023;"30";"21";"36";"16";"45";"21";"8";"17";"0";"1013";"0";"0";""
Povo;26/8/2023;"28";"23";"35";"16";"49";"21";"9";"18";"0";"1011";"0";"0";"pioggia "
Povo;27/8/2023;"23";"19";"25";"19";"80";"18";"5";"9";"0";"1009";"0";"0";"pioggia "
Povo;28/8/2023;"19";"16";"23";"17";"89";"12";"7";"26";"0";"1002";"0";"0";"pioggia "
Povo;29/8/2023;"20";"14";"24";"9";"53";"18";"7";"17";"0";"1004";"0";"0";""
Povo;30/8/2023;"21";"15";"25";"10";"53";"20";"5";"11";"0";"1006";"0";"0";"pioggia "
Povo;31/8/2023;"22";"13";"26";"11";"54";"21";"8";"17";"0";"1014";"0";"0";""
