LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/2/2024;"2";"-3";"7";"0";"80";"19";"3";"5";"0";"1028";"0";"0";""
Povo;2/2/2024;"5";"-3";"13";"1";"67";"20";"3";"8";"0";"1029";"0";"0";""
Povo;3/2/2024;"7";"-1";"17";"2";"69";"20";"4";"8";"0";"1025";"0";"0";""
Povo;4/2/2024;"8";"1";"16";"1";"60";"19";"4";"8";"0";"1023";"0";"0";""
Povo;5/2/2024;"9";"-1";"17";"1";"61";"18";"4";"9";"0";"1022";"0";"0";""
Povo;6/2/2024;"4";"-2";"10";"2";"82";"5";"3";"5";"0";"1021";"0";"0";"nebbia "
Povo;7/2/2024;"8";"5";"12";"1";"62";"8";"4";"8";"0";"1013";"0";"0";""
Povo;8/2/2024;"10";"5";"13";"3";"62";"10";"5";"9";"0";"1008";"0";"0";""
Povo;9/2/2024;"10";"7";"12";"8";"89";"6";"5";"9";"0";"1000";"0";"0";"pioggia "
Povo;10/2/2024;"9";"7";"10";"8";"95";"6";"2";"4";"0";"995";"0";"0";"pioggia "
Povo;11/2/2024;"8";"7";"10";"7";"93";"11";"3";"8";"0";"994";"0";"0";"pioggia "
Povo;12/2/2024;"8";"1";"13";"3";"73";"22";"3";"5";"0";"1005";"0";"0";""
Povo;13/2/2024;"9";"1";"16";"2";"54";"20";"6";"13";"0";"1019";"0";"0";""
Povo;14/2/2024;"7";"0";"14";"0";"56";"19";"3";"5";"0";"1025";"0";"0";""
Povo;15/2/2024;"8";"0";"15";"1";"62";"19";"3";"9";"0";"1023";"0";"0";""
Povo;16/2/2024;"9";"1";"16";"2";"63";"20";"3";"5";"0";"1021";"0";"0";""
Povo;17/2/2024;"11";"3";"17";"4";"65";"21";"3";"5";"0";"1027";"0";"0";""
Povo;18/2/2024;"13";"2";"18";"4";"60";"19";"5";"9";"0";"1028";"0";"0";""
Povo;19/2/2024;"13";"4";"20";"5";"49";"19";"6";"18";"0";"1023";"0";"0";""
Povo;20/2/2024;"12";"4";"18";"1";"37";"19";"8";"15";"0";"1025";"0";"0";""
Povo;21/2/2024;"9";"1";"15";"0";"45";"21";"3";"5";"0";"1023";"0";"0";""
Povo;22/2/2024;"8";"7";"10";"4";"72";"12";"4";"8";"0";"1009";"0";"0";"pioggia "
Povo;23/2/2024;"4";"2";"7";"3";"95";"5";"4";"9";"0";"1000";"0";"0";"pioggia "
Povo;24/2/2024;"6";"3";"9";"3";"81";"15";"4";"8";"0";"1009";"0";"0";"pioggia "
Povo;25/2/2024;"7";"4";"11";"4";"79";"14";"4";"8";"0";"1009";"0";"0";"pioggia "
Povo;26/2/2024;"7";"5";"9";"5";"86";"17";"4";"5";"0";"1007";"0";"0";"pioggia "
Povo;27/2/2024;"6";"5";"7";"5";"94";"10";"3";"4";"0";"1012";"0";"0";"pioggia "
Povo;28/2/2024;"10";"6";"15";"7";"84";"15";"4";"9";"0";"1019";"0";"0";"pioggia "
Povo;29/2/2024;"12";"7";"15";"8";"80";"17";"3";"8";"0";"1014";"0";"0";"pioggia "
