LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Povo;1/1/2025;"0";"-6";"7";"0";"78";"21";"0";"0";"0";"1030";"0";"0";""
Povo;2/1/2025;"2";"0";"4";"0";"71";"19";"0";"0";"0";"1020";"0";"0";""
Povo;3/1/2025;"3";"-2";"11";"0";"57";"22";"0";"0";"0";"1016";"0";"0";""
Povo;4/1/2025;"-1";"-7";"5";"0";"59";"18";"0";"0";"0";"1021";"0";"0";""
Povo;5/1/2025;"1";"-1";"2";"0";"61";"21";"0";"0";"0";"1017";"0";"0";""
Povo;6/1/2025;"2";"0";"3";"0";"70";"20";"0";"0";"0";"1011";"0";"0";""
Povo;7/1/2025;"3";"1";"4";"3";"100";"3";"0";"0";"0";"1009";"0";"0";"pioggia nebbia "
Povo;8/1/2025;"5";"2";"7";"4";"91";"14";"0";"0";"0";"1014";"0";"0";"pioggia nebbia "
Povo;9/1/2025;"5";"4";"6";"5";"99";"4";"0";"0";"0";"1010";"0";"0";"pioggia "
Povo;10/1/2025;"7";"2";"10";"0";"33";"23";"2";"24";"0";"1016";"0";"0";""
Povo;11/1/2025;"3";"-3";"7";"0";"51";"19";"0";"0";"0";"1019";"0";"0";""
Povo;12/1/2025;"6";"-1";"10";"0";"29";"19";"3";"22";"0";"1027";"0";"0";""
Povo;13/1/2025;"2";"-3";"9";"0";"42";"21";"0";"0";"0";"1032";"0";"0";""
Povo;14/1/2025;"1";"-4";"7";"0";"59";"20";"0";"0";"0";"1032";"0";"0";""
Povo;15/1/2025;"5";"-5";"13";"0";"51";"20";"0";"0";"0";"1025";"0";"0";""
Povo;16/1/2025;"3";"-3";"10";"0";"64";"21";"0";"0";"0";"1033";"0";"0";""
Povo;17/1/2025;"1";"-5";"8";"0";"77";"18";"0";"0";"0";"1036";"0";"0";""
Povo;18/1/2025;"2";"-5";"9";"0";"64";"21";"0";"0";"0";"1031";"0";"0";""
Povo;19/1/2025;"4";"-1";"7";"1";"68";"20";"0";"0";"0";"1025";"0";"0";"pioggia "
Povo;20/1/2025;"3";"-2";"6";"1";"85";"17";"0";"0";"0";"1023";"0";"0";""
Povo;21/1/2025;"4";"0";"11";"2";"81";"21";"0";"0";"0";"1018";"0";"0";""
Povo;22/1/2025;"4";"0";"6";"1";"81";"18";"0";"0";"0";"1017";"0";"0";""
Povo;23/1/2025;"4";"1";"7";"3";"89";"11";"0";"0";"0";"1013";"0";"0";"pioggia "
Povo;24/1/2025;"4";"-2";"10";"2";"81";"21";"0";"0";"0";"1019";"0";"0";""
Povo;25/1/2025;"4";"-2";"7";"2";"81";"22";"0";"0";"0";"1020";"0";"0";""
Povo;26/1/2025;"5";"3";"6";"5";"99";"6";"0";"0";"0";"1014";"0";"0";"pioggia "
Povo;27/1/2025;"6";"4";"7";"6";"100";"2";"0";"0";"0";"1012";"0";"0";"pioggia nebbia "
Povo;28/1/2025;"7";"4";"10";"6";"94";"9";"0";"0";"0";"1000";"0";"0";"pioggia "
Povo;29/1/2025;"6";"1";"10";"3";"83";"19";"0";"0";"0";"1015";"0";"0";""
Povo;30/1/2025;"6";"2";"10";"2";"79";"20";"0";"0";"0";"1021";"0";"0";""
Povo;31/1/2025;"4";"-1";"8";"2";"82";"20";"0";"0";"0";"1026";"0";"0";"pioggia "
