LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/4/2004;"5,9";"0,2";"12";"0,7";"71";"0";"2";"0";"20";"0";"1013";"0";""
Predazzo;2/4/2004;"5,8";"2,2";"10,1";"2,6";"81";"0";"2";"0";"23";"0";"1017";"0";""
Predazzo;3/4/2004;"7,1";"3,3";"12,5";"3,5";"79";"0";"2";"0";"21";"0";"1021";"0";""
Predazzo;4/4/2004;"6,8";"3,5";"11,4";"3";"77";"0";"3";"0";"27";"0";"1022";"0";""
Predazzo;5/4/2004;"6,1";"3,4";"10,4";"2,6";"79";"0";"2";"0";"32";"0";"1014";"0,6";"pioggia "
Predazzo;6/4/2004;"3,7";"1,8";"6,1";"1,9";"88";"0";"3";"0";"34";"0";"1005";"7,3";"pioggia "
Predazzo;7/4/2004;"2,6";"-0,2";"6,7";"-4";"63";"0";"2";"0";"26";"0";"1005";"3,3";"pioggia neve "
Predazzo;8/4/2004;"1,8";"-2,3";"6,1";"-5,7";"58";"0";"2";"0";"27";"0";"1013";"3,2";"pioggia "
Predazzo;9/4/2004;"1,1";"-1,3";"3,2";"-1,9";"81";"0";"3";"0";"34";"0";"1010";"8,7";"pioggia neve "
Predazzo;10/4/2004;"2,7";"-0,1";"6,3";"-0,1";"82";"0";"2";"0";"24";"0";"1008";"6,2";"pioggia neve "
Predazzo;11/4/2004;"4,3";"-1,2";"10,1";"-2,5";"63";"0";"2";"0";"25";"0";"1012";"0";""
Predazzo;12/4/2004;"2,9";"-0,8";"5,6";"-2,4";"69";"0";"2";"0";"30";"0";"1014";"1,6";"pioggia "
Predazzo;13/4/2004;"3,3";"0,6";"6,2";"-0,9";"74";"0";"2";"0";"38";"0";"1013";"8,6";"pioggia neve "
Predazzo;14/4/2004;"4,3";"0,3";"7,8";"-0,5";"71";"0";"3";"0";"23";"0";"1017";"0,9";"pioggia "
Predazzo;15/4/2004;"4,4";"2,8";"6,1";"2,6";"88";"0";"3";"0";"31";"0";"1024";"5,3";"pioggia "
Predazzo;16/4/2004;"4";"2,5";"5,3";"2,5";"90";"0";"2";"0";"25";"0";"1019";"6,3";"pioggia "
Predazzo;17/4/2004;"5,2";"3,4";"7,2";"3,4";"88";"0";"2";"0";"20";"0";"1007";"0,5";"pioggia "
Predazzo;18/4/2004;"6,2";"4,3";"8,8";"5";"91";"0";"2";"0";"34";"0";"1000";"5,3";"pioggia "
Predazzo;19/4/2004;"5,1";"3,5";"7,6";"4,1";"92";"0";"4";"0";"43";"0";"997";"15,3";"pioggia "
Predazzo;20/4/2004;"7,1";"2";"12,5";"1";"66";"0";"3";"0";"25";"0";"1004";"0,5";"pioggia "
Predazzo;21/4/2004;"7,4";"2,7";"11,6";"1,7";"68";"0";"2";"0";"27";"0";"1015";"0";""
Predazzo;22/4/2004;"8,9";"4";"13,3";"4,6";"75";"0";"2";"0";"23";"0";"1014";"0";""
Predazzo;23/4/2004;"9,6";"5";"15,2";"5,8";"78";"0";"2";"0";"23";"0";"1013";"3";"pioggia "
Predazzo;24/4/2004;"7,7";"3,1";"12";"2,4";"70";"0";"3";"0";"40";"0";"1013";"10,1";"pioggia "
Predazzo;25/4/2004;"6,2";"1,6";"11,3";"-2";"57";"0";"3";"0";"36";"0";"1017";"2";"pioggia "
Predazzo;26/4/2004;"7,3";"1,5";"13,2";"-0,1";"61";"0";"3";"0";"29";"0";"1017";"0";""
Predazzo;27/4/2004;"7,9";"3,1";"12,7";"3,9";"77";"0";"3";"0";"24";"0";"1013";"1,1";"pioggia "
Predazzo;28/4/2004;"9";"4";"14,2";"4,4";"74";"0";"3";"0";"30";"0";"1012";"0,6";"pioggia "
Predazzo;29/4/2004;"8,6";"4,8";"13,1";"5,1";"80";"0";"3";"0";"35";"0";"1009";"3,6";"pioggia "
Predazzo;30/4/2004;"6,7";"5,7";"7,9";"6,1";"94";"0";"2";"0";"31";"0";"1005";"15,6";"pioggia "
