LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/7/2006;"15,6";"10,3";"20,6";"7,3";"60";"0";"2";"0";"28";"0";"1019";"8,7";"pioggia "
Predazzo;2/7/2006;"15,5";"11,2";"19,6";"10,3";"72";"0";"2";"0";"28";"0";"1018";"9,3";"pioggia "
Predazzo;3/7/2006;"16,1";"12,5";"20,4";"13,2";"84";"0";"2";"0";"26";"0";"1018";"4,1";"pioggia "
Predazzo;4/7/2006;"16,1";"11,9";"20";"13,2";"83";"0";"3";"0";"26";"0";"1019";"2,2";"pioggia "
Predazzo;5/7/2006;"16,2";"13,2";"19,5";"13,8";"86";"0";"2";"0";"25";"0";"1021";"0";""
Predazzo;6/7/2006;"16,6";"12,7";"21,4";"14,2";"86";"0";"3";"0";"41";"0";"1020";"7,1";"pioggia "
Predazzo;7/7/2006;"14,7";"11,8";"17,5";"13,2";"90";"0";"1";"0";"30";"0";"1017";"4,8";"pioggia "
Predazzo;8/7/2006;"15,2";"11,7";"19,8";"12";"82";"0";"2";"0";"28";"0";"1017";"8,6";"pioggia "
Predazzo;9/7/2006;"16,5";"12,2";"22,4";"12,6";"78";"0";"2";"0";"28";"0";"1019";"2,1";"pioggia "
Predazzo;10/7/2006;"17,1";"12,3";"22,2";"10,3";"67";"0";"2";"0";"21";"0";"1022";"1,4";"pioggia "
Predazzo;11/7/2006;"18,3";"13";"23,6";"13,2";"73";"0";"2";"0";"24";"0";"1022";"4,9";"pioggia "
Predazzo;12/7/2006;"17,2";"14,4";"21,1";"13,8";"81";"0";"2";"0";"24";"0";"1021";"10,7";"pioggia "
Predazzo;13/7/2006;"17,3";"13,2";"22,5";"12,3";"74";"0";"2";"0";"27";"0";"1019";"6,2";"pioggia "
Predazzo;14/7/2006;"17,4";"13,5";"21,5";"11,5";"69";"0";"2";"0";"23";"0";"1020";"8,6";"pioggia "
Predazzo;15/7/2006;"17,9";"13,2";"22,7";"11,7";"68";"0";"3";"0";"27";"0";"1022";"3,8";"pioggia "
Predazzo;16/7/2006;"16,4";"13,3";"19,9";"12,2";"77";"0";"3";"0";"28";"0";"1023";"0";""
Predazzo;17/7/2006;"16,6";"12,9";"21,3";"12,3";"77";"0";"3";"0";"27";"0";"1022";"0";""
Predazzo;18/7/2006;"17,7";"12,5";"23,2";"12,8";"76";"0";"2";"0";"27";"0";"1022";"0";""
Predazzo;19/7/2006;"19,6";"12,8";"26,5";"12,6";"68";"0";"3";"0";"31";"0";"1022";"0";""
Predazzo;20/7/2006;"20,1";"13";"26,9";"10,7";"59";"0";"3";"0";"29";"0";"1020";"0";""
Predazzo;21/7/2006;"20,3";"13,5";"26,9";"10,1";"55";"0";"3";"0";"29";"0";"1019";"0";""
Predazzo;22/7/2006;"19,3";"13,6";"24,9";"10";"56";"0";"3";"0";"25";"0";"1017";"2,6";"pioggia "
Predazzo;23/7/2006;"19,1";"13,6";"24,4";"10,8";"60";"0";"3";"0";"22";"0";"1017";"1,8";"pioggia "
Predazzo;24/7/2006;"18,9";"13,6";"23,9";"12,1";"66";"0";"2";"0";"21";"0";"1018";"5,8";"pioggia "
Predazzo;25/7/2006;"19,1";"14,1";"24,3";"14";"74";"0";"2";"0";"25";"0";"1018";"3,1";"pioggia "
Predazzo;26/7/2006;"18,2";"15";"22,1";"14,3";"79";"0";"2";"0";"24";"0";"1018";"5,7";"pioggia "
Predazzo;27/7/2006;"18,7";"13,6";"23,4";"12,9";"72";"0";"2";"0";"21";"0";"1016";"7,1";"pioggia "
Predazzo;28/7/2006;"18,2";"14";"23,2";"13,5";"76";"0";"3";"0";"32";"0";"1012";"9,5";"pioggia "
Predazzo;29/7/2006;"15,9";"13,1";"18,8";"12,8";"82";"0";"2";"0";"23";"0";"1009";"5,7";"pioggia "
Predazzo;30/7/2006;"17,3";"11,5";"22,6";"10,5";"67";"0";"3";"0";"30";"0";"1013";"0";""
Predazzo;31/7/2006;"17,3";"14";"21,2";"12,7";"75";"0";"2";"0";"27";"0";"1014";"14,9";"pioggia "
