LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/10/2007;"9";"4,4";"14,1";"6,3";"84";"0";"2";"0";"20";"0";"1025";"0";""
Predazzo;2/10/2007;"10,7";"5,8";"16,2";"8,3";"85";"0";"2";"0";"19";"0";"1021";"0";""
Predazzo;3/10/2007;"12,4";"7,1";"18,6";"9,5";"83";"0";"1";"0";"26";"0";"1020";"0";""
Predazzo;4/10/2007;"12,5";"10,3";"16";"11,8";"94";"0";"2";"0";"29";"0";"1021";"1,4";"pioggia "
Predazzo;5/10/2007;"12,9";"9,3";"17,6";"11,4";"90";"0";"2";"0";"22";"0";"1019";"0";""
Predazzo;6/10/2007;"11";"7,6";"12,8";"11,5";"99";"0";"2";"0";"29";"0";"1016";"19,4";"pioggia "
Predazzo;7/10/2007;"9";"5,7";"12,9";"5,9";"82";"0";"2";"0";"20";"0";"1018";"0";""
Predazzo;8/10/2007;"10,1";"6,6";"14,9";"6,7";"80";"0";"2";"0";"22";"0";"1020";"0";""
Predazzo;9/10/2007;"9,6";"7";"12,9";"7";"84";"0";"3";"0";"19";"0";"1021";"0";""
Predazzo;10/10/2007;"8,5";"6,5";"11";"6,9";"89";"0";"1";"0";"18";"0";"1020";"0";""
Predazzo;11/10/2007;"7,8";"4,9";"10,4";"3,3";"73";"0";"2";"0";"19";"0";"1021";"0";""
Predazzo;12/10/2007;"8,2";"5,1";"12";"3,7";"73";"0";"2";"0";"19";"0";"1018";"0";""
Predazzo;13/10/2007;"7,9";"4,9";"11,5";"3,4";"74";"0";"2";"0";"19";"0";"1020";"0";""
Predazzo;14/10/2007;"7,6";"5,8";"10,2";"6,3";"91";"0";"2";"0";"18";"0";"1024";"1,1";"pioggia "
Predazzo;15/10/2007;"8,4";"3,9";"14,2";"5,3";"81";"0";"2";"0";"21";"0";"1024";"0";""
Predazzo;16/10/2007;"8,5";"4";"14,6";"5,2";"81";"0";"2";"0";"26";"0";"1024";"0";""
Predazzo;17/10/2007;"7,7";"3,1";"14";"3,9";"78";"0";"2";"0";"24";"0";"1022";"0";""
Predazzo;18/10/2007;"5,9";"2,3";"10,5";"1,4";"74";"0";"3";"0";"50";"0";"1019";"3,2";"pioggia "
Predazzo;19/10/2007;"3,4";"0,1";"8,9";"-5,6";"53";"0";"4";"0";"36";"0";"1022";"0";""
Predazzo;20/10/2007;"0,5";"-2,4";"5";"-9,2";"50";"0";"5";"0";"42";"0";"1024";"0";""
Predazzo;21/10/2007;"-0,3";"-3,2";"4,5";"-8,7";"53";"0";"4";"0";"35";"0";"1021";"0,6";"pioggia "
Predazzo;22/10/2007;"0,2";"-1,9";"3";"-6,2";"62";"0";"7";"0";"46";"0";"1013";"1,1";"pioggia "
Predazzo;23/10/2007;"1,1";"-0,9";"3,2";"-2,4";"77";"0";"3";"0";"37";"0";"1010";"1,7";"pioggia "
Predazzo;24/10/2007;"1,9";"0,2";"3,5";"0,4";"89";"0";"2";"0";"22";"0";"1016";"10,4";"pioggia neve "
Predazzo;25/10/2007;"3,7";"1,1";"6,8";"1,3";"84";"0";"2";"0";"20";"0";"1020";"0";""
Predazzo;26/10/2007;"4,9";"3,6";"6,3";"4,5";"96";"0";"3";"0";"28";"0";"1021";"14,2";"pioggia "
Predazzo;27/10/2007;"7,1";"4,2";"10,5";"6";"93";"0";"2";"0";"19";"0";"1024";"0";""
Predazzo;28/10/2007;"6,8";"4,8";"9,4";"5,6";"92";"0";"2";"0";"21";"0";"1021";"2,1";"pioggia "
Predazzo;29/10/2007;"5,5";"2,5";"8,3";"3,2";"85";"0";"2";"0";"23";"0";"1019";"0";""
Predazzo;30/10/2007;"5,3";"4,2";"6,5";"5";"96";"0";"2";"0";"33";"0";"1014";"10,6";"pioggia "
Predazzo;31/10/2007;"5,2";"3";"9,3";"1,8";"79";"0";"3";"0";"40";"0";"1019";"1,2";"pioggia "
