LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/6/2010;"11,3";"5,5";"16,5";"3,1";"58";"0";"3";"0";"40";"0";"1007";"0";""
Predazzo;2/6/2010;"10,9";"7,4";"15,2";"4,7";"67";"0";"4";"0";"37";"0";"1006";"0";""
Predazzo;3/6/2010;"11,4";"7,9";"15,8";"6,8";"74";"0";"3";"0";"39";"0";"1010";"11,7";"pioggia "
Predazzo;4/6/2010;"14";"9,5";"19";"8";"68";"0";"3";"0";"29";"0";"1015";"9,7";"pioggia "
Predazzo;5/6/2010;"15,6";"10,8";"21,1";"10,6";"74";"0";"2";"0";"29";"0";"1019";"0,8";"pioggia "
Predazzo;6/6/2010;"16,7";"12,3";"21,6";"12,7";"79";"0";"3";"0";"33";"0";"1016";"1,1";"pioggia "
Predazzo;7/6/2010;"14,5";"12,6";"17,1";"13,5";"93";"0";"2";"0";"27";"0";"1013";"15";"pioggia "
Predazzo;8/6/2010;"14,7";"12,1";"17,8";"13,6";"93";"0";"3";"0";"31";"0";"1012";"11,1";"pioggia "
Predazzo;9/6/2010;"14,9";"11,4";"18,6";"12,4";"85";"0";"3";"0";"42";"0";"1013";"6,8";"pioggia "
Predazzo;10/6/2010;"17";"12,8";"22,4";"13,5";"81";"0";"3";"0";"30";"0";"1014";"0,5";"pioggia "
Predazzo;11/6/2010;"18,6";"13,6";"24,4";"13,9";"76";"0";"4";"0";"37";"0";"1013";"0";""
Predazzo;12/6/2010;"18";"13,5";"24,1";"14,8";"83";"0";"3";"0";"41";"0";"1011";"9,5";"pioggia "
Predazzo;13/6/2010;"15,8";"12,3";"20,2";"14,7";"92";"0";"2";"0";"36";"0";"1011";"11";"pioggia "
Predazzo;14/6/2010;"15,3";"11,1";"19,9";"12,1";"82";"0";"4";"0";"39";"0";"1012";"4,6";"pioggia "
Predazzo;15/6/2010;"13,1";"12,3";"14,3";"13,3";"97";"0";"2";"0";"36";"0";"1015";"29,9";"pioggia "
Predazzo;16/6/2010;"13,5";"11,9";"15,8";"13,9";"99";"0";"3";"0";"35";"0";"1012";"23,5";"pioggia "
Predazzo;17/6/2010;"12,5";"10";"14,6";"12";"96";"0";"2";"0";"37";"0";"1014";"17,4";"pioggia "
Predazzo;18/6/2010;"12,2";"8,1";"16";"8,8";"81";"0";"2";"0";"21";"0";"1008";"0";""
Predazzo;19/6/2010;"10,3";"7,4";"14";"8,1";"86";"0";"3";"0";"37";"0";"1002";"21,9";"pioggia "
Predazzo;20/6/2010;"5,8";"5";"7,1";"4,7";"92";"0";"6";"0";"51";"0";"1003";"46,9";"pioggia "
Predazzo;21/6/2010;"9";"5,3";"12,5";"3,7";"70";"0";"5";"0";"42";"0";"1008";"0";""
Predazzo;22/6/2010;"11,5";"6,4";"16";"4,4";"62";"0";"3";"0";"32";"0";"1014";"1";"pioggia "
Predazzo;23/6/2010;"13,2";"7,5";"18,1";"6,2";"63";"0";"3";"0";"30";"0";"1016";"0";""
Predazzo;24/6/2010;"13,9";"9,3";"18,9";"7,3";"65";"0";"3";"0";"27";"0";"1015";"1,8";"pioggia "
Predazzo;25/6/2010;"14,7";"9,5";"19,9";"7,9";"65";"0";"2";"0";"29";"0";"1014";"1,5";"pioggia "
Predazzo;26/6/2010;"14,9";"10,3";"19,1";"8,8";"68";"0";"2";"0";"25";"0";"1014";"13,1";"pioggia "
Predazzo;27/6/2010;"16,1";"10,2";"22";"10";"71";"0";"2";"0";"29";"0";"1017";"6,8";"pioggia "
Predazzo;28/6/2010;"17,2";"11,8";"22,3";"12";"74";"0";"2";"0";"29";"0";"1017";"5,9";"pioggia "
Predazzo;29/6/2010;"16,5";"12,5";"20,9";"12,2";"77";"0";"2";"0";"25";"0";"1018";"9,3";"pioggia "
Predazzo;30/6/2010;"16,2";"11,8";"20,9";"10,7";"71";"0";"2";"0";"22";"0";"1018";"10,8";"pioggia "
