LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/5/2010;"11,1";"8";"15,3";"8";"82";"0";"4";"0";"45";"0";"1012";"0,6";"pioggia "
Predazzo;2/5/2010;"9,4";"7,5";"12,4";"8,3";"93";"0";"3";"0";"39";"0";"1010";"22,5";"pioggia "
Predazzo;3/5/2010;"8,5";"6,8";"10,4";"8,3";"96";"0";"3";"0";"35";"0";"1008";"21,7";"pioggia "
Predazzo;4/5/2010;"6,9";"5,6";"8,1";"7,2";"97";"0";"4";"0";"55";"0";"1010";"45,2";"pioggia "
Predazzo;5/5/2010;"7";"5,4";"8,9";"7,9";"99";"0";"5";"0";"68";"0";"1005";"41,4";"pioggia "
Predazzo;6/5/2010;"7,2";"5,4";"10,1";"5,4";"88";"0";"3";"0";"37";"0";"1002";"7,5";"pioggia "
Predazzo;7/5/2010;"8";"5,1";"12,1";"3,4";"74";"0";"3";"0";"36";"0";"1007";"4,2";"pioggia "
Predazzo;8/5/2010;"7,6";"5";"11,2";"4,9";"83";"0";"2";"0";"25";"0";"1009";"6";"pioggia "
Predazzo;9/5/2010;"8,2";"4";"12,4";"4,6";"79";"0";"4";"0";"38";"0";"1010";"1,4";"pioggia "
Predazzo;10/5/2010;"8,6";"6,1";"11,8";"6,4";"86";"0";"2";"0";"32";"0";"1008";"2";"pioggia "
Predazzo;11/5/2010;"9";"7,1";"11,4";"8";"93";"0";"2";"0";"39";"0";"1008";"16,4";"pioggia "
Predazzo;12/5/2010;"9,3";"6,8";"12,7";"7,8";"89";"0";"2";"0";"39";"0";"1006";"10,9";"pioggia "
Predazzo;13/5/2010;"8,8";"5,8";"12,6";"6,8";"87";"0";"3";"0";"28";"0";"1005";"6";"pioggia "
Predazzo;14/5/2010;"8,7";"5,2";"12,6";"6,3";"85";"0";"3";"0";"39";"0";"1005";"7,9";"pioggia "
Predazzo;15/5/2010;"7,1";"5,2";"9,4";"2,3";"72";"0";"4";"0";"47";"0";"1000";"2,7";"pioggia "
Predazzo;16/5/2010;"7,1";"4,6";"10,4";"-0,5";"59";"0";"6";"0";"43";"0";"1006";"0";""
Predazzo;17/5/2010;"7,9";"3,7";"12,2";"-0,8";"55";"0";"6";"0";"44";"0";"1014";"0";""
Predazzo;18/5/2010;"8,2";"3,4";"12,9";"-1,3";"53";"0";"5";"0";"35";"0";"1016";"0";""
Predazzo;19/5/2010;"8,3";"2,6";"13,3";"-1,9";"51";"0";"3";"0";"31";"0";"1017";"0,6";"pioggia "
Predazzo;20/5/2010;"8,7";"4,7";"12,9";"3,1";"68";"0";"2";"0";"35";"0";"1019";"7,9";"pioggia "
Predazzo;21/5/2010;"10,3";"5";"15,4";"4";"66";"0";"3";"0";"32";"0";"1020";"2,7";"pioggia "
Predazzo;22/5/2010;"10,7";"6,2";"15";"5";"68";"0";"3";"0";"28";"0";"1019";"7,8";"pioggia "
Predazzo;23/5/2010;"12,1";"6,6";"17,3";"5,2";"64";"0";"2";"0";"23";"0";"1017";"5,2";"pioggia "
Predazzo;24/5/2010;"13,9";"7,4";"19,9";"7,2";"66";"0";"3";"0";"32";"0";"1015";"0";""
Predazzo;25/5/2010;"15,9";"9,3";"22,3";"10,6";"73";"0";"3";"0";"38";"0";"1013";"0,9";"pioggia "
Predazzo;26/5/2010;"15,3";"10,8";"21";"11";"76";"0";"4";"0";"42";"0";"1010";"0,6";"pioggia "
Predazzo;27/5/2010;"12,2";"8,2";"17,5";"9";"82";"0";"2";"0";"41";"0";"1010";"9,9";"pioggia "
Predazzo;28/5/2010;"10,9";"7,1";"15,5";"8";"83";"0";"2";"0";"31";"0";"1014";"8,1";"pioggia "
Predazzo;29/5/2010;"11,5";"8,2";"15,1";"9,5";"88";"0";"1";"0";"23";"0";"1016";"8,6";"pioggia "
Predazzo;30/5/2010;"11,4";"8,8";"15,1";"10,4";"93";"0";"2";"0";"35";"0";"1011";"9,1";"pioggia "
Predazzo;31/5/2010;"11,9";"7,3";"17,4";"2,8";"59";"0";"5";"0";"60";"0";"1005";"0,9";"pioggia "
