LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/12/2012;"-1,5";"-2,8";"0,4";"-5";"77";"0";"2";"0";"22";"0";"1010";"0,7";"pioggia neve "
Predazzo;2/12/2012;"-2,6";"-4,1";"-0";"-7";"72";"0";"3";"0";"42";"0";"1008";"1";"pioggia neve "
Predazzo;3/12/2012;"-4,1";"-6,5";"-0,5";"-11,4";"56";"0";"4";"0";"50";"0";"1013";"0";""
Predazzo;4/12/2012;"-5,1";"-7,4";"-2,5";"-7,8";"82";"0";"2";"0";"32";"0";"1004";"0";""
Predazzo;5/12/2012;"-5,2";"-7,3";"-3";"-9,1";"74";"0";"2";"0";"20";"0";"1002";"0";""
Predazzo;6/12/2012;"-5,9";"-8,5";"-2";"-12,5";"60";"0";"3";"0";"35";"0";"1010";"0";""
Predazzo;7/12/2012;"-7,7";"-10,6";"-5,6";"-12,7";"68";"0";"2";"0";"29";"0";"1011";"2,6";"pioggia neve "
Predazzo;8/12/2012;"-6,2";"-7,6";"-3,8";"-11,9";"64";"0";"4";"0";"45";"0";"1008";"0";"neve "
Predazzo;9/12/2012;"-6,9";"-9,8";"-3,5";"-14,4";"55";"0";"4";"0";"43";"0";"1018";"0";""
Predazzo;10/12/2012;"-7,3";"-10,5";"-3,4";"-11,4";"72";"0";"3";"0";"32";"0";"1008";"0";""
Predazzo;11/12/2012;"-6,1";"-8,7";"-2,2";"-12,8";"60";"0";"5";"0";"41";"0";"1013";"0";""
Predazzo;12/12/2012;"-7,1";"-9,8";"-3,2";"-15,3";"52";"0";"2";"0";"25";"0";"1021";"0";""
Predazzo;13/12/2012;"-6,2";"-9,6";"-3,2";"-11,6";"66";"0";"1";"0";"26";"0";"1022";"0";"neve "
Predazzo;14/12/2012;"-2,6";"-4,4";"-1,1";"-2,6";"97";"0";"0";"0";"29";"0";"1018";"5,8";"pioggia neve "
Predazzo;15/12/2012;"-0,3";"-1,5";"1,5";"0,6";"99";"0";"2";"0";"34";"0";"1012";"13,5";"pioggia neve "
Predazzo;16/12/2012;"-0,1";"-2,3";"2,9";"-1,7";"89";"0";"2";"0";"19";"0";"1013";"0";""
Predazzo;17/12/2012;"-0,6";"-1,4";"0,9";"-3,9";"78";"0";"2";"0";"20";"0";"1010";"0";"neve "
Predazzo;18/12/2012;"-0,3";"-1,8";"2,7";"-5,4";"68";"0";"3";"0";"23";"0";"1011";"0";""
Predazzo;19/12/2012;"-2,1";"-4";"1,5";"-7,4";"67";"0";"4";"0";"32";"0";"1020";"0";""
Predazzo;20/12/2012;"-3,2";"-5,8";"-0,7";"-8,4";"67";"0";"2";"0";"17";"0";"1019";"0,7";"pioggia neve "
Predazzo;21/12/2012;"-0,9";"-2,6";"1,4";"-3,4";"83";"0";"1";"0";"19";"0";"1013";"0";"neve "
Predazzo;22/12/2012;"-0,2";"-2,2";"2,3";"-4,1";"74";"0";"3";"0";"29";"0";"1018";"0";"neve "
Predazzo;23/12/2012;"0,8";"-1,4";"3,3";"-0,9";"88";"0";"1";"0";"26";"0";"1017";"0";"neve "
Predazzo;24/12/2012;"2,6";"0,2";"6,2";"0,4";"85";"0";"1";"0";"27";"0";"1020";"0";""
Predazzo;25/12/2012;"2";"0,6";"3,5";"1,8";"96";"0";"1";"0";"32";"0";"1019";"0";""
Predazzo;26/12/2012;"2,1";"0";"3,6";"1,6";"94";"0";"2";"0";"33";"0";"1015";"3,5";"pioggia "
Predazzo;27/12/2012;"-0,2";"-2,3";"1,4";"-2,1";"86";"0";"2";"0";"47";"0";"1017";"0";""
Predazzo;28/12/2012;"0,7";"-1,2";"4,1";"-3,7";"73";"0";"5";"0";"63";"0";"1021";"0";""
Predazzo;29/12/2012;"-0,7";"-2,6";"2,6";"-5,5";"70";"0";"1";"0";"15";"0";"1027";"0";""
Predazzo;30/12/2012;"-1,6";"-4,3";"2,5";"-5,8";"73";"0";"1";"0";"17";"0";"1023";"0";""
Predazzo;31/12/2012;"-1,8";"-4";"1,9";"-6";"73";"0";"1";"0";"16";"0";"1024";"0";""
