LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/1/2013;"-2,2";"-5,4";"1,5";"-6,4";"72";"0";"1";"0";"25";"0";"1017";"0";""
Predazzo;2/1/2013;"-0,9";"-2,2";"0,8";"-3,8";"80";"0";"2";"0";"21";"0";"1022";"5,5";"pioggia neve "
Predazzo;3/1/2013;"-0,9";"-3,7";"2,4";"-6,4";"66";"0";"4";"0";"29";"0";"1032";"0";""
Predazzo;4/1/2013;"1,7";"-0,3";"4,2";"-0,5";"85";"0";"5";"0";"39";"0";"1027";"0";""
Predazzo;5/1/2013;"3,4";"1,1";"6,9";"1,5";"87";"0";"6";"0";"51";"0";"1020";"0";""
Predazzo;6/1/2013;"3,6";"1,8";"7,2";"0,7";"81";"0";"5";"0";"52";"0";"1019";"0";""
Predazzo;7/1/2013;"2,5";"0,7";"6,2";"-1,8";"73";"0";"4";"0";"42";"0";"1020";"0";""
Predazzo;8/1/2013;"1,3";"-1";"4,4";"-3";"73";"0";"1";"0";"19";"0";"1024";"0";""
Predazzo;9/1/2013;"1,2";"-1,1";"4";"-3";"74";"0";"1";"0";"18";"0";"1020";"0";""
Predazzo;10/1/2013;"0,7";"-0,8";"3,5";"-2,5";"79";"0";"1";"0";"15";"0";"1012";"0";""
Predazzo;11/1/2013;"-0,2";"-1,7";"3,3";"-4,8";"73";"0";"2";"0";"24";"0";"1008";"0";""
Predazzo;12/1/2013;"-1,7";"-3,2";"0,2";"-6,5";"69";"0";"1";"0";"20";"0";"1015";"1,6";"pioggia neve "
Predazzo;13/1/2013;"-1,4";"-2,7";"-0";"-4,3";"80";"0";"2";"0";"22";"0";"1012";"2,4";"pioggia neve "
Predazzo;14/1/2013;"-1,5";"-2,3";"0,3";"-5,4";"75";"0";"2";"0";"27";"0";"1008";"9,4";"pioggia neve "
Predazzo;15/1/2013;"-2,3";"-3,3";"-0,7";"-5,6";"78";"0";"2";"0";"25";"0";"1007";"5,4";"pioggia neve "
Predazzo;16/1/2013;"-3,6";"-4,2";"-2,8";"-7,6";"73";"0";"5";"0";"40";"0";"999";"14,3";"pioggia neve "
Predazzo;17/1/2013;"-4,9";"-6";"-4,1";"-11,9";"58";"0";"7";"0";"47";"0";"1001";"6";"pioggia neve "
Predazzo;18/1/2013;"-5,1";"-7,3";"-1,6";"-13,6";"51";"0";"5";"0";"43";"0";"1002";"0";""
Predazzo;19/1/2013;"-5,8";"-9,3";"-2,4";"-11,1";"66";"0";"1";"0";"24";"0";"1001";"2,4";"pioggia neve "
Predazzo;20/1/2013;"-2";"-4";"-0,4";"-0,8";"99";"0";"1";"0";"22";"0";"998";"11,9";"pioggia neve "
Predazzo;21/1/2013;"0,2";"-1,4";"2,2";"0,7";"98";"0";"1";"0";"18";"0";"994";"4,5";"pioggia neve "
Predazzo;22/1/2013;"-0,8";"-2,8";"0,4";"-3,6";"81";"0";"3";"0";"29";"0";"1001";"10,2";"pioggia neve "
Predazzo;23/1/2013;"-2,7";"-5,6";"0,6";"-8,4";"65";"0";"2";"0";"16";"0";"1007";"0";"neve "
Predazzo;24/1/2013;"-3,3";"-5,7";"-0,7";"-9";"64";"0";"4";"0";"28";"0";"1002";"0";""
Predazzo;25/1/2013;"-4,1";"-6,3";"0,1";"-11,4";"57";"0";"3";"0";"34";"0";"1008";"0";""
Predazzo;26/1/2013;"-5,3";"-9,1";"-0,3";"-13,1";"54";"0";"2";"0";"19";"0";"1011";"0";""
Predazzo;27/1/2013;"-5";"-9,2";"-0,2";"-11,5";"60";"0";"2";"0";"18";"0";"1013";"0";"neve "
Predazzo;28/1/2013;"-2,8";"-4,8";"-0,1";"-4,8";"86";"0";"1";"0";"27";"0";"1015";"3,2";"pioggia neve "
Predazzo;29/1/2013;"-1,8";"-5,6";"2,6";"-5,7";"74";"0";"2";"0";"25";"0";"1021";"0";""
Predazzo;30/1/2013;"0,9";"-2,9";"5,5";"-1,6";"83";"0";"2";"0";"27";"0";"1017";"0";""
Predazzo;31/1/2013;"2,2";"-0,5";"7,2";"-3,3";"68";"0";"3";"0";"41";"0";"1017";"0";""
