LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/2/2016;"5,2";"2,9";"9,1";"2,8";"84";"0";"2";"0";"34";"0";"1020";"0";""
Predazzo;2/2/2016;"3,6";"1,9";"6,7";"1,5";"86";"0";"1";"0";"25";"0";"1023";"0";""
Predazzo;3/2/2016;"2,1";"0,1";"4,2";"-1";"81";"0";"3";"0";"62";"0";"1015";"5";"pioggia neve "
Predazzo;4/2/2016;"-0,2";"-3,4";"4,1";"-9,9";"48";"0";"4";"0";"58";"0";"1021";"0";""
Predazzo;5/2/2016;"0,7";"-2,7";"5,8";"-4,2";"70";"0";"2";"0";"37";"0";"1025";"0";""
Predazzo;6/2/2016;"0,8";"-2,7";"5,8";"-2,1";"82";"0";"2";"0";"30";"0";"1027";"0";""
Predazzo;7/2/2016;"1,1";"-0,1";"3,1";"1";"97";"0";"3";"0";"34";"0";"1017";"26,4";"pioggia neve "
Predazzo;8/2/2016;"2,1";"0,6";"4,3";"1,9";"96";"0";"2";"0";"34";"0";"1014";"9,7";"pioggia neve "
Predazzo;9/2/2016;"1";"0";"2,9";"0,5";"94";"0";"2";"0";"43";"0";"1008";"20,2";"pioggia neve "
Predazzo;10/2/2016;"-0,6";"-3,7";"2,1";"-7";"64";"0";"4";"0";"60";"0";"995";"7,3";"pioggia neve "
Predazzo;11/2/2016;"-3,8";"-7,8";"1,4";"-13,4";"47";"0";"3";"0";"25";"0";"1007";"0";""
Predazzo;12/2/2016;"-4,4";"-9,1";"-0,3";"-8,5";"74";"0";"3";"0";"26";"0";"1004";"4,2";"pioggia neve "
Predazzo;13/2/2016;"-1,2";"-5,3";"2,2";"-3,9";"82";"0";"4";"0";"30";"0";"996";"0";"neve "
Predazzo;14/2/2016;"-0,7";"-3,6";"1,4";"-1,9";"91";"0";"1";"0";"30";"0";"994";"5,9";"pioggia neve "
Predazzo;15/2/2016;"1";"-2,1";"3,9";"-2,3";"79";"0";"3";"0";"32";"0";"1005";"4,2";"pioggia neve "
Predazzo;16/2/2016;"1,1";"-0,7";"2,6";"-2";"79";"0";"4";"0";"41";"0";"1022";"6,4";"pioggia neve "
Predazzo;17/2/2016;"0,7";"-0,7";"2";"-0,2";"93";"0";"2";"0";"48";"0";"1019";"20";"pioggia neve "
Predazzo;18/2/2016;"1,4";"-1,4";"6,1";"-2,2";"78";"0";"2";"0";"19";"0";"1013";"0";""
Predazzo;19/2/2016;"0,7";"-1,3";"4,1";"-4,8";"67";"0";"3";"0";"32";"0";"1015";"6,3";"pioggia "
Predazzo;20/2/2016;"0,2";"-3,7";"4,9";"-6,8";"60";"0";"3";"0";"28";"0";"1023";"0";""
Predazzo;21/2/2016;"3";"-1,9";"8,2";"-1,3";"73";"0";"2";"0";"29";"0";"1019";"0";""
Predazzo;22/2/2016;"4,4";"1,3";"8,2";"2,6";"88";"0";"2";"0";"35";"0";"1017";"0";""
Predazzo;23/2/2016;"4";"2,5";"5,9";"3,5";"93";"0";"1";"0";"28";"0";"1010";"0";""
Predazzo;24/2/2016;"1,8";"-1,5";"5,5";"-5";"61";"0";"4";"0";"38";"0";"1014";"0";""
Predazzo;25/2/2016;"1,3";"-0,4";"3,6";"-1,5";"81";"0";"2";"0";"25";"0";"1010";"0";"neve "
Predazzo;26/2/2016;"1";"-1,1";"3,2";"-3,3";"73";"0";"3";"0";"26";"0";"1010";"3,7";"pioggia neve "
Predazzo;27/2/2016;"1,1";"-1";"2,8";"-1,2";"84";"0";"2";"0";"28";"0";"1010";"9,8";"pioggia neve "
Predazzo;28/2/2016;"1,5";"0,2";"2,3";"2";"99";"0";"4";"0";"64";"0";"1009";"39,1";"pioggia neve "
Predazzo;29/2/2016;"1,8";"0,5";"2,9";"2,1";"99";"0";"3";"0";"71";"0";"1005";"36,4";"pioggia neve "
