LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/3/2017;"2,2";"-1,1";"7,4";"-5,2";"60";"0";"5";"0";"51";"0";"1009";"4";"pioggia neve "
Predazzo;2/3/2017;"2,6";"-1,2";"8,7";"-2,1";"71";"0";"3";"0";"40";"0";"1014";"0";"neve "
Predazzo;3/3/2017;"3";"-1,5";"7,8";"-0,6";"77";"0";"4";"0";"44";"0";"1017";"0";"neve "
Predazzo;4/3/2017;"4,6";"2,8";"7,8";"2,9";"88";"0";"6";"0";"105";"0";"1007";"11,2";"pioggia neve "
Predazzo;5/3/2017;"3,7";"1,1";"7";"0,5";"80";"0";"4";"0";"53";"0";"1008";"2,5";"pioggia neve "
Predazzo;6/3/2017;"1,6";"-2,8";"5,6";"-2,5";"75";"0";"3";"0";"55";"0";"1005";"2,4";"pioggia neve "
Predazzo;7/3/2017;"3";"-0,5";"8,7";"-5,8";"54";"0";"11";"0";"95";"0";"1010";"0";""
Predazzo;8/3/2017;"1,8";"-2,2";"7,3";"-5,5";"59";"0";"4";"0";"55";"0";"1022";"0";""
Predazzo;9/3/2017;"3,6";"-1,3";"9,8";"1,3";"85";"0";"2";"0";"57";"0";"1019";"2,1";"pioggia neve "
Predazzo;10/3/2017;"4,3";"0";"10,7";"-4,3";"58";"0";"9";"0";"83";"0";"1020";"0";""
Predazzo;11/3/2017;"3,5";"-1,8";"10,3";"-7,7";"44";"0";"5";"0";"70";"0";"1019";"0";""
Predazzo;12/3/2017;"4,2";"-1,3";"10,8";"-1,6";"67";"0";"3";"0";"32";"0";"1015";"0";""
Predazzo;13/3/2017;"5";"0";"11,8";"0,1";"73";"0";"3";"0";"29";"0";"1022";"0";"neve "
Predazzo;14/3/2017;"5,7";"0,9";"12,2";"-3,5";"51";"0";"6";"0";"57";"0";"1027";"0";""
Predazzo;15/3/2017;"6,8";"2,6";"12,7";"-1,3";"56";"0";"7";"0";"51";"0";"1026";"0";""
Predazzo;16/3/2017;"7,3";"2,9";"14,6";"-2,1";"53";"0";"3";"0";"31";"0";"1022";"0";""
Predazzo;17/3/2017;"7,7";"2,6";"15";"0,8";"63";"0";"3";"0";"33";"0";"1015";"0";""
Predazzo;18/3/2017;"8,6";"4,5";"14,4";"4,2";"75";"0";"5";"0";"50";"0";"1008";"0";""
Predazzo;19/3/2017;"9,3";"6,4";"13,4";"4,1";"70";"0";"5";"0";"52";"0";"1010";"0";""
Predazzo;20/3/2017;"10,3";"5,8";"16,7";"5,5";"73";"0";"3";"0";"35";"0";"1010";"0";""
Predazzo;21/3/2017;"8,7";"6,6";"12";"7,3";"90";"0";"3";"0";"40";"0";"1010";"0,6";"pioggia "
Predazzo;22/3/2017;"7,9";"6,2";"10,9";"6,4";"90";"0";"4";"0";"42";"0";"1011";"4,2";"pioggia "
Predazzo;23/3/2017;"8";"5,2";"12,6";"5,3";"83";"0";"4";"0";"49";"0";"1017";"3,6";"pioggia "
Predazzo;24/3/2017;"8,5";"4,3";"14,3";"5,4";"81";"0";"2";"0";"39";"0";"1022";"0";""
Predazzo;25/3/2017;"8,9";"4,4";"15,5";"4,9";"78";"0";"2";"0";"28";"0";"1020";"0";""
Predazzo;26/3/2017;"7,9";"3,5";"14,4";"4,8";"82";"0";"2";"0";"34";"0";"1017";"8,5";"pioggia neve "
Predazzo;27/3/2017;"7,5";"3,7";"13,3";"4,5";"82";"0";"2";"0";"22";"0";"1023";"1,4";"pioggia neve "
Predazzo;28/3/2017;"8,9";"1,8";"16,9";"3,4";"70";"0";"2";"0";"26";"0";"1023";"0";""
Predazzo;29/3/2017;"10,6";"5,1";"17,5";"3";"62";"0";"5";"0";"45";"0";"1024";"0";""
Predazzo;30/3/2017;"10,7";"4,9";"17,8";"4";"65";"0";"3";"0";"33";"0";"1025";"0";""
Predazzo;31/3/2017;"10,9";"4,8";"18";"5,4";"72";"0";"5";"0";"45";"0";"1022";"0";""
