LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/9/2017;"14,3";"10,9";"16";"14,2";"97";"0";"3";"0";"64";"0";"1014";"23,4";"pioggia "
Predazzo;2/9/2017;"10,3";"8,1";"12,8";"9,3";"93";"0";"6";"0";"66";"0";"1012";"25,9";"pioggia "
Predazzo;3/9/2017;"10,7";"7,2";"16,1";"5,4";"72";"0";"7";"0";"65";"0";"1013";"0,6";"pioggia "
Predazzo;4/9/2017;"12,1";"6,3";"18,3";"6,6";"71";"0";"4";"0";"39";"0";"1017";"0,8";"pioggia "
Predazzo;5/9/2017;"14,1";"9,6";"20,6";"10,7";"81";"0";"3";"0";"39";"0";"1021";"0";""
Predazzo;6/9/2017;"15,1";"10,3";"21";"12,6";"85";"0";"3";"0";"30";"0";"1018";"1";"pioggia "
Predazzo;7/9/2017;"14,1";"10,6";"19,3";"11";"82";"0";"3";"0";"29";"0";"1014";"0";""
Predazzo;8/9/2017;"14,3";"10";"19,6";"11";"82";"0";"4";"0";"44";"0";"1013";"0";""
Predazzo;9/9/2017;"14,2";"11,2";"18,3";"12,5";"89";"0";"6";"0";"64";"0";"1006";"11,9";"pioggia "
Predazzo;10/9/2017;"11,3";"10,4";"12,1";"12,1";"99";"0";"4";"0";"59";"0";"1004";"39,8";"pioggia "
Predazzo;11/9/2017;"11,9";"10,5";"14,3";"13,2";"99";"0";"2";"0";"36";"0";"1003";"6,2";"pioggia "
Predazzo;12/9/2017;"10,1";"7,9";"12,2";"8,5";"88";"0";"5";"0";"49";"0";"1010";"17,6";"pioggia "
Predazzo;13/9/2017;"10,4";"6";"15";"7,6";"83";"0";"4";"0";"50";"0";"1017";"0";""
Predazzo;14/9/2017;"12,3";"9,4";"16,8";"11,5";"93";"0";"7";"0";"90";"0";"1012";"15,1";"pioggia "
Predazzo;15/9/2017;"9,3";"6,6";"12,1";"6,6";"83";"0";"4";"0";"41";"0";"1013";"2,3";"pioggia "
Predazzo;16/9/2017;"9,9";"8";"12,5";"9,9";"98";"0";"3";"0";"64";"0";"1009";"10,4";"pioggia "
Predazzo;17/9/2017;"9,1";"6";"12,9";"6,6";"85";"0";"3";"0";"38";"0";"1012";"4,9";"pioggia "
Predazzo;18/9/2017;"7,9";"4,6";"11,8";"5,8";"87";"0";"2";"0";"38";"0";"1015";"3,1";"pioggia "
Predazzo;19/9/2017;"7,3";"6";"8,8";"5";"85";"0";"9";"0";"69";"0";"1014";"10,3";"pioggia "
Predazzo;20/9/2017;"9,4";"4,9";"16,2";"2,3";"63";"0";"9";"0";"81";"0";"1018";"0";""
Predazzo;21/9/2017;"9,6";"4,3";"16,6";"3,6";"68";"0";"4";"0";"36";"0";"1019";"0";""
Predazzo;22/9/2017;"11,6";"6,1";"19";"5,8";"69";"0";"3";"0";"32";"0";"1020";"0";""
Predazzo;23/9/2017;"11,6";"7,9";"16,7";"9,2";"86";"0";"3";"0";"28";"0";"1020";"0,7";"pioggia "
Predazzo;24/9/2017;"9,8";"6,8";"14,4";"8,6";"90";"0";"3";"0";"40";"0";"1019";"13,8";"pioggia "
Predazzo;25/9/2017;"9,7";"5,5";"15";"7,3";"86";"0";"2";"0";"24";"0";"1020";"2,4";"pioggia "
Predazzo;26/9/2017;"10";"6,6";"15";"7,2";"84";"0";"1";"0";"23";"0";"1022";"0";""
Predazzo;27/9/2017;"10,5";"6,2";"15,6";"8";"86";"0";"1";"0";"20";"0";"1024";"0";""
Predazzo;28/9/2017;"11,4";"8,1";"16,1";"10,1";"90";"0";"1";"0";"19";"0";"1026";"0,5";"pioggia "
Predazzo;29/9/2017;"12";"9,3";"15,9";"11,7";"95";"0";"2";"0";"26";"0";"1024";"2,2";"pioggia "
Predazzo;30/9/2017;"11,6";"10";"14,3";"11,9";"98";"0";"2";"0";"34";"0";"1020";"3,2";"pioggia "
