LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/11/2018;"5,3";"4,8";"5,7";"5,5";"98";"0";"3";"0";"86";"0";"1019";"24,7";"pioggia "
Predazzo;2/11/2018;"6";"5,3";"7";"5,9";"98";"0";"3";"0";"40";"0";"1020";"9";"pioggia "
Predazzo;3/11/2018;"8";"6";"10,6";"7,8";"97";"0";"2";"0";"32";"0";"1022";"1,6";"pioggia "
Predazzo;4/11/2018;"9,4";"6,5";"13,6";"7,9";"89";"0";"4";"0";"57";"0";"1018";"6";"pioggia "
Predazzo;5/11/2018;"8,9";"7,5";"10,5";"8,7";"97";"0";"4";"0";"63";"0";"1016";"6,2";"pioggia "
Predazzo;6/11/2018;"8,8";"7,5";"10,6";"9";"99";"0";"3";"0";"52";"0";"1016";"7";"pioggia "
Predazzo;7/11/2018;"8,3";"7,1";"10,5";"7,6";"94";"0";"3";"0";"38";"0";"1017";"2,2";"pioggia "
Predazzo;8/11/2018;"8,1";"6,3";"11,4";"7,3";"94";"0";"2";"0";"30";"0";"1020";"0,9";"pioggia "
Predazzo;9/11/2018;"8,2";"6,9";"10,3";"7,8";"96";"0";"3";"0";"33";"0";"1018";"0";""
Predazzo;10/11/2018;"8,1";"5,5";"11";"6,9";"92";"0";"4";"0";"47";"0";"1015";"0";""
Predazzo;11/11/2018;"9";"7,4";"11,2";"8,1";"94";"0";"5";"0";"49";"0";"1019";"0,5";"pioggia "
Predazzo;12/11/2018;"8,7";"6,7";"12,2";"8";"95";"0";"3";"0";"47";"0";"1024";"0";""
Predazzo;13/11/2018;"8,2";"6,2";"11,4";"7,5";"94";"0";"2";"0";"33";"0";"1026";"0";""
Predazzo;14/11/2018;"7,1";"5,1";"11,9";"5,4";"88";"0";"2";"0";"21";"0";"1027";"0";""
Predazzo;15/11/2018;"6,1";"4,2";"10,4";"3,4";"83";"0";"1";"0";"14";"0";"1023";"0";""
Predazzo;16/11/2018;"4,4";"2,2";"7,1";"2,9";"90";"0";"2";"0";"23";"0";"1026";"0";""
Predazzo;17/11/2018;"1,7";"-0,9";"5,8";"-2,9";"72";"0";"2";"0";"29";"0";"1026";"0";""
Predazzo;18/11/2018;"1,1";"-1,2";"5,3";"-3,4";"74";"0";"2";"0";"27";"0";"1019";"0";""
Predazzo;19/11/2018;"-0,1";"-1,4";"1,9";"-3,4";"79";"0";"3";"0";"44";"0";"1011";"2,3";"pioggia neve "
Predazzo;20/11/2018;"0,9";"-0,4";"3,4";"-1,2";"86";"0";"2";"0";"32";"0";"1007";"5,3";"pioggia neve "
Predazzo;21/11/2018;"2,7";"0,1";"6";"1,8";"93";"0";"2";"0";"20";"0";"1012";"1,1";"pioggia neve "
Predazzo;22/11/2018;"3,4";"2,2";"5,5";"3,5";"98";"0";"1";"0";"19";"0";"1019";"0";"neve "
Predazzo;23/11/2018;"3,5";"2,4";"4,8";"2,8";"95";"0";"2";"0";"46";"0";"1022";"7,2";"pioggia neve "
Predazzo;24/11/2018;"3,8";"1";"5,5";"3,7";"96";"0";"3";"0";"58";"0";"1014";"14,4";"pioggia neve "
Predazzo;25/11/2018;"1,9";"-0";"4,3";"0,2";"88";"0";"1";"0";"24";"0";"1008";"0";"neve "
Predazzo;26/11/2018;"2,5";"1,3";"4,9";"0,5";"87";"0";"2";"0";"30";"0";"1001";"0";"neve "
Predazzo;27/11/2018;"0,8";"-2,6";"4,2";"-3,5";"72";"0";"8";"0";"61";"0";"1012";"0";"neve "
Predazzo;28/11/2018;"-1,8";"-5";"3,1";"-9,2";"58";"0";"3";"0";"43";"0";"1022";"0";""
Predazzo;29/11/2018;"-0,4";"-3,5";"4,6";"-8,8";"54";"0";"1";"0";"20";"0";"1022";"0";""
Predazzo;30/11/2018;"-0,6";"-2,6";"2,9";"-3,4";"81";"0";"1";"0";"24";"0";"1019";"0";""
