LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Predazzo;1/8/2024;"21,3";"15,9";"27,6";"17";"79";"0";"3";"0";"38";"0";"1015";"0,7";"pioggia "
Predazzo;2/8/2024;"19,5";"14,5";"26,2";"14,3";"74";"0";"5";"0";"36";"0";"1013";"0,5";"pioggia "
Predazzo;3/8/2024;"19,3";"13,4";"26,1";"12,2";"67";"0";"5";"0";"33";"0";"1013";"2,1";"pioggia "
Predazzo;4/8/2024;"20";"13,8";"26,6";"14,5";"74";"0";"4";"0";"39";"0";"1015";"1,3";"pioggia "
Predazzo;5/8/2024;"21";"14,5";"28";"15,9";"75";"0";"4";"0";"32";"0";"1015";"0,6";"pioggia "
Predazzo;6/8/2024;"21,5";"15,8";"28";"17,6";"80";"0";"4";"0";"33";"0";"1015";"2,8";"pioggia "
Predazzo;7/8/2024;"20";"15,1";"26,6";"17";"85";"0";"3";"0";"34";"0";"1016";"2";"pioggia "
Predazzo;8/8/2024;"19,9";"13";"27,3";"13,4";"70";"0";"4";"0";"35";"0";"1017";"0";""
Predazzo;9/8/2024;"21,4";"15";"28,7";"16,1";"75";"0";"5";"0";"34";"0";"1020";"0";""
Predazzo;10/8/2024;"22,5";"15,4";"30,1";"17,4";"76";"0";"3";"0";"38";"0";"1023";"0,8";"pioggia "
Predazzo;11/8/2024;"23,3";"17,5";"29,9";"18,9";"79";"0";"2";"0";"34";"0";"1023";"0";""
Predazzo;12/8/2024;"22,6";"17,3";"29,4";"17,5";"76";"0";"3";"0";"37";"0";"1018";"0";""
Predazzo;13/8/2024;"21,3";"15,6";"27,9";"16,8";"77";"0";"3";"0";"38";"0";"1016";"0,6";"pioggia "
Predazzo;14/8/2024;"20,7";"14,8";"27";"15,3";"74";"0";"5";"0";"44";"0";"1016";"0,7";"pioggia "
Predazzo;15/8/2024;"21,1";"14,4";"28,1";"14,5";"70";"0";"4";"0";"42";"0";"1019";"0";""
Predazzo;16/8/2024;"21,8";"15,9";"28,8";"16,2";"73";"0";"4";"0";"45";"0";"1019";"1,1";"pioggia "
Predazzo;17/8/2024;"20,5";"15,2";"26,9";"15,8";"77";"0";"3";"0";"37";"0";"1016";"6,3";"pioggia "
Predazzo;18/8/2024;"17,1";"14,8";"19,7";"16,2";"93";"0";"3";"0";"31";"0";"1011";"14,2";"pioggia "
Predazzo;19/8/2024;"16,3";"14,7";"18,7";"15,6";"93";"0";"5";"0";"43";"0";"1013";"5,8";"pioggia "
Predazzo;20/8/2024;"17,9";"14,5";"22,5";"15,4";"85";"0";"2";"0";"27";"0";"1014";"2,1";"pioggia "
Predazzo;21/8/2024;"19";"13,6";"25,5";"14,6";"77";"0";"4";"0";"25";"0";"1016";"3,8";"pioggia "
Predazzo;22/8/2024;"18,6";"15,2";"23,9";"16,6";"88";"0";"4";"0";"36";"0";"1017";"6";"pioggia "
Predazzo;23/8/2024;"20,9";"14,9";"28,3";"16,5";"78";"0";"4";"0";"37";"0";"1018";"0,7";"pioggia "
Predazzo;24/8/2024;"20,7";"15,9";"26,9";"16,6";"79";"0";"4";"0";"42";"0";"1020";"1,4";"pioggia "
Predazzo;25/8/2024;"19,9";"14,9";"26,9";"17";"84";"0";"3";"0";"29";"0";"1019";"5,1";"pioggia "
Predazzo;26/8/2024;"18,2";"14,4";"22,9";"15,8";"86";"0";"3";"0";"31";"0";"1020";"4,5";"pioggia "
Predazzo;27/8/2024;"18";"14";"23,5";"14,4";"80";"0";"2";"0";"37";"0";"1021";"5,3";"pioggia "
Predazzo;28/8/2024;"18,6";"13,6";"24,5";"15,1";"81";"0";"2";"0";"25";"0";"1022";"0,5";"pioggia "
Predazzo;29/8/2024;"18,7";"13,5";"25,7";"14,2";"77";"0";"2";"0";"25";"0";"1021";"0";""
Predazzo;30/8/2024;"19,5";"13,7";"26,9";"14,8";"77";"0";"3";"0";"31";"0";"1021";"0";""
Predazzo;31/8/2024;"19,5";"15,2";"25,2";"17,1";"86";"0";"2";"0";"33";"0";"1022";"12,6";"pioggia "
