LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/5/2001;"19,1";"11";"26,1";"12";"63";"11";"6";"11";"0";"0";"0";"0,8";""
Rovereto;2/5/2001;"19,7";"12";"27,4";"14,4";"71";"11";"4";"11";"0";"0";"0";"0";""
Rovereto;3/5/2001;"19,1";"15,6";"24,7";"15,2";"78";"12";"7";"15";"0";"0";"0";"4,1";"pioggia temporale "
Rovereto;4/5/2001;"15,8";"13,9";"22,4";"15,1";"96";"8";"8";"26";"44";"0";"0";"23,1";"pioggia temporale "
Rovereto;5/5/2001;"16,1";"12,9";"20";"14,1";"88";"10";"4";"11";"0";"0";"0";"9,9";"pioggia "
Rovereto;6/5/2001;"17,1";"12";"23,2";"14,6";"85";"10";"7";"17";"42";"0";"0";"6,1";"pioggia temporale "
Rovereto;7/5/2001;"17,7";"14,6";"23,9";"15,7";"88";"11";"4";"11";"0";"0";"0";"0,8";"pioggia "
Rovereto;8/5/2001;"17,8";"14";"25,1";"15,9";"89";"12";"5";"13";"0";"1016";"1008";"1";"pioggia temporale "
Rovereto;9/5/2001;"18,9";"14,5";"24";"15,5";"81";"10";"5";"11";"0";"0";"0";"0,8";"pioggia temporale "
Rovereto;10/5/2001;"18,4";"12,6";"25";"14,1";"76";"11";"9";"21";"0";"1016";"1008";"2";"temporale "
Rovereto;11/5/2001;"20,1";"13,7";"25,4";"11,2";"57";"13";"5";"9";"0";"0";"0";"0";""
Rovereto;12/5/2001;"20,7";"12,2";"27,2";"13,1";"62";"11";"5";"11";"0";"0";"0";"0";""
Rovereto;13/5/2001;"19,4";"14,6";"23,8";"13,3";"68";"11";"13";"26";"0";"0";"0";"0";""
Rovereto;14/5/2001;"18,4";"12,7";"24,9";"14,1";"76";"11";"10";"21";"0";"0";"0";"0";""
Rovereto;15/5/2001;"16,2";"12,9";"20,4";"14,9";"92";"11";"10";"24";"37";"0";"0";"0,5";"pioggia "
Rovereto;16/5/2001;"18,4";"14,7";"23,4";"14,8";"80";"11";"4";"9";"0";"1016";"1008";"0";""
Rovereto;17/5/2001;"19,2";"14,9";"24,3";"17,3";"89";"11";"18";"34";"37";"0";"0";"0";"pioggia temporale "
Rovereto;18/5/2001;"20,3";"15";"26,1";"15";"72";"15";"7";"15";"0";"0";"0";"0,5";""
Rovereto;19/5/2001;"18,8";"13,2";"24,2";"7,9";"49";"10";"9";"22";"0";"0";"0";"0";""
Rovereto;20/5/2001;"18,2";"11,8";"24";"11,1";"63";"13";"14";"28";"44";"1020";"1012";"0";""
Rovereto;21/5/2001;"14,3";"13";"15,6";"13,8";"97";"15";"7";"17";"0";"0";"0";"26,9";"pioggia "
Rovereto;22/5/2001;"16,7";"12,9";"23,2";"15,4";"92";"11";"4";"8";"0";"0";"0";"0,5";"pioggia "
Rovereto;23/5/2001;"20,7";"15,9";"25,2";"15,2";"71";"11";"14";"37";"0";"1018";"1010";"0";""
Rovereto;24/5/2001;"19,3";"13,1";"26,4";"15,4";"78";"10";"4";"9";"0";"1018";"1010";"0";""
Rovereto;25/5/2001;"21,1";"16,9";"27,3";"17";"77";"14";"5";"13";"0";"1014";"1006";"0,8";""
Rovereto;26/5/2001;"22,1";"14,5";"28";"15,4";"66";"11";"5";"9";"0";"0";"0";"0,8";""
Rovereto;27/5/2001;"23,4";"16,1";"30,5";"15,9";"63";"10";"5";"9";"0";"0";"0";"0";""
Rovereto;28/5/2001;"25,1";"17,2";"32";"18,8";"68";"10";"6";"9";"0";"0";"0";"0";""
Rovereto;29/5/2001;"27,1";"17,7";"32,4";"20,1";"66";"10";"4";"15";"0";"0";"0";"0";""
Rovereto;30/5/2001;"25,8";"18,4";"32";"20";"70";"10";"5";"9";"0";"0";"0";"0";""
Rovereto;31/5/2001;"24,8";"19,5";"30,2";"21,2";"80";"10";"8";"18";"0";"0";"0";"0";""
