LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/4/2002;"14,1";"9,3";"19,2";"5,1";"55";"10";"6";"11";"0";"0";"0";"0";""
Rovereto;2/4/2002;"12,2";"6";"18";"4,2";"58";"10";"7";"15";"0";"0";"0";"0";""
Rovereto;3/4/2002;"13,2";"5";"21";"4,4";"55";"11";"15";"37";"48";"0";"0";"0";""
Rovereto;4/4/2002;"14";"10";"18";"4,7";"53";"11";"24";"47";"65";"0";"0";"0";""
Rovereto;5/4/2002;"12,4";"6";"18,4";"6,2";"66";"11";"9";"28";"0";"0";"0";"0";"pioggia "
Rovereto;6/4/2002;"11,2";"8,8";"13,9";"7,6";"78";"11";"15";"28";"0";"0";"0";"0";""
Rovereto;7/4/2002;"9,7";"7,5";"12,4";"7,5";"86";"7";"10";"22";"0";"0";"0";"0";"pioggia "
Rovereto;8/4/2002;"8,8";"7,4";"10,3";"7,4";"91";"4";"10";"17";"0";"0";"0";"4,3";"pioggia "
Rovereto;9/4/2002;"7";"6,7";"7,6";"6,2";"95";"6";"14";"22";"0";"0";"0";"16";"pioggia "
Rovereto;10/4/2002;"8,6";"3,4";"13";"4,3";"74";"8";"7";"15";"0";"0";"0";"0,5";"nebbia "
Rovereto;11/4/2002;"7,8";"6,8";"9";"6,2";"90";"7";"12";"24";"0";"0";"0";"3,1";"pioggia "
Rovereto;12/4/2002;"9,4";"7,7";"11,1";"8,8";"96";"6";"10";"28";"0";"0";"0";"26,9";"pioggia "
Rovereto;13/4/2002;"11,3";"9,6";"15,2";"9,3";"87";"7";"10";"26";"0";"0";"0";"17";"pioggia temporale "
Rovereto;14/4/2002;"11,7";"7,7";"16";"8,9";"83";"10";"10";"24";"0";"0";"0";"5,1";""
Rovereto;15/4/2002;"11,6";"10";"14";"9,3";"86";"9";"4";"9";"0";"0";"0";"1";"pioggia "
Rovereto;16/4/2002;"10,8";"9,9";"12,3";"8,9";"88";"8";"3";"13";"0";"0";"0";"1";"pioggia "
Rovereto;17/4/2002;"11,2";"9";"14,4";"7,7";"79";"9";"3";"8";"0";"0";"0";"9,9";"pioggia "
Rovereto;18/4/2002;"12,7";"5,7";"18";"6,4";"65";"10";"5";"18";"0";"0";"0";"0";""
Rovereto;19/4/2002;"13,5";"8";"18";"8,7";"73";"10";"7";"21";"29";"0";"0";"0";"pioggia temporale "
Rovereto;20/4/2002;"10,7";"10";"12";"9,2";"90";"10";"7";"15";"0";"0";"0";"13";"pioggia temporale "
Rovereto;21/4/2002;"14,8";"10,2";"20";"7,7";"62";"11";"9";"21";"0";"0";"0";"4,1";""
Rovereto;22/4/2002;"14,8";"8,3";"20";"9";"68";"11";"6";"11";"0";"0";"0";"0";""
Rovereto;23/4/2002;"15,3";"9,8";"20";"8,4";"63";"11";"6";"11";"0";"0";"0";"0";""
Rovereto;24/4/2002;"15,2";"10,5";"20";"9,9";"71";"10";"12";"29";"0";"0";"0";"0";""
Rovereto;25/4/2002;"15,8";"12,2";"19,3";"10,7";"72";"10";"5";"11";"0";"0";"0";"0";""
Rovereto;26/4/2002;"17,3";"9,6";"23";"9,5";"60";"11";"5";"11";"0";"0";"0";"0";""
Rovereto;27/4/2002;"14,6";"11";"18,2";"11,8";"83";"8";"13";"35";"0";"0";"0";"5,1";"pioggia temporale "
Rovereto;28/4/2002;"13,8";"9";"18";"7,7";"67";"12";"9";"24";"0";"0";"0";"0";""
Rovereto;29/4/2002;"14,8";"11,8";"17,8";"11,1";"78";"12";"4";"9";"0";"0";"0";"0";""
Rovereto;30/4/2002;"15,4";"10";"19,4";"10,7";"74";"10";"6";"11";"0";"0";"0";"0";""
