LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/2/2002;"5,4";"3";"9,2";"4,2";"92";"3";"6";"15";"0";"0";"0";"0";"nebbia "
Rovereto;2/2/2002;"4,8";"3,6";"8,1";"3,9";"94";"1";"7";"11";"0";"0";"0";"0";"nebbia "
Rovereto;3/2/2002;"3,2";"1,8";"5,3";"2,1";"92";"1";"5";"11";"0";"0";"0";"0";"nebbia "
Rovereto;4/2/2002;"3,1";"2,7";"4";"1,9";"92";"1";"3";"8";"0";"0";"0";"0";"nebbia "
Rovereto;5/2/2002;"3,8";"2";"6,4";"2,9";"94";"2";"8";"13";"0";"0";"0";"0";"pioggia nebbia "
Rovereto;6/2/2002;"5,5";"2,9";"7";"4,9";"96";"5";"22";"47";"0";"0";"0";"11,9";"pioggia nebbia "
Rovereto;7/2/2002;"7,2";"5";"9";"6,4";"95";"11";"12";"31";"0";"0";"0";"10,9";"pioggia "
Rovereto;8/2/2002;"5,8";"2";"12";"4,6";"92";"10";"5";"17";"0";"0";"0";"0";""
Rovereto;9/2/2002;"7,3";"3,6";"12";"6,3";"93";"5";"4";"11";"0";"0";"0";"0";"nebbia "
Rovereto;10/2/2002;"9,3";"6";"13,4";"7,4";"88";"2";"6";"21";"0";"0";"0";"0";"nebbia "
Rovereto;11/2/2002;"5,8";"4,8";"8,2";"5,2";"96";"0";"3";"8";"0";"0";"0";"0";"nebbia "
Rovereto;12/2/2002;"5,7";"5";"7";"4,6";"93";"1";"3";"8";"0";"0";"0";"0";"nebbia "
Rovereto;13/2/2002;"6";"5,8";"6,5";"5,2";"95";"3";"5";"13";"0";"0";"0";"0";""
Rovereto;14/2/2002;"7,2";"5,7";"8,6";"6,1";"93";"6";"15";"39";"55";"0";"0";"0,8";"pioggia "
Rovereto;15/2/2002;"6,4";"5";"7,5";"5,2";"92";"10";"39";"50";"74";"0";"0";"7,1";"pioggia "
Rovereto;16/2/2002;"5,9";"5";"7";"5,3";"96";"9";"18";"29";"47";"0";"0";"13,7";"pioggia "
Rovereto;17/2/2002;"5,6";"3,8";"7";"5,3";"98";"3";"3";"8";"0";"0";"0";"3,1";"pioggia nebbia "
Rovereto;18/2/2002;"7,1";"5";"10";"5,8";"91";"5";"6";"13";"0";"0";"0";"0";""
Rovereto;19/2/2002;"5,7";"3";"10";"4,4";"91";"3";"4";"11";"0";"0";"0";"0";"nebbia "
Rovereto;20/2/2002;"5,9";"2,8";"10,2";"4,1";"88";"4";"4";"15";"0";"0";"0";"0";"nebbia "
Rovereto;21/2/2002;"6,2";"3,9";"9,4";"4,7";"90";"4";"4";"15";"0";"0";"0";"0";"pioggia "
Rovereto;22/2/2002;"5,6";"2";"8,1";"-4,9";"47";"11";"6";"17";"0";"0";"0";"0";""
Rovereto;23/2/2002;"5,4";"1";"9,5";"1,6";"76";"11";"5";"11";"0";"0";"0";"0";""
Rovereto;24/2/2002;"5,8";"2";"12";"-5,3";"45";"9";"9";"26";"50";"0";"0";"0";""
Rovereto;25/2/2002;"6,3";"1";"11,3";"-3,5";"49";"11";"7";"15";"0";"0";"0";"0";""
Rovereto;26/2/2002;"5,7";"3";"8,2";"2,5";"80";"10";"4";"11";"0";"0";"0";"0";""
Rovereto;27/2/2002;"6,9";"5,8";"8,1";"6,3";"96";"4";"3";"8";"0";"0";"0";"0,8";"pioggia "
Rovereto;28/2/2002;"7,9";"6";"11,2";"6,6";"91";"3";"3";"9";"0";"0";"0";"0";"pioggia "
