LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/7/2007;"26,1";"19,4";"32,4";"17,2";"58";"11";"8";"13";"0";"1016";"0";"0";""
Rovereto;2/7/2007;"24,1";"19";"30,2";"20,5";"80";"11";"8";"18";"0";"1012";"0";"8,9";"pioggia temporale "
Rovereto;3/7/2007;"23,3";"17,8";"29,2";"16,5";"66";"11";"5";"13";"0";"1010";"0";"0";""
Rovereto;4/7/2007;"22,3";"14";"29,8";"14";"59";"11";"13";"39";"65";"1006";"0";"1";"pioggia temporale "
Rovereto;5/7/2007;"21,1";"12,4";"28,8";"9,1";"46";"11";"10";"21";"48";"1011";"0";"0";"pioggia "
Rovereto;6/7/2007;"23,5";"13,8";"31,2";"11,3";"46";"10";"9";"21";"39";"1013";"0";"0";""
Rovereto;7/7/2007;"25,3";"16,6";"32";"15,2";"54";"10";"5";"13";"0";"1013";"0";"0";""
Rovereto;8/7/2007;"26,9";"18";"33,4";"16,3";"52";"11";"5";"11";"0";"1016";"0";"0";""
Rovereto;9/7/2007;"24,4";"20";"31";"19,1";"72";"11";"8";"26";"39";"1014";"0";"0";"pioggia temporale "
Rovereto;10/7/2007;"21,4";"15";"27,6";"8,6";"44";"11";"13";"28";"0";"1006";"0";"0,8";"pioggia temporale "
Rovereto;11/7/2007;"19,4";"12,6";"25,8";"10,8";"57";"11";"7";"17";"28";"1012";"0";"3,1";"pioggia "
Rovereto;12/7/2007;"22,3";"14,6";"29,4";"11,2";"49";"11";"8";"15";"0";"1015";"0";"0";""
Rovereto;13/7/2007;"24,8";"15";"31,4";"14,7";"53";"10";"4";"13";"24";"1018";"0";"0";""
Rovereto;14/7/2007;"25,9";"17,4";"33,6";"16,5";"56";"10";"6";"11";"0";"1020";"0";"0";""
Rovereto;15/7/2007;"27,9";"18,6";"36,2";"17";"52";"10";"5";"11";"0";"1021";"0";"0";""
Rovereto;16/7/2007;"28,9";"20";"37,3";"16,3";"47";"11";"5";"11";"0";"1020";"0";"0";""
Rovereto;17/7/2007;"28,9";"20";"37,2";"18,1";"52";"10";"6";"11";"0";"1018";"0";"0";""
Rovereto;18/7/2007;"29,9";"20,8";"37";"15,8";"43";"10";"5";"11";"0";"1017";"0";"0";""
Rovereto;19/7/2007;"30,7";"23";"37,6";"17,9";"46";"10";"7";"11";"0";"1015";"0";"0";""
Rovereto;20/7/2007;"30,4";"21,6";"38,2";"16,1";"42";"11";"5";"11";"0";"1013";"0";"0";""
Rovereto;21/7/2007;"29,4";"20";"36,6";"15,3";"42";"11";"5";"9";"0";"1013";"0";"0";""
Rovereto;22/7/2007;"26,8";"18,6";"33,1";"16,8";"54";"11";"11";"22";"0";"1011";"0";"0";""
Rovereto;23/7/2007;"27,3";"18,2";"34,8";"15,7";"49";"11";"5";"11";"0";"1010";"0";"0";""
Rovereto;24/7/2007;"26,7";"20,7";"33";"18,2";"60";"11";"11";"26";"0";"1005";"0";"0";"temporale "
Rovereto;25/7/2007;"26,6";"17,2";"32,8";"15,1";"49";"11";"9";"18";"0";"1010";"0";"0";""
Rovereto;26/7/2007;"27,1";"18,4";"33,2";"15,3";"48";"11";"8";"21";"0";"1014";"0";"0";""
Rovereto;27/7/2007;"28,5";"19,6";"35,4";"17,3";"51";"10";"5";"13";"0";"1013";"0";"0";""
Rovereto;28/7/2007;"29,4";"21,6";"35,8";"19,3";"55";"11";"7";"15";"0";"1014";"0";"0";""
Rovereto;29/7/2007;"29,1";"24,8";"33,6";"19,3";"56";"11";"11";"28";"0";"1012";"0";"0";""
Rovereto;30/7/2007;"25,7";"19,6";"34,8";"19,9";"70";"11";"17";"54";"81";"1007";"0";"0";""
Rovereto;31/7/2007;"22,7";"17,8";"27,6";"7,5";"38";"11";"13";"26";"0";"1014";"0";"0";""
