LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/3/2010;"7";"6";"13";"6";"90";"6";"5";"10";"0";"997";"0";"0";"nebbia "
Rovereto;2/3/2010;"9";"4";"14";"6";"84";"4";"5";"8";"0";"1019";"0";"0";""
Rovereto;3/3/2010;"7";"3";"10";"5";"92";"4";"12";"21";"0";"1018";"0";"0";"pioggia "
Rovereto;4/3/2010;"6";"5";"8";"6";"97";"8";"11";"22";"27";"1007";"0";"0";"pioggia "
Rovereto;5/3/2010;"4";"-1";"5";"3";"91";"9";"8";"14";"0";"1015";"0";"0";"pioggia "
Rovereto;6/3/2010;"2";"-4";"7";"2";"63";"7";"8";"16";"0";"1017";"0";"0";"nebbia "
Rovereto;7/3/2010;"3";"1";"7";"0";"43";"11";"17";"33";"0";"1021";"0";"0";""
Rovereto;8/3/2010;"1";"-2";"5";"0";"37";"10";"9";"14";"0";"1018";"0";"0";""
Rovereto;9/3/2010;"1";"-2";"4";"0";"46";"8";"18";"35";"52";"1012";"0";"0";"neve "
Rovereto;10/3/2010;"0";"-1";"1";"1";"98";"3";"7";"23";"0";"1011";"0";"0";"neve nebbia "
Rovereto;11/3/2010;"2";"-1";"5";"1";"83";"5";"5";"12";"0";"1011";"0";"0";"neve "
Rovereto;12/3/2010;"2";"-3";"8";"2";"86";"3";"5";"10";"0";"1015";"0";"0";"nebbia "
Rovereto;13/3/2010;"4";"-1";"10";"3";"81";"2";"5";"9";"0";"1019";"0";"0";"nebbia "
Rovereto;14/3/2010;"5";"-1";"12";"3";"81";"2";"5";"10";"0";"1019";"0";"0";""
Rovereto;15/3/2010;"7";"0";"14";"3";"61";"5";"8";"15";"0";"1019";"0";"0";"nebbia "
Rovereto;16/3/2010;"8";"0";"16";"4";"52";"10";"6";"13";"0";"1021";"0";"0";""
Rovereto;17/3/2010;"7";"0";"14";"4";"73";"5";"4";"10";"0";"1028";"0";"0";"neve "
Rovereto;18/3/2010;"9";"4";"15";"6";"80";"5";"4";"8";"0";"1030";"0";"0";""
Rovereto;19/3/2010;"9";"4";"14";"5";"79";"6";"5";"14";"0";"1029";"0";"0";""
Rovereto;20/3/2010;"11";"8";"13";"9";"93";"5";"3";"6";"0";"1026";"0";"0";""
Rovereto;21/3/2010;"11";"9";"12";"10";"98";"2";"3";"8";"0";"1024";"0";"0";"pioggia nebbia "
Rovereto;22/3/2010;"12";"8";"14";"11";"99";"2";"3";"6";"0";"1022";"0";"0";"pioggia nebbia "
Rovereto;23/3/2010;"12";"9";"15";"12";"99";"2";"4";"8";"0";"1020";"0";"0";"pioggia nebbia "
Rovereto;24/3/2010;"12";"6";"18";"9";"84";"5";"4";"9";"0";"1018";"0";"0";"nebbia "
Rovereto;25/3/2010;"13";"7";"19";"9";"79";"8";"5";"9";"0";"1018";"0";"0";"pioggia "
Rovereto;26/3/2010;"13";"9";"15";"12";"96";"7";"12";"22";"0";"1015";"0";"0";"pioggia "
Rovereto;27/3/2010;"12";"5";"18";"6";"69";"11";"7";"13";"0";"1010";"0";"0";""
Rovereto;28/3/2010;"12";"4";"20";"4";"60";"11";"5";"10";"0";"1011";"0";"0";""
Rovereto;29/3/2010;"12";"6";"17";"6";"73";"7";"4";"8";"0";"1013";"0";"0";""
Rovereto;30/3/2010;"13";"10";"15";"10";"86";"8";"14";"24";"0";"1005";"0";"0";"pioggia temporale "
Rovereto;31/3/2010;"11";"6";"16";"6";"72";"10";"8";"17";"0";"1004";"0";"0";""
