LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/12/2012;"7";"6";"9";"4";"80";"10";"11";"24";"0";"1010";"0";"0";"pioggia "
Rovereto;2/12/2012;"6";"3";"7";"4";"88";"6";"9";"24";"0";"1009";"0";"0";"pioggia "
Rovereto;3/12/2012;"5";"1";"9";"2";"62";"12";"11";"20";"0";"1014";"0";"0";""
Rovereto;4/12/2012;"3";"0";"6";"1";"78";"10";"10";"24";"0";"1005";"0";"0";""
Rovereto;5/12/2012;"2";"-1";"6";"1";"82";"12";"7";"11";"0";"1003";"0";"0";""
Rovereto;6/12/2012;"2";"-1";"8";"1";"77";"11";"9";"20";"0";"1010";"0";"0";""
Rovereto;7/12/2012;"1";"-2";"5";"0";"69";"7";"12";"28";"0";"1011";"0";"0";"neve nebbia "
Rovereto;8/12/2012;"0";"-3";"3";"0";"92";"3";"9";"26";"0";"1008";"0";"0";"nebbia "
Rovereto;9/12/2012;"-1";"-5";"6";"0";"81";"6";"5";"11";"0";"1018";"0";"0";"nebbia "
Rovereto;10/12/2012;"-1";"-4";"5";"0";"76";"7";"6";"13";"0";"1010";"0";"0";""
Rovereto;11/12/2012;"2";"-3";"7";"0";"60";"17";"8";"24";"54";"1013";"0";"0";""
Rovereto;12/12/2012;"1";"-3";"6";"0";"57";"14";"7";"15";"0";"1020";"0";"0";""
Rovereto;13/12/2012;"0";"-4";"3";"0";"73";"9";"6";"11";"0";"1022";"0";"0";"neve nebbia "
Rovereto;14/12/2012;"1";"0";"1";"0";"95";"1";"3";"6";"0";"1020";"0";"0";"pioggia neve nebbia "
Rovereto;15/12/2012;"1";"1";"3";"1";"94";"1";"8";"17";"0";"1013";"0";"0";"pioggia nebbia "
Rovereto;16/12/2012;"2";"0";"3";"2";"96";"1";"6";"11";"0";"1015";"0";"0";"nebbia "
Rovereto;17/12/2012;"3";"1";"6";"2";"94";"1";"8";"15";"0";"1012";"0";"0";"nebbia "
Rovereto;18/12/2012;"2";"0";"5";"2";"95";"1";"6";"11";"0";"1012";"0";"0";"nebbia "
Rovereto;19/12/2012;"0";"-2";"6";"2";"91";"1";"6";"11";"0";"1020";"0";"0";"nebbia "
Rovereto;20/12/2012;"0";"-4";"4";"1";"90";"2";"4";"9";"0";"1020";"0";"0";"pioggia nebbia "
Rovereto;21/12/2012;"2";"0";"4";"1";"89";"2";"3";"6";"0";"1015";"0";"0";"pioggia nebbia "
Rovereto;22/12/2012;"0";"-1";"1";"0";"95";"0";"5";"9";"0";"1020";"0";"0";"nebbia "
Rovereto;23/12/2012;"0";"0";"1";"1";"94";"0";"5";"13";"0";"1020";"0";"0";"nebbia "
Rovereto;24/12/2012;"2";"-2";"5";"2";"88";"2";"4";"7";"0";"1023";"0";"0";"nebbia "
Rovereto;25/12/2012;"6";"5";"7";"4";"86";"2";"3";"6";"0";"1021";"0";"0";"nebbia "
Rovereto;26/12/2012;"6";"5";"7";"5";"90";"1";"8";"20";"0";"1017";"0";"0";"pioggia nebbia "
Rovereto;27/12/2012;"6";"5";"7";"4";"87";"4";"5";"9";"0";"1018";"0";"0";"pioggia nebbia "
Rovereto;28/12/2012;"6";"3";"11";"3";"81";"5";"9";"26";"0";"1021";"0";"0";"nebbia "
Rovereto;29/12/2012;"4";"0";"10";"2";"79";"5";"6";"11";"0";"1028";"0";"0";"nebbia "
Rovereto;30/12/2012;"2";"-2";"10";"2";"79";"8";"6";"13";"0";"1024";"0";"0";""
Rovereto;31/12/2012;"3";"-1";"11";"1";"76";"8";"5";"13";"0";"1026";"0";"0";""
