LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/8/2018;"30";"24";"35";"21";"59";"21";"6";"13";"0";"1014";"0";"0";""
Rovereto;2/8/2018;"27";"21";"31";"21";"71";"20";"7";"13";"0";"1016";"0";"0";"pioggia temporale "
Rovereto;3/8/2018;"28";"23";"33";"20";"64";"19";"6";"13";"0";"1017";"0";"0";""
Rovereto;4/8/2018;"28";"23";"33";"20";"62";"20";"7";"17";"0";"1015";"0";"0";""
Rovereto;5/8/2018;"29";"23";"35";"20";"61";"20";"5";"11";"0";"1015";"0";"0";""
Rovereto;6/8/2018;"30";"25";"34";"20";"58";"20";"6";"9";"0";"1015";"0";"0";""
Rovereto;7/8/2018;"28";"22";"34";"19";"59";"20";"6";"17";"0";"1014";"0";"0";""
Rovereto;8/8/2018;"27";"22";"33";"20";"65";"19";"7";"21";"0";"1014";"0";"0";""
Rovereto;9/8/2018;"27";"21";"33";"19";"65";"20";"8";"35";"0";"1016";"0";"0";"pioggia temporale "
Rovereto;10/8/2018;"25";"19";"32";"18";"69";"23";"7";"15";"0";"1018";"0";"0";""
Rovereto;11/8/2018;"27";"21";"32";"19";"64";"19";"7";"11";"0";"1017";"0";"0";""
Rovereto;12/8/2018;"27";"23";"31";"17";"57";"21";"11";"21";"0";"1017";"0";"0";""
Rovereto;13/8/2018;"25";"20";"32";"18";"67";"19";"8";"21";"0";"1012";"0";"0";"pioggia temporale "
Rovereto;14/8/2018;"21";"20";"24";"19";"87";"15";"6";"18";"0";"1012";"0";"0";"pioggia temporale "
Rovereto;15/8/2018;"25";"19";"31";"15";"60";"21";"8";"15";"0";"1016";"0";"0";""
Rovereto;16/8/2018;"25";"21";"30";"15";"54";"20";"7";"11";"0";"1016";"0";"0";""
Rovereto;17/8/2018;"25";"18";"31";"15";"55";"20";"7";"13";"0";"1014";"0";"0";""
Rovereto;18/8/2018;"26";"19";"33";"16";"56";"18";"7";"15";"0";"1016";"0";"0";""
Rovereto;19/8/2018;"28";"21";"33";"16";"50";"20";"9";"17";"0";"1017";"0";"0";""
Rovereto;20/8/2018;"30";"24";"34";"15";"40";"19";"8";"15";"0";"1015";"0";"0";""
Rovereto;21/8/2018;"28";"21";"34";"16";"48";"18";"7";"17";"0";"1015";"0";"0";"pioggia temporale "
Rovereto;22/8/2018;"27";"19";"34";"16";"52";"21";"8";"15";"0";"1016";"0";"0";""
Rovereto;23/8/2018;"27";"20";"33";"16";"55";"20";"6";"11";"0";"1013";"0";"0";""
Rovereto;24/8/2018;"26";"19";"33";"17";"59";"17";"9";"21";"0";"1009";"0";"0";""
Rovereto;25/8/2018;"21";"18";"26";"18";"81";"16";"10";"22";"0";"1007";"0";"0";"pioggia temporale "
Rovereto;26/8/2018;"19";"15";"23";"12";"64";"21";"11";"35";"0";"1010";"0";"0";"pioggia "
Rovereto;27/8/2018;"19";"13";"26";"11";"61";"19";"6";"11";"0";"1016";"0";"0";""
Rovereto;28/8/2018;"21";"13";"30";"12";"58";"19";"5";"11";"0";"1018";"0";"0";""
Rovereto;29/8/2018;"23";"16";"30";"13";"53";"20";"6";"13";"0";"1016";"0";"0";""
Rovereto;30/8/2018;"24";"18";"30";"15";"58";"20";"7";"11";"0";"1014";"0";"0";""
Rovereto;31/8/2018;"22";"19";"26";"17";"71";"17";"13";"21";"0";"1014";"0";"0";"pioggia temporale "
