LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/1/2019;"3";"-1";"6";"3";"91";"7";"8";"17";"0";"1026";"0";"0";"nebbia "
Rovereto;2/1/2019;"2";"-3";"6";"2";"89";"7";"7";"17";"0";"1020";"0";"0";"nebbia "
Rovereto;3/1/2019;"3";"-4";"8";"0";"49";"20";"9";"22";"0";"1026";"0";"0";""
Rovereto;4/1/2019;"-1";"-6";"5";"0";"63";"20";"5";"13";"0";"1028";"0";"0";""
Rovereto;5/1/2019;"-1";"-5";"5";"0";"77";"19";"6";"15";"0";"1021";"0";"0";""
Rovereto;6/1/2019;"1";"-5";"12";"2";"78";"11";"6";"11";"0";"1019";"0";"0";""
Rovereto;7/1/2019;"2";"-4";"10";"3";"84";"16";"6";"11";"0";"1026";"0";"0";""
Rovereto;8/1/2019;"1";"-1";"3";"1";"97";"6";"4";"9";"0";"1017";"0";"0";"nebbia "
Rovereto;9/1/2019;"1";"-2";"7";"1";"91";"5";"8";"24";"0";"1006";"0";"0";"nebbia "
Rovereto;10/1/2019;"6";"0";"10";"0";"37";"21";"16";"28";"0";"1011";"0";"0";""
Rovereto;11/1/2019;"1";"-4";"7";"0";"71";"19";"6";"11";"0";"1019";"0";"0";""
Rovereto;12/1/2019;"0";"-4";"3";"0";"85";"13";"5";"13";"0";"1018";"0";"0";""
Rovereto;13/1/2019;"1";"-4";"7";"0";"78";"21";"4";"8";"0";"1010";"0";"0";""
Rovereto;14/1/2019;"4";"-4";"11";"1";"66";"20";"12";"28";"0";"1004";"0";"0";""
Rovereto;15/1/2019;"4";"-3";"13";"0";"58";"21";"9";"17";"0";"1016";"0";"0";""
Rovereto;16/1/2019;"3";"-3";"10";"2";"69";"21";"5";"11";"0";"1019";"0";"0";""
Rovereto;17/1/2019;"5";"3";"7";"3";"88";"12";"8";"100";"0";"1014";"0";"0";"pioggia "
Rovereto;18/1/2019;"6";"5";"8";"4";"84";"11";"14";"24";"0";"1012";"0";"0";"pioggia "
Rovereto;19/1/2019;"4";"0";"7";"0";"60";"20";"10";"17";"0";"1016";"0";"0";""
Rovereto;20/1/2019;"1";"-1";"6";"1";"83";"20";"5";"11";"0";"1015";"0";"0";""
Rovereto;21/1/2019;"1";"-2";"6";"2";"73";"21";"5";"11";"0";"1017";"0";"0";""
Rovereto;22/1/2019;"2";"-3";"7";"0";"66";"19";"21";"100";"0";"1008";"0";"0";""
Rovereto;23/1/2019;"2";"0";"4";"0";"82";"14";"10";"17";"0";"998";"0";"0";"pioggia "
Rovereto;24/1/2019;"3";"0";"9";"0";"69";"21";"6";"9";"0";"1000";"0";"0";""
Rovereto;25/1/2019;"1";"-4";"7";"0";"69";"20";"7";"13";"0";"1007";"0";"0";""
Rovereto;26/1/2019;"-2";"-7";"4";"0";"85";"8";"4";"8";"0";"1010";"0";"0";"nebbia "
Rovereto;27/1/2019;"1";"-4";"3";"2";"89";"11";"6";"11";"0";"1002";"0";"0";"pioggia "
Rovereto;28/1/2019;"3";"0";"5";"2";"93";"7";"9";"21";"0";"996";"0";"0";"pioggia "
Rovereto;29/1/2019;"2";"-3";"8";"2";"84";"20";"6";"13";"0";"1005";"0";"0";"nebbia "
Rovereto;30/1/2019;"3";"0";"7";"2";"72";"20";"9";"15";"0";"1000";"0";"0";"pioggia "
Rovereto;31/1/2019;"3";"0";"7";"2";"91";"10";"6";"11";"0";"1003";"0";"0";"pioggia nebbia "
