LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/6/2019;"21";"13";"27";"12";"57";"22";"10";"18";"0";"1020";"0";"0";""
Rovereto;2/6/2019;"23";"14";"29";"13";"56";"20";"7";"13";"0";"1017";"0";"0";""
Rovereto;3/6/2019;"25";"17";"31";"15";"58";"19";"6";"9";"0";"1015";"0";"0";""
Rovereto;4/6/2019;"25";"18";"31";"16";"60";"20";"6";"11";"0";"1012";"0";"0";""
Rovereto;5/6/2019;"24";"18";"30";"17";"68";"12";"8";"18";"0";"1009";"0";"0";""
Rovereto;6/6/2019;"21";"17";"25";"17";"78";"11";"9";"18";"0";"1012";"0";"0";"pioggia temporale "
Rovereto;7/6/2019;"21";"14";"27";"14";"68";"19";"8";"15";"0";"1016";"0";"0";""
Rovereto;8/6/2019;"24";"17";"29";"15";"60";"21";"5";"11";"0";"1019";"0";"0";""
Rovereto;9/6/2019;"24";"17";"30";"16";"62";"19";"8";"17";"0";"1020";"0";"0";""
Rovereto;10/6/2019;"25";"20";"30";"17";"60";"20";"14";"26";"0";"1012";"0";"0";""
Rovereto;11/6/2019;"27";"21";"30";"16";"53";"18";"13";"22";"0";"1008";"0";"0";""
Rovereto;12/6/2019;"26";"22";"31";"15";"51";"21";"13";"21";"0";"1009";"0";"0";""
Rovereto;13/6/2019;"24";"17";"29";"9";"40";"20";"9";"17";"0";"1014";"0";"0";""
Rovereto;14/6/2019;"24";"15";"31";"11";"44";"21";"10";"21";"0";"1017";"0";"0";""
Rovereto;15/6/2019;"26";"19";"31";"15";"53";"20";"9";"21";"0";"1013";"0";"0";""
Rovereto;16/6/2019;"26";"20";"32";"14";"53";"20";"12";"21";"0";"1013";"0";"0";""
Rovereto;17/6/2019;"25";"18";"31";"14";"52";"20";"11";"26";"0";"1015";"0";"0";""
Rovereto;18/6/2019;"26";"19";"31";"16";"56";"20";"6";"9";"0";"1015";"0";"0";""
Rovereto;19/6/2019;"27";"22";"33";"16";"53";"20";"9";"22";"0";"1012";"0";"0";""
Rovereto;20/6/2019;"26";"20";"32";"15";"54";"20";"9";"17";"0";"1011";"0";"0";""
Rovereto;21/6/2019;"26";"19";"32";"15";"51";"21";"6";"11";"0";"1014";"0";"0";""
Rovereto;22/6/2019;"24";"19";"26";"15";"60";"19";"10";"21";"0";"1014";"0";"0";"pioggia temporale "
Rovereto;23/6/2019;"24";"16";"31";"15";"59";"21";"7";"15";"0";"1014";"0";"0";""
Rovereto;24/6/2019;"27";"19";"33";"17";"56";"20";"6";"11";"0";"1018";"0";"0";""
Rovereto;25/6/2019;"28";"21";"34";"18";"55";"22";"6";"11";"0";"1021";"0";"0";""
Rovereto;26/6/2019;"30";"22";"36";"20";"57";"19";"5";"9";"0";"1022";"0";"0";""
Rovereto;27/6/2019;"31";"23";"38";"22";"59";"17";"11";"22";"0";"1017";"0";"0";""
Rovereto;28/6/2019;"31";"25";"34";"21";"58";"20";"12";"24";"0";"1014";"0";"0";""
Rovereto;29/6/2019;"29";"24";"33";"16";"48";"22";"12";"21";"0";"1018";"0";"0";""
Rovereto;30/6/2019;"29";"20";"35";"15";"48";"21";"7";"11";"0";"1019";"0";"0";""
