LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rovereto;1/9/2024;"28";"21";"34";"17";"54";"21";"0";"0";"0";"1014";"0";"0";""
Rovereto;2/9/2024;"26";"21";"32";"16";"57";"19";"0";"0";"0";"1013";"0";"0";""
Rovereto;3/9/2024;"26";"19";"32";"17";"60";"20";"0";"0";"0";"1015";"0";"0";""
Rovereto;4/9/2024;"24";"21";"32";"17";"67";"18";"0";"0";"0";"1014";"0";"0";"pioggia "
Rovereto;5/9/2024;"22";"20";"24";"19";"83";"19";"1";"22";"0";"1009";"0";"0";"pioggia temporale "
Rovereto;6/9/2024;"21";"18";"26";"18";"82";"18";"0";"0";"0";"1012";"0";"0";"pioggia "
Rovereto;7/9/2024;"23";"18";"29";"18";"74";"19";"0";"0";"0";"1016";"0";"0";""
Rovereto;8/9/2024;"22";"20";"26";"20";"88";"16";"0";"0";"0";"1012";"0";"0";"pioggia temporale "
Rovereto;9/9/2024;"23";"18";"27";"18";"77";"19";"0";"0";"0";"1002";"0";"0";"pioggia temporale "
Rovereto;10/9/2024;"22";"16";"28";"14";"63";"21";"0";"0";"0";"1008";"0";"0";""
Rovereto;11/9/2024;"22";"17";"27";"16";"71";"18";"0";"0";"0";"1008";"0";"0";"pioggia temporale "
Rovereto;12/9/2024;"16";"12";"19";"13";"84";"16";"0";"0";"0";"1003";"0";"0";"pioggia "
Rovereto;13/9/2024;"15";"10";"20";"10";"72";"18";"0";"0";"0";"1007";"0";"0";"pioggia nebbia "
Rovereto;14/9/2024;"19";"11";"22";"4";"35";"22";"0";"0";"0";"1012";"0";"0";""
Rovereto;15/9/2024;"22";"18";"27";"5";"26";"20";"0";"0";"0";"1011";"0";"0";""
Rovereto;16/9/2024;"19";"13";"24";"8";"50";"20";"0";"0";"0";"1012";"0";"0";"pioggia "
Rovereto;17/9/2024;"17";"14";"21";"10";"64";"21";"1";"22";"0";"1016";"0";"0";"pioggia "
Rovereto;18/9/2024;"16";"14";"19";"11";"73";"19";"0";"0";"0";"1019";"0";"0";"pioggia "
Rovereto;19/9/2024;"19";"14";"23";"12";"66";"19";"0";"0";"0";"1016";"0";"0";"pioggia "
Rovereto;20/9/2024;"20";"16";"25";"12";"60";"19";"0";"0";"0";"1019";"0";"0";"pioggia "
Rovereto;21/9/2024;"20";"16";"25";"12";"63";"22";"0";"0";"0";"1021";"0";"0";""
Rovereto;22/9/2024;"19";"13";"25";"12";"67";"20";"0";"0";"0";"1018";"0";"0";""
Rovereto;23/9/2024;"17";"14";"22";"14";"82";"18";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Rovereto;24/9/2024;"18";"14";"23";"15";"84";"15";"0";"0";"0";"1010";"0";"0";"pioggia "
Rovereto;25/9/2024;"17";"12";"24";"13";"79";"20";"0";"0";"0";"1013";"0";"0";""
Rovereto;26/9/2024;"18";"15";"21";"15";"82";"21";"0";"0";"0";"1010";"0";"0";"pioggia "
Rovereto;27/9/2024;"21";"17";"27";"16";"73";"17";"0";"0";"0";"1006";"0";"0";"pioggia "
Rovereto;28/9/2024;"18";"13";"25";"11";"66";"19";"0";"0";"0";"1010";"0";"0";"pioggia temporale "
Rovereto;29/9/2024;"16";"11";"21";"10";"68";"20";"0";"0";"0";"1022";"0";"0";""
Rovereto;30/9/2024;"17";"14";"21";"9";"62";"19";"0";"0";"0";"1021";"0";"0";""
